name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,totalClearance,interceptionWon,fouls,keyPass,outfielderBlock,wasFouled,shotOffTarget,totalTackle,totalOffside,wonContest,challengeLost,blockedScoringAttempt,onTargetScoringAttempt,captain,team,teamType,fieldTranslations,punches,totalKeeperSweeper,accurateKeeperSweeper
Jefrey Trujillo,Jefrey Trujillo,,jefrey-trujillo,J. Trujillo,D,27,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000,,,27,True,11.0,10.0,,,0.0,,1.0,,,25.0,22.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",5.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,Unión Magdalena,home,,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 245000, 'currency': 'EUR'}",173.0,22,True,29.0,22.0,6.0,4.0,0.0,,1.0,,,25.0,32.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,2.0,2.0,,1.0,,,,,,,,,,1.0,,1.0,,,Unión Magdalena,home,,,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400,"{'value': 190000, 'currency': 'EUR'}",180.0,11,True,2.0,2.0,,,0.0,,,,,16.0,4.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,1.0,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400,,,13,True,17.0,14.0,,,0.0,1.0,2.0,,,16.0,20.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,2.0,4.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,Unión Magdalena,home,,,,
Franklin Navarro,,,franklin-navarro,F. Navarro,F,29,49,1387079,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925344000,"{'value': 105000, 'currency': 'EUR'}",172.0,29,True,5.0,4.0,1.0,,0.0,,,,,8.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,2.0,,,,,1.0,1.0,,,1.0,,,,1.0,,,,Unión Magdalena,home,,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000,"{'value': 105000, 'currency': 'EUR'}",187.0,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800,"{'value': 185000, 'currency': 'EUR'}",179.0,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Cristopher Varela,,,cristopher-varela,C. Varela,G,1,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800,"{'value': 400000, 'currency': 'EUR'}",189.0,1,False,40.0,13.0,40.0,13.0,0.0,,1.0,3.0,5.0,90.0,51.0,7.8,28.0,"{'original': 7.8, 'alternative': None}",,,,,,,2.0,,,,,1.0,,,,,,,,,Deportivo La Equidad,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1.0,1.0,1.0
Leider Riascos,,,leider-riascos,L. Riascos,D,29,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800,"{'value': 580000, 'currency': 'EUR'}",160.0,29,False,18.0,13.0,4.0,2.0,0.0,1.0,9.0,,,90.0,37.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,,,5.0,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,,5.0,,1.0,1.0,,,,Deportivo La Equidad,away,,,,
Guillermo Tegüe,,,guillermo-tegue,G. Tegüe,D,4,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200,"{'value': 315000, 'currency': 'EUR'}",186.0,4,False,13.0,8.0,5.0,,0.0,2.0,4.0,,,90.0,30.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,2.0,2.0,,,10.0,1.0,,,2.0,1.0,,1.0,,,,1.0,,,Deportivo La Equidad,away,,,,
