name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,fouls,possessionLostCtrl,outfielderBlock,wasFouled,accurateCross,keyPass,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,saves,punches,bigChanceCreated,totalContest,wonContest,blockedScoringAttempt
Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",Kener Valencia,,70,True,3.0,3.0,,,0.0,,,21.0,4.0,6.7,"{'original': 6.7, 'alternative': None}",,2.0,2.0,,,,,,,,,,1.0,,,,2.0,,,Llaneros FC,home,,,,,,,,
Jhonatan Mayorga,jhonatan-mayorga,J. Mayorga,F,10,,8,1847482,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1124323200.0,,,,16,True,3.0,3.0,1.0,1.0,1.0,,,14.0,6.0,6.7,"{'original': 6.7, 'alternative': None}",,,2.0,,2.0,,,,,,,,2.0,,,,1.0,,,Llaneros FC,home,,,,,,,,
Andrés López,andres-lopez,A. López,M,8,177.0,8,1465554,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1046044800.0,"{'value': 145000, 'currency': 'EUR'}",,,8,True,3.0,3.0,,,0.0,,,10.0,4.0,6.5,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,
Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",Roameth Romaña,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,
Cristian Valencia,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,
Dannovi Quiñonez,dannovi-quinonez,D. Quiñonez,M,45,176.0,70,1099610,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978652800.0,"{'value': 210000, 'currency': 'EUR'}",,,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200.0,"{'value': 1600000, 'currency': 'EUR'}",,,31,False,35.0,26.0,20.0,11.0,0.0,,1.0,90.0,44.0,6.6,"{'original': 6.6, 'alternative': None}",,,,,,,,,1.0,,,,9.0,,1.0,,1.0,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",1.0,2.0,1.0,,,,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,318,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600.0,"{'value': 745000, 'currency': 'EUR'}",,,22,False,25.0,19.0,3.0,1.0,1.0,1.0,4.0,90.0,47.0,6.9,"{'original': 6.9, 'alternative': None}",1.0,2.0,7.0,,,1.0,,,3.0,,2.0,5.0,14.0,,1.0,,1.0,,,Millonarios,away,,,,,1.0,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000.0,"{'value': 1200000, 'currency': 'EUR'}",,,26,False,35.0,31.0,2.0,,0.0,2.0,5.0,90.0,45.0,6.5,"{'original': 6.5, 'alternative': None}",,1.0,2.0,,,,,,5.0,1.0,1.0,1.0,5.0,,2.0,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,,,,,
Juan Pablo Vargas,juan-pablo-vargas,J. P. Vargas,D,4,192.0,653,865783,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,802396800.0,"{'value': 1500000, 'currency': 'EUR'}",,,4,False,33.0,30.0,4.0,2.0,0.0,,1.0,52.0,39.0,5.7,"{'original': 5.7, 'alternative': None}",,,2.0,,,,,,1.0,1.0,,2.0,5.0,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. فارغاس', 'hi': 'जे.पी. वर्गास', 'bn': 'জে. পি. ভার্গাস'}}",,,,,1.0,1.0,
