name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,onTargetScoringAttempt,goals,keyPass,penaltyConceded,accurateCross,challengeLost,totalOffside,blockedScoringAttempt,dispossessed,shotOffTarget,bigChanceCreated,captain,team,teamType,penaltyWon,bigChanceMissed,penaltyMiss
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200,"{'value': 730000, 'currency': 'EUR'}",,,,9,False,16.0,11.0,,,0.0,,,,,89.0,24.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",2.0,6.0,1.0,8.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,2.0,,1.0,,,América de Cali,home,,,
José Cavadia,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800,"{'value': 310000, 'currency': 'EUR'}",,,,29,True,25.0,23.0,3.0,2.0,1.0,,,,,50.0,32.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",1.0,,,2.0,1.0,,,,,,1.0,,1.0,,,2.0,,1.0,,,,1.0,1.0,1.0,,América de Cali,home,,,
Cristian Barrios,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000,"{'value': 1200000, 'currency': 'EUR'}",,,,7,True,3.0,3.0,2.0,2.0,0.0,,,,,18.0,8.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,América de Cali,home,,,
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000,"{'value': 490000, 'currency': 'EUR'}",,,,16,True,3.0,3.0,1.0,1.0,0.0,,,,,8.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Alexis Sinisterra,alexis-sinisterra,A. Sinisterra,G,47,181.0,13,2009109,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1107993600,,Alexis Sinisterra,,,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Cristian Tovar,cristian-tovar,C. Tovar,D,6,182.0,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800,"{'value': 470000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600,"{'value': 525000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Franco Leys,franco-leys,F. Leys,M,32,180.0,53,333807,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,750902400,"{'value': 360000, 'currency': 'EUR'}",,,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191.0,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,False,14.0,7.0,11.0,5.0,0.0,1.0,2.0,,5.0,90.0,25.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185.0,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200,"{'value': 480000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",17,False,17.0,9.0,10.0,3.0,0.0,,,,,78.0,39.0,6.4,17.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,5.0,1.0,,2.0,,1.0,4.0,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,18.0,16.0,3.0,3.0,0.0,,,,,90.0,29.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,2.0,,3.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,
