name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,aerialLost,aerialWon,shotOffTarget,interceptionWon,totalContest,blockedScoringAttempt,wonContest,totalOffside,onTargetScoringAttempt,captain,team,teamType
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400,"{'value': 515000, 'currency': 'EUR'}",,,,80,True,6.0,3.0,1.0,,0.0,,22.0,14.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,3.0,,,,3.0,,,,,1.0,2.0,,,,1.0,,,,,,Independiente Santa Fe,home
Lucas Ríos,lucas-rios,L. Ríos,M,29,176,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200,"{'value': 620000, 'currency': 'EUR'}",,,,29,True,8.0,7.0,,,0.0,,17.0,8.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,Independiente Santa Fe,home
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,,,,,0.0,,13.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Andrés Mehring,andres-mehring,A. Mehring,G,,191,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Edwar López,edwar-lopez,E. López,F,28,179,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Cristopher Fiermarín,cristopher-fiermarin,C. Fiermarín,G,22,189,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,,,22,False,30.0,21.0,19.0,10.0,0.0,1.0,90.0,38.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,,,,,1.0,,,,,,,,,,,,,,,,Deportes Tolima,away
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,,,26,False,37.0,30.0,9.0,5.0,0.0,,90.0,56.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,Deportes Tolima,away
Julián Quiñones,julian-quinones,J. Quiñones,D,3,198,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,,,3,False,38.0,28.0,11.0,4.0,0.0,,90.0,47.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,1.0,2.0,,,3.0,,2.0,,1.0,,,,,2.0,,,,,,True,Deportes Tolima,away
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,,,2,False,48.0,41.0,7.0,2.0,0.0,,90.0,55.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",,,2.0,4.0,,,3.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,Deportes Tolima,away
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",Samuel Velásquez,,33,False,36.0,33.0,6.0,4.0,0.0,,90.0,53.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",4.0,1.0,3.0,1.0,,1.0,3.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,Deportes Tolima,away
Luis Miranda,luis-miranda,L. Miranda,F,28,180,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,,,28,False,20.0,15.0,1.0,1.0,0.0,,69.0,28.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,2.0,5.0,1.0,,,,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,Deportes Tolima,away
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,35.0,31.0,4.0,4.0,0.0,,85.0,44.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,1.0,4.0,,,,,1.0,3.0,,,1.0,,,1.0,,,,,,,Deportes Tolima,away
