name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,goals,interceptionWon,totalTackle,fouls,totalClearance,challengeLost,blockedScoringAttempt,keyPass,wasFouled,totalOffside,dispossessed,captain,team,teamType,fieldTranslations,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,shotOffTarget,hitWoodwork
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",Diego Castillo,,19,True,9.0,6.0,,,0.0,,,27.0,13.0,6.2,7.0,"{'original': 6.2, 'alternative': None}",,,,1.0,3.0,1.0,2.0,,,,,,,,,,,,,1.0,,Deportivo Pasto,home,,,,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,70,True,14.0,10.0,,,0.0,,,26.0,25.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,,6.0,5.0,3.0,2.0,,,,,,,2.0,,1.0,3.0,,2.0,,Deportivo Pasto,home,,,,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,8,True,16.0,14.0,2.0,1.0,0.0,,,14.0,18.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,2.0,,,,,,2.0,,,1.0,,,,,,,Deportivo Pasto,home,,,,,,
Kevin Rendón,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200,"{'value': 49000, 'currency': 'EUR'}",,,7,True,3.0,3.0,,,0.0,,,14.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,10,True,8.0,7.0,2.0,1.0,0.0,,,8.0,11.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,1.0,,,,Deportivo Pasto,home,,,,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200,"{'value': 265000, 'currency': 'EUR'}",,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",,,12,False,14.0,10.0,7.0,3.0,0.0,1.0,1.0,90.0,21.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,,1.0,1.0,,,
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800,"{'value': 205000, 'currency': 'EUR'}",,,22,False,54.0,37.0,4.0,,0.0,,,90.0,79.0,6.1,22.0,"{'original': 6.1, 'alternative': None}",2.0,,1.0,1.0,4.0,4.0,,,,,,2.0,,2.0,3.0,,,1.0,,,,Boyacá Chicó FC,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",,,,,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400,,Elian Peralta,,4,False,46.0,34.0,18.0,8.0,0.0,,,90.0,59.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,2.0,4.0,,,,,,2.0,1.0,8.0,,,,,,,,Boyacá Chicó FC,away,,,,,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800,"{'value': 140000, 'currency': 'EUR'}",,,2,False,18.0,15.0,2.0,1.0,0.0,,,45.0,26.0,5.8,6.0,"{'original': 5.8, 'alternative': None}",,,1.0,,5.0,1.0,,,,,,,1.0,2.0,,,,1.0,,3.0,,Boyacá Chicó FC,away,,,,,,
Yaliston Martínez,yaliston-martinez,Y. Martínez,D,5,173.0,6,1116583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957312000,"{'value': 52000, 'currency': 'EUR'}",Yaliston Martínez,,5,False,38.0,32.0,4.0,3.0,0.0,,,90.0,72.0,6.9,20.0,"{'original': 6.9, 'alternative': None}",9.0,2.0,1.0,4.0,3.0,6.0,,,,,4.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,,Boyacá Chicó FC,away,,,,,,
