name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,fouls,bigChanceCreated,shotOffTarget,blockedScoringAttempt,wasFouled,keyPass,totalCross,onTargetScoringAttempt,goals,accurateCross,challengeLost,bigChanceMissed,hitWoodwork,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,wonContest,outfielderBlock
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",,27,False,31.0,24.0,2.0,1.0,67.0,42.0,7.8,11.0,"{'original': 7.8, 'alternative': None}",1.0,,1.0,2.0,1.0,1.0,,,,,1.0,,2.0,2.0,,4.0,1.0,1.0,,,,,1.0,,,Independiente Medellín,home,,,,,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400.0,"{'value': 420000, 'currency': 'EUR'}",,14,True,10.0,9.0,,0.0,24.0,12.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,Independiente Medellín,home,,,,,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600.0,"{'value': 540000, 'currency': 'EUR'}",,19,True,6.0,3.0,1.0,0.0,23.0,10.0,7.0,4.0,"{'original': 7, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,2.0,,2.0,,,,,,,,1.0,,Independiente Medellín,home,,,,,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",,10,True,9.0,6.0,1.0,0.0,23.0,15.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,,,,,,1.0,,2.0,,,,4.0,,,1.0,,1.0,,,,Independiente Medellín,home,,,,,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",,6,True,3.0,2.0,,0.0,13.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,
Julian Angulo,Julian Angulo,,julian-angulo,J. Angulo,M,11,183.0,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400.0,"{'value': 265000, 'currency': 'EUR'}",,11,True,11.0,7.0,,0.0,13.0,12.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,Independiente Medellín,home,,,,,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,
Luis Escorcia,Luis Escorcia,,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600.0,"{'value': 260000, 'currency': 'EUR'}",,39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,
Kevin Armesto,Kevin Armesto,,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,32.0,19.0,22.0,0.0,90.0,39.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",9.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,Llaneros FC,away,1.0,4.0,4.0,1.0,,
Geovan Montes,,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,31,False,29.0,20.0,3.0,0.0,90.0,41.0,6.1,15.0,"{'original': 6.1, 'alternative': None}",1.0,,1.0,1.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,Llaneros FC,away,,,,,1.0,
