name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,blockedScoringAttempt,keyPass,aerialWon,duelWon,totalClearance,totalTackle,fouls,wonContest,outfielderBlock,shotOffTarget,interceptionWon,onTargetScoringAttempt,goals,wasFouled,dispossessed,penaltyWon,captain,team,teamType,punches,totalOffside,bigChanceMissed,penaltyConceded
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,,27,False,12.0,9.0,1.0,,0.0,,,80.0,21.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,4.0,,,,,2.0,5.0,,1.0,1.0,,,1.0,,,,2.0,1.0,,,Deportivo Pasto,home,,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,70,True,12.0,10.0,3.0,3.0,0.0,,,25.0,19.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",1.0,,,1.0,,2.0,,,,3.0,,,,2.0,,,,1.0,1.0,1.0,1.0,,,Deportivo Pasto,home,,,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,13,True,14.0,12.0,2.0,1.0,0.0,,,13.0,14.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600,"{'value': 325000, 'currency': 'EUR'}",Diego Castillo,,19,True,1.0,1.0,,,0.0,,,10.0,5.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,1.0,3.0,,,,,,,,,,,,,,,,,2.0,,,Deportivo Pasto,home,,,,
Yair Arboleda,yair-arboleda,Y. Arboleda,F,31,178.0,21,818654,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828835200,"{'value': 160000, 'currency': 'EUR'}",,,31,True,5.0,5.0,,,0.0,,,10.0,10.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",,,1.0,2.0,,2.0,,,,3.0,,,,1.0,,,1.0,,,2.0,,1.0,,Deportivo Pasto,home,,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,
Eduar Beltrán,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800,"{'value': 185000, 'currency': 'EUR'}",Eduar Esteban,Beltrán Restrepo,1,False,26.0,17.0,15.0,6.0,0.0,,1.0,90.0,33.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,2.0,,,,,,,,,,,,,Unión Magdalena,away,1.0,,,
Daniel Mera,daniel-mera,D. Mera,D,3,183.0,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400,"{'value': 245000, 'currency': 'EUR'}",Daniel Mera,,3,False,35.0,28.0,5.0,3.0,0.0,,,90.0,63.0,6.2,17.0,"{'original': 6.2, 'alternative': None}",1.0,,1.0,5.0,,1.0,,,,1.0,3.0,1.0,1.0,,,,,,,,2.0,,,Unión Magdalena,away,,,,
Óscar Vanegas,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200,"{'value': 290000, 'currency': 'EUR'}",,,33,False,28.0,20.0,6.0,2.0,0.0,,,90.0,35.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,,,2.0,,,1.0,,2.0,4.0,3.0,2.0,2.0,,,,,,,,,,,Unión Magdalena,away,,,,
Darwin Palomeque,darwin-palomeque,D. Palomeque,D,18,183.0,7,1470051,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736214400,"{'value': 195000, 'currency': 'EUR'}",Darwin Palomeque,,18,False,22.0,18.0,4.0,2.0,0.0,,,90.0,35.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,4.0,6.0,,1.0,,,4.0,6.0,6.0,1.0,2.0,,,,,,,1.0,,,,Unión Magdalena,away,,,,
Martín Payares,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400,"{'value': 410000, 'currency': 'EUR'}",,,5,False,39.0,29.0,12.0,5.0,0.0,,,90.0,45.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",,,1.0,3.0,,,,,2.0,4.0,2.0,1.0,2.0,,,,2.0,,,1.0,,,,Unión Magdalena,away,,,,
Jefrey Trujillo,jefrey-trujillo,J. Trujillo,D,27,,4,1201145,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1036368000,,Jefrey Trujillo,,27,False,28.0,20.0,5.0,2.0,0.0,,,90.0,45.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,2.0,3.0,,3.0,,1.0,,4.0,,1.0,,2.0,,,,,,1.0,,,,Unión Magdalena,away,,,,
Jannenson Sarmiento,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,"{'value': 480000, 'currency': 'EUR'}",,,10,False,48.0,40.0,4.0,2.0,0.0,,,82.0,60.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",3.0,,,3.0,1.0,3.0,,2.0,,2.0,,,,1.0,,,,1.0,,1.0,,,,Unión Magdalena,away,,2.0,,
Óscar Barreto,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 245000, 'currency': 'EUR'}",,,22,False,42.0,39.0,2.0,2.0,0.0,,,90.0,52.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,1.0,6.0,,2.0,,,,4.0,,1.0,4.0,1.0,1.0,,2.0,,,2.0,,,,Unión Magdalena,away,,,,
Fabián Cantillo,fabian-cantillo,F. Cantillo,M,24,184.0,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 390000, 'currency': 'EUR'}",,,24,False,36.0,31.0,6.0,3.0,0.0,,,82.0,44.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,1.0,5.0,1.0,,,,,4.0,,3.0,2.0,,,,,,,1.0,1.0,,True,Unión Magdalena,away,,,,
Valentin Sanchez,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200,,Valentin Sanchez,,8,False,25.0,20.0,3.0,2.0,0.0,,,62.0,36.0,7.5,6.0,"{'original': 7.5, 'alternative': None}",,,2.0,2.0,,,,,,4.0,,2.0,,,,1.0,2.0,1.0,1.0,2.0,,,,Unión Magdalena,away,,,,
Orles Aragón,orles-aragon,O. Aragón,F,11,180.0,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400,"{'value': 190000, 'currency': 'EUR'}",,,11,False,15.0,14.0,,,0.0,,,62.0,28.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,4.0,7.0,,2.0,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,2.0,,1.0,,,1.0,,,Unión Magdalena,away,,,1.0,
Cristian Sención,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200,"{'value': 290000, 'currency': 'EUR'}",,,16,True,12.0,10.0,2.0,1.0,0.0,,,28.0,14.0,6.1,3.0,"{'original': 6.1, 'alternative': None}",1.0,1.0,,3.0,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,Unión Magdalena,away,,,,1.0
Ruyery Blanco,ruyery-blanco,R. Blanco,F,17,180.0,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800,"{'value': 230000, 'currency': 'EUR'}",,,17,True,6.0,5.0,1.0,1.0,0.0,,,28.0,11.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,3.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,Unión Magdalena,away,,,,
Juan Diego Giraldo,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800,"{'value': 185000, 'currency': 'EUR'}",,,21,True,6.0,5.0,1.0,,0.0,,,8.0,7.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,1.0,,1.0,,,,,,,,,,,,Unión Magdalena,away,,,,
Janeth Aleman,janeth-aleman,J. Aleman,F,7,,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400,,,,13,True,4.0,3.0,,,0.0,,,8.0,4.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,1.0,1.0,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,
Guillermo Gómez,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000,"{'value': 105000, 'currency': 'EUR'}",Guillermo Gómez,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,
David Murillo,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 97000, 'currency': 'EUR'}",,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,
José Mercado,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000,"{'value': 165000, 'currency': 'EUR'}",José Mercado,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,
