name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,interceptionWon,fouls,aerialLost,aerialWon,duelLost,onTargetScoringAttempt,totalClearance,wasFouled,outfielderBlock,dispossessed,totalContest,wonContest,challengeLost,keyPass,accurateCross,shotOffTarget,captain,team,teamType,blockedScoringAttempt,totalOffside
Jean Galindo,Jean Galindo,,jean-galindo,J. Galindo,,33,,19,1965572,{},EUR,,,,33,True,10.0,8.0,,,0.0,,,,,45.0,15.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,Deportivo Cali,home,,
Juan Arango,Juan Arango,,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000.0,,,17,True,6.0,4.0,,,0.0,3.0,1.0,,,26.0,14.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,2.0,,,3.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,Deportivo Cali,home,,
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",,12,True,17.0,16.0,5.0,4.0,0.0,1.0,,,,25.0,20.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,2.0,1.0,,,,,,,,,,Deportivo Cali,home,,
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 420000, 'currency': 'EUR'}",,5,True,15.0,13.0,1.0,1.0,0.0,1.0,,,,25.0,16.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,1.0,,,1.0,,,,,,,,,,Deportivo Cali,home,,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,10,True,9.0,6.0,4.0,2.0,0.0,,,,,11.0,9.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,Deportivo Cali,home,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Aldair Quintana,,,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",,1,False,17.0,13.0,8.0,4.0,0.0,,,3.0,3.0,90.0,26.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Aldair Gutiérrez,,,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600.0,"{'value': 490000, 'currency': 'EUR'}",,19,False,41.0,28.0,10.0,5.0,0.0,5.0,3.0,,,90.0,64.0,7.4,17.0,"{'original': 7.4, 'alternative': None}",,1.0,2.0,1.0,,5.0,,5.0,1.0,,,2.0,1.0,1.0,3.0,,,,Atlético Bucaramanga,away,,
Carlos Romaña,,,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000.0,"{'value': 475000, 'currency': 'EUR'}",,23,False,44.0,30.0,16.0,6.0,0.0,5.0,2.0,,,90.0,59.0,6.9,19.0,"{'original': 6.9, 'alternative': None}",,,1.0,,1.0,3.0,1.0,3.0,1.0,,,2.0,1.0,1.0,,,,,Atlético Bucaramanga,away,,
