name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,totalClearance,fouls,totalOffside,keyPass,onTargetScoringAttempt,outfielderBlock,interceptionWon,penaltyWon,shotOffTarget,dispossessed,totalContest,wonContest,blockedScoringAttempt,goals,captain,team,teamType,penaltyConceded,errorLeadToAGoal,hitWoodwork
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,True,6.0,2.0,2.0,,0.0,3.0,,,,,30.0,12.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,2.0,,4.0,,,,,1.0,,,,,,,,,,Deportivo Pereira,home,,,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,True,7.0,4.0,1.0,,0.0,1.0,1.0,,,,30.0,14.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,,,,4.0,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,,99,True,7.0,3.0,,,0.0,3.0,,,,,15.0,10.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,3.0,3.0,4.0,,,1.0,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,2.0,,,,0.0,1.0,,,,,15.0,6.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,3.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,Deportivo Pereira,home,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Javier Andres Mena,mena-javier-andres,J. A. Mena,D,17,175.0,39,1478896,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127001600.0,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",,Eduar Arízalas,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Juan Castillo,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",,Juan Castillo,,1,False,16.0,16.0,,,0.0,,,,1.0,2.0,90.0,22.0,6.2,,"{'original': 6.2, 'alternative': None}",,,,,1.0,,,1.0,,,,,,,,,,,,,,Fortaleza CEIF,away,1.0,,
Santiago Cuero,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",,Santiago Cuero,,15,False,12.0,7.0,2.0,,0.0,3.0,1.0,,,,45.0,19.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",1.0,1.0,1.0,1.0,3.0,,,2.0,,,,,,,,,1.0,1.0,,,,Fortaleza CEIF,away,,,
Yesid Díaz,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,67.0,61.0,6.0,3.0,0.0,2.0,,1.0,,,90.0,75.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,1.0,3.0,,,,,,,,,,2.0,,,,1.0,,,Fortaleza CEIF,away,,,
Harold Balanta,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",,Harold Balanta,,18,False,19.0,16.0,3.0,3.0,0.0,2.0,,,,,45.0,24.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,3.0,,1.0,2.0,,,,1.0,3.0,,,,,,,,,Fortaleza CEIF,away,,,
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",,Cristián Mosquera,,27,False,41.0,32.0,5.0,2.0,0.0,3.0,1.0,,,,90.0,61.0,6.9,17.0,"{'original': 6.9, 'alternative': None}",8.0,2.0,1.0,2.0,5.0,,1.0,2.0,1.0,3.0,,,2.0,,,1.0,1.0,,1.0,,,Fortaleza CEIF,away,,,
David Camacho,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,False,9.0,7.0,,,0.0,1.0,1.0,,,,45.0,14.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,,,1.0,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
Leonardo Pico,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",,,,14,False,30.0,28.0,3.0,2.0,0.0,1.0,1.0,,,,45.0,31.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,1.0,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
Ronaldo Pájaro,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",,Ronaldo Pájaro,,13,False,73.0,62.0,5.0,4.0,0.0,4.0,2.0,1.0,,,90.0,87.0,7.0,15.0,"{'original': 7, 'alternative': None}",3.0,1.0,2.0,1.0,6.0,2.0,1.0,2.0,,4.0,1.0,,,,,,,,,,True,Fortaleza CEIF,away,,1.0,
Luis Sánchez,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",,,,10,False,45.0,36.0,2.0,1.0,0.0,4.0,,4.0,,,90.0,71.0,7.5,21.0,"{'original': 7.5, 'alternative': None}",5.0,1.0,,,3.0,1.0,1.0,,,3.0,2.0,,2.0,,1.0,1.0,1.0,,2.0,,,Fortaleza CEIF,away,,,
Andrés Ricaurte,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",,,,8,False,49.0,39.0,5.0,3.0,0.0,3.0,1.0,1.0,,,75.0,59.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",,,1.0,,2.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,Fortaleza CEIF,away,,,
Emilio Aristizábal,aristizabal-emilio,E. Aristizábal,F,19,187.0,205,1517148,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123200000.0,"{'value': 385000, 'currency': 'EUR'}",,Emilio Aristizábal,,19,False,12.0,11.0,,,0.0,3.0,,1.0,,,90.0,21.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,1.0,1.0,2.0,,,,,3.0,,,,,2.0,1.0,1.0,1.0,,,,Fortaleza CEIF,away,,,
Sebastian Ramirez,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,,,,21,True,30.0,27.0,2.0,2.0,0.0,1.0,,,,,45.0,35.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,2.0,,,,,,,,,Fortaleza CEIF,away,,,
Jhoiner Salas,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,,,,24,True,23.0,21.0,1.0,1.0,0.0,7.0,1.0,1.0,,,45.0,43.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",7.0,1.0,2.0,1.0,4.0,,,,,2.0,,,,,,1.0,5.0,4.0,1.0,,,Fortaleza CEIF,away,,,
David Barrera,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,,,,25,True,36.0,32.0,5.0,4.0,0.0,3.0,1.0,1.0,,,45.0,43.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,1.0,1.0,2.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,Fortaleza CEIF,away,,,
Santiago Córdoba,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",,,,9,True,4.0,4.0,,,0.0,,,,,,45.0,6.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,1.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,Fortaleza CEIF,away,,,1.0
Juan Pablo Díaz,juan-pablo-diaz,J. P. Díaz,M,20,,9,1019417,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,946684800.0,"{'value': 155000, 'currency': 'EUR'}",,,,20,True,16.0,14.0,2.0,2.0,0.0,1.0,,1.0,,,15.0,20.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,2.0,,2.0,,,,,,,,,,1.0,,,,2.0,,,Fortaleza CEIF,away,,,
Jordan García,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",,Jordan García,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
Diego Ruiz,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,away,,,
