name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,outfielderBlock,shotOffTarget,onTargetScoringAttempt,bigChanceMissed,totalOffside,accurateCross,blockedScoringAttempt,bigChanceCreated,goals,aerialLost,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,5.0,3.0,1.0,,0.0,83.0,10.0,7.2,"{'original': 7.2, 'alternative': None}",,,,,,,,,1.0,,,,,3.0,1.0,,1.0,1.0,,,,1.0,,1.0,,True,Junior Barranquilla,home,,,,
Carlos Cantillo,carlos-cantillo,C. Cantillo,M,19,176.0,48,1174862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045785600.0,"{'value': 140000, 'currency': 'EUR'}",,Carlos Cantillo,,19,True,33.0,29.0,4.0,2.0,0.0,45.0,46.0,7.0,"{'original': 7, 'alternative': None}",1.0,1.0,2.0,4.0,,1.0,1.0,1.0,,,1.0,1.0,,8.0,1.0,,,,,,,,,,1.0,,Junior Barranquilla,home,,,,
Yani Quintero,yani-quintero,Yani Quintero,M,16,182.0,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000.0,"{'value': 425000, 'currency': 'EUR'}",,,,16,True,25.0,21.0,3.0,3.0,0.0,31.0,27.0,6.9,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,1.0,,,,,1.0,1.0,,,4.0,1.0,,,,,,,,,,,,Junior Barranquilla,home,,,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000.0,"{'value': 52000, 'currency': 'EUR'}",,,,29,True,23.0,18.0,1.0,1.0,0.0,31.0,31.0,7.0,"{'original': 7, 'alternative': None}",4.0,1.0,2.0,3.0,,2.0,2.0,2.0,,,,,,10.0,2.0,,,,,,1.0,,,,,,Junior Barranquilla,home,,,,
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175.0,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600.0,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,True,11.0,10.0,2.0,1.0,0.0,21.0,18.0,6.5,"{'original': 6.5, 'alternative': None}",1.0,,2.0,1.0,,2.0,1.0,1.0,,,,,,5.0,,,,,,,,1.0,,,,,Junior Barranquilla,home,,,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,5.0,3.0,,,0.0,16.0,10.0,6.8,"{'original': 6.8, 'alternative': None}",,,2.0,1.0,,,,,,,,1.0,1.0,3.0,,,,1.0,,,,1.0,,,1.0,,Junior Barranquilla,home,,,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Joel Canchimbo,joel-morales,J. Canchimbo,F,21,177.0,67,1562435,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1123804800.0,"{'value': 155000, 'currency': 'EUR'}",,Joel Morales,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,False,24.0,9.0,17.0,2.0,0.0,90.0,31.0,7.0,"{'original': 7, 'alternative': None}",,1.0,,2.0,,,,,2.0,,,1.0,,15.0,,,,,,,,,,,,,Envigado FC,away,1.0,2.0,3.0,1.0
Neymar Uribe,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",,Neymar Uribe,,27,False,16.0,12.0,3.0,2.0,1.0,90.0,34.0,6.8,"{'original': 6.8, 'alternative': None}",2.0,,4.0,1.0,1.0,,1.0,,,3.0,1.0,,1.0,9.0,2.0,,1.0,,,,2.0,,,,1.0,,Envigado FC,away,,,,
