name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,errorLeadToAGoal,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,aerialWon,duelLost,dispossessed,totalContest,wonContest,outfielderBlock,totalTackle,fouls,onTargetScoringAttempt,goals,totalCross,challengeLost,shotOffTarget,accurateCross,blockedScoringAttempt,interceptionWon,aerialLost,totalOffside,captain,team,teamType
Jader Quinones,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",Jader Quiñónes,,42,True,10.0,10.0,,,0.0,1.0,,,1.0,,,,26.0,14.0,6.5,2.0,2.0,"{'original': 6.5, 'alternative': None}",,4.0,2.0,,,,,1.0,,,,1.0,,,,1.0,,,,Deportes Tolima,home
Kevin Pérez,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",,,,18,True,11.0,9.0,2.0,1.0,0.0,2.0,,,1.0,,,,30.0,17.0,6.4,6.0,,"{'original': 6.4, 'alternative': None}",,3.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,Deportes Tolima,home
Adrián Parra,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800.0,"{'value': 535000, 'currency': 'EUR'}",,,,24,True,4.0,4.0,,,0.0,1.0,,,1.0,,,,16.0,7.0,6.6,,,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,Deportes Tolima,home
Marlon Torres,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,,,17,True,3.0,3.0,,,0.0,,,,,,,,9.0,3.0,6.5,,,"{'original': 6.5, 'alternative': None}",,1.0,,,,,,1.0,,,,,,,,,,,,Deportes Tolima,home
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",Samuel Velásquez,,33,True,8.0,6.0,2.0,,0.0,,,,,,,,9.0,11.0,6.5,2.0,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,1.0,,,,,Deportes Tolima,home
John Azcarate,john-azcarate,J. Azcarate,G,12,,4,1618635,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,John Azcarate,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home
Luis Miranda,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,,,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200.0,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,15.0,6.0,14.0,5.0,0.0,1.0,,,1.0,,5.0,5.0,90.0,23.0,7.3,9.0,,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Jhon Palacios,jhon-palacios,J. Palacios,D,3,188.0,17,1130027,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400.0,"{'value': 360000, 'currency': 'EUR'}",,Jhon Palacios,,3,False,23.0,18.0,4.0,2.0,0.0,2.0,1.0,,,,,,90.0,32.0,6.7,6.0,,"{'original': 6.7, 'alternative': None}",1.0,5.0,,,,3.0,1.0,4.0,,,,1.0,,,,,,,,Independiente Medellín,away
José Ortiz,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,"{'value': 700000, 'currency': 'EUR'}",,,,24,False,33.0,24.0,11.0,3.0,0.0,,6.0,,,,,,90.0,43.0,6.4,10.0,,"{'original': 6.4, 'alternative': None}",,3.0,,,,,,,,,,2.0,,,,1.0,1.0,,,Independiente Medellín,away
Daniel Londoño,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,37.0,28.0,8.0,3.0,0.0,4.0,6.0,,2.0,,,,90.0,49.0,6.8,10.0,,"{'original': 6.8, 'alternative': None}",2.0,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
