name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalTackle,wasFouled,fouls,shotOffTarget,onTargetScoringAttempt,goals,accurateCross,keyPass,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalOffside,interceptionWon,challengeLost,bigChanceMissed,outfielderBlock,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400,"{'value': 53000, 'currency': 'EUR'}",,,,10,True,17.0,14.0,1.0,,1.0,,,,56.0,39.0,7.4,14.0,"{'original': 7.4, 'alternative': None}",10.0,1.0,,9.0,6.0,1.0,2.0,2.0,,,,5.0,4.0,1.0,7.0,3.0,2.0,,,,1.0,,,,Boyacá Chicó FC,home,,,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000,"{'value': 48000, 'currency': 'EUR'}",,,,11,True,13.0,11.0,,,0.0,,,,56.0,24.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,,,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,2.0,,,,,,,Boyacá Chicó FC,home,,,
Yaliston Martínez,yaliston-martinez,Y. Martínez,D,5,173.0,6,1116583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957312000,"{'value': 52000, 'currency': 'EUR'}",,Yaliston Martínez,,5,True,29.0,18.0,10.0,4.0,0.0,2.0,,,55.0,54.0,6.7,24.0,"{'original': 6.7, 'alternative': None}",4.0,,2.0,4.0,5.0,1.0,1.0,,,,,,1.0,,4.0,1.0,,,,1.0,1.0,,,,Boyacá Chicó FC,home,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600,,,Sebastián Colón,,29,True,7.0,6.0,1.0,1.0,0.0,,,,29.0,11.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,3.0,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,Boyacá Chicó FC,home,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,True,10.0,8.0,4.0,3.0,0.0,,,,18.0,10.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Cristian Baldovino,cristian-baldovino,C. Baldovino,G,,192.0,2,926634,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856310400,"{'value': 69000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000,,,Arlen Banguero,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600,"{'value': 290000, 'currency': 'EUR'}",,Kevin Armesto,,1,False,28.0,10.0,26.0,9.0,0.0,,1.0,1.0,90.0,32.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,1.0,1.0,3.0
Anderson Mojica,anderson-mojica,A. Mojica,D,4,176.0,5,974190,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,900633600,"{'value': 24000, 'currency': 'EUR'}",,,,4,False,23.0,16.0,4.0,,0.0,4.0,,,90.0,59.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",2.0,,1.0,4.0,6.0,5.0,,2.0,,,,,,1.0,,,,,,2.0,2.0,,,,Llaneros FC,away,,,
Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200,"{'value': 260000, 'currency': 'EUR'}",,Jan Ángulo,,20,False,26.0,17.0,7.0,4.0,0.0,10.0,,,90.0,43.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,7.0,1.0,9.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,True,Llaneros FC,away,,,
Cristian Valencia,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800,"{'value': 48000, 'currency': 'EUR'}",,,,15,False,22.0,12.0,10.0,3.0,0.0,6.0,,,90.0,32.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,1.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,Llaneros FC,away,,,
Juan José Vásquez,juan-jose-vasquez,J. J. Vásquez,F,99,180.0,4,1133380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928368000,,,Juan José Vásquez,,99,False,22.0,9.0,6.0,,0.0,5.0,,,90.0,45.0,6.1,19.0,"{'original': 6.1, 'alternative': None}",,2.0,1.0,6.0,3.0,1.0,1.0,2.0,,,,,,,1.0,,,,,2.0,1.0,,,,Llaneros FC,away,,,
Dannovi Quiñonez,dannovi-quinonez,D. Quiñonez,M,45,176.0,70,1099610,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978652800,"{'value': 210000, 'currency': 'EUR'}",,,,45,False,25.0,17.0,8.0,2.0,0.0,1.0,,,63.0,32.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,3.0,3.0,2.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,Llaneros FC,away,,,
Jhonatan Mayorga,jhonatan-mayorga,J. Mayorga,F,10,,8,1847482,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1124323200,,,,,16,False,14.0,8.0,1.0,,0.0,,,,63.0,28.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",,3.0,1.0,11.0,5.0,3.0,1.0,2.0,,1.0,1.0,,,4.0,2.0,,,,,,,,,,Llaneros FC,away,,,
Eyder Restrepo,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600,"{'value': 265000, 'currency': 'EUR'}",,,,5,False,22.0,16.0,1.0,,0.0,,,,73.0,31.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",2.0,,,3.0,5.0,3.0,1.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,Llaneros FC,away,,,
Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400,"{'value': 330000, 'currency': 'EUR'}",,Duván Mosquera,,27,False,14.0,12.0,3.0,2.0,1.0,,,,63.0,23.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,1.0,1.0,6.0,4.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,Llaneros FC,away,,,
Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600,"{'value': 240000, 'currency': 'EUR'}",,Freddy Espinal,,11,False,12.0,9.0,1.0,,0.0,,,,90.0,23.0,6.0,11.0,"{'original': 6, 'alternative': None}",4.0,2.0,,7.0,1.0,,1.0,4.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,Llaneros FC,away,,,
Michael Rangel,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400,"{'value': 190000, 'currency': 'EUR'}",,,,9,False,16.0,9.0,1.0,,1.0,1.0,,,70.0,22.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",,3.0,2.0,5.0,2.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,1.0,,Llaneros FC,away,,,
Maicol Medina,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400,"{'value': 240000, 'currency': 'EUR'}",,,,18,True,13.0,11.0,3.0,1.0,0.0,2.0,,,27.0,19.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,3.0,,3.0,,,,,1.0,,,,,,,,,,,2.0,,,,,Llaneros FC,away,,,
Bryan Urueña,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600,"{'value': 240000, 'currency': 'EUR'}",,,,10,True,15.0,10.0,4.0,,0.0,,,,27.0,15.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,Llaneros FC,away,,,
Roberto Hinojosa,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600,"{'value': 530000, 'currency': 'EUR'}",,,,29,True,10.0,7.0,,,0.0,,,,27.0,18.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,,,1.0,4.0,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,Llaneros FC,away,,,
Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600,"{'value': 285000, 'currency': 'EUR'}",,Kener Valencia,,70,True,4.0,1.0,,,0.0,1.0,,,20.0,8.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Marlon Sierra,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600,"{'value': 97000, 'currency': 'EUR'}",,,,6,True,8.0,5.0,2.0,,0.0,2.0,,,17.0,10.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Humberto Acevedo,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600,"{'value': 53000, 'currency': 'EUR'}",,,,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
Jaison Mina,jaison-mina,J. Mina,D,28,188.0,9,1174007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949104000,"{'value': 145000, 'currency': 'EUR'}",,Jaison Mina,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,,,
