goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.0,0.13,0.0,3.82,49.15,0.26,30.77,1.84,0.13,83.33,4.08,47.33,90,1.25,0.59,2.04,1.05,0,0,0,1.05,0.07,0,0,0,0,13.69,0.07,36.54,2.5,1.91,36.25,1.84,45.16,0.59,0.2,0.79,0.13,1.98,0.59,0.4,0.0,0.13,0.26,,0.0,0.0,0.0,Javier Reina,Atlético Bucaramanga
0.26,0.13,0.0,4.74,54.41,0.38,30.0,1.79,0.13,76.53,5.12,51.28,90,1.02,1.41,1.28,1.79,0,0,0,0.51,0.13,0,0,0,0,11.27,0.26,27.14,1.79,0.38,12.0,3.07,55.81,0.77,0.26,0.77,0.0,4.61,1.28,1.66,5.56,0.0,0.13,,0.0,0.0,0.0,Johan Rojas,Deportivo La Equidad
0.14,0.35,0.0,3.71,46.09,1.12,50.0,0.91,0.14,78.66,4.84,46.94,90,0.77,1.19,2.03,1.19,0,0,0,0.91,0.0,0,0,0,0,11.64,0.07,36.17,1.82,0.91,32.5,3.64,57.14,0.49,0.98,0.91,0.0,1.05,0.42,0.28,13.33,0.0,0.21,,0.0,0.0,0.0,Juan Zuluaga,Deportivo Pereira
0.1,0.1,0.1,7.65,59.2,0.0,0.0,1.96,0.1,81.93,7.65,58.27,90,5.17,1.45,1.86,1.76,0,0,0,0.83,0.1,0,0,0,0,14.57,0.41,33.27,3.41,1.14,37.93,3.0,60.42,0.31,0.21,0.83,0.1,2.48,0.72,0.52,4.17,0.1,0.1,,0.0,0.0,0.0,Billy Arce,Deportivo Pasto
0.0,0.24,0.0,3.87,65.98,1.03,62.96,0.42,0.06,83.71,4.9,65.32,90,1.39,0.73,0.48,1.03,0,0,0,1.21,0.24,0,0,0,0,8.47,0.06,40.13,0.42,0.06,50.0,6.78,65.88,1.21,2.0,0.85,0.0,0.3,0.06,0.06,0.0,0.0,0.0,,0.0,0.0,0.0,Alexander Mejía,Unión Magdalena
0.17,0.08,0.0,4.43,50.0,0.13,42.86,1.05,0.17,81.42,4.56,49.77,90,1.38,1.34,1.59,1.05,0,0,0,1.09,0.17,0,0,0,0,13.8,0.04,34.63,1.17,0.21,14.71,2.63,63.64,0.67,0.29,0.96,0.04,2.47,0.75,0.84,6.78,0.04,0.08,,0.0,0.0,0.0,Jesús Rivas,Rionegro Águilas Doradas
0.12,0.25,0.0,4.18,53.6,0.19,37.5,1.06,0.12,81.7,4.37,52.63,90,1.37,1.19,0.94,1.19,0,0,0,0.81,0.12,0,0,0,0,9.62,0.25,38.47,1.44,0.62,22.73,3.25,53.61,0.56,0.75,1.19,0.06,1.62,0.44,0.31,7.69,0.06,0.0,,0.0,0.0,0.0,Diego Chávez,Atlético Bucaramanga
0.24,0.47,0.0,5.92,60.98,0.24,50.0,1.18,0.24,86.38,6.16,60.47,90,1.18,1.18,1.66,1.66,0,0,0,1.18,0.24,0,0,0,0,13.97,0.0,48.08,1.66,0.24,33.33,3.32,58.33,1.18,0.47,0.95,0.0,1.42,0.47,0.47,16.67,0.0,0.0,,0.0,0.0,0.0,Johan Torres,Independiente Santa Fe
0.12,0.36,0.0,4.73,53.06,0.85,50.0,1.09,0.12,86.23,5.58,52.57,90,1.58,1.64,1.76,1.03,0,0,0,1.09,0.24,0,0,0,0,17.64,0.0,58.06,1.58,0.36,40.0,4.18,65.09,0.73,0.73,0.48,0.0,0.48,0.24,0.12,25.0,0.0,0.0,,0.06,0.0,0.0,Kevin Castaño,Rionegro Águilas Doradas
0.38,0.19,0.0,3.22,42.5,0.28,50.0,1.23,0.19,83.69,3.51,43.02,90,1.42,0.76,2.27,1.52,0,0,0,0.85,0.28,0,0,0,0,14.87,0.19,36.95,1.89,0.76,20.51,2.75,64.44,0.38,0.19,0.85,0.0,3.51,1.04,1.52,10.81,0.0,0.09,,0.0,0.0,0.0,Iago Falque,América de Cali
0.0,0.12,0.0,4.53,52.74,0.06,8.33,1.0,0.12,83.73,4.59,49.37,90,2.24,0.65,1.59,1.18,0,0,0,1.06,0.18,0,0,0,0,17.31,0.18,50.27,2.88,1.24,20.39,3.59,60.4,0.24,0.06,1.12,0.12,1.53,0.47,0.71,0.0,0.0,0.0,,0.0,0.0,0.0,Sherman Cárdenas,Once Caldas
0.63,0.13,0.0,3.26,36.62,0.63,41.67,0.75,0.25,85.1,3.89,37.35,90,1.88,1.0,3.51,1.38,0,0,0,0.88,0.13,0,0,0,0,17.57,0.25,37.28,1.88,0.75,26.09,1.13,64.29,0.5,0.13,0.38,0.25,2.89,1.88,0.38,21.74,0.0,0.0,,0.0,0.0,0.0,Oscar Cortés,Millonarios
0.25,0.17,0.0,1.42,32.69,0.08,50.0,0.58,0.17,78.65,1.5,33.33,90,0.5,0.83,1.08,1.67,0,0,0,0.67,0.0,0,0,0,0,11.24,0.33,24.23,3.41,1.91,37.1,1.5,52.94,0.17,0.58,0.83,0.0,1.67,0.83,0.67,15.0,0.0,0.17,,0.0,0.0,0.0,Harrison Mojica,Alianza Petrolera
0.07,0.34,0.0,3.84,45.24,1.75,66.67,0.07,0.0,85.32,5.59,50.3,90,0.81,3.17,0.54,1.08,0,0,0,0.61,0.27,0,0,0,0,7.81,0.0,45.4,0.67,0.0,0.0,2.43,61.02,2.09,2.09,1.21,0.07,0.74,0.13,0.27,9.09,0.0,0.0,,0.0,0.0,0.0,Didier Moreno,Junior Barranquilla
0.06,0.18,0.0,4.35,54.01,0.82,50.0,0.47,0.18,71.53,5.17,53.33,90,2.29,0.53,1.94,1.12,0,0,0,1.29,0.35,0,0,0,0,9.46,0.06,23.91,2.64,1.53,31.71,2.06,43.21,0.94,0.82,0.7,0.0,1.47,0.65,0.29,4.0,0.0,0.06,,0.0,0.0,0.0,Blas Diaz,Atlético Huila
