goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.28,0.0,0.0,5.09,50.0,1.13,30.77,0.85,0.0,72.73,6.23,44.9,90,3.4,1.42,1.98,1.7,0,0,0,0.85,0.0,0,0,0,0,6.79,0.57,20.38,2.83,1.7,35.29,1.13,50.0,0.57,0.0,0.0,0.0,1.7,0.28,0.57,16.67,0.0,0.28,,0,0,0,Guillermo Murillo,Internacional de Palmira
0.29,0.0,0.0,2.78,41.3,1.32,75.0,0.44,0.15,77.3,4.1,48.28,90,1.17,1.17,1.61,1.46,0,0,0,0.59,0.0,0,0,0,0,6.88,0.15,15.95,1.17,0.44,30.0,0.15,33.33,0.44,0.44,0.88,0.0,2.34,1.17,0.29,12.5,0.0,0.73,,0,0,0,Yony González,Deportivo Cali
0.34,0.07,0.07,2.6,38.0,0.75,37.93,0.68,0.07,74.14,3.35,37.98,90,1.16,1.51,1.3,1.23,0,0,0,0.82,0.07,0,0,0,0,5.68,0.14,14.71,1.57,0.41,33.33,1.03,51.72,0.48,0.41,0.82,0.34,2.81,1.1,0.48,12.2,0.21,0.27,,0,0,0,Mender García,Once Caldas
0.2,0.41,0.1,2.54,40.98,0.2,25.0,0.41,0.41,76.02,2.75,39.13,90,1.12,1.63,1.53,1.32,0,0,0,1.22,0.1,0,0,0,0,11.08,0.31,30.31,2.24,0.81,27.59,1.53,62.5,0.61,0.1,0.2,0.2,1.22,0.31,0.2,16.67,0.2,0.81,,0,0,0,Teófilo Gutiérrez,Deportivo Cali
0.24,0.0,0.0,2.15,52.94,0.72,25.0,0.24,0.0,74.19,2.86,41.38,90,1.67,0.72,0.72,1.43,0,0,0,1.43,0.24,0,0,0,0,6.92,0.24,16.47,0.72,0.48,28.57,1.19,62.5,0.24,0.24,0.24,0.24,3.58,1.43,0.72,6.67,0.24,0.24,,0,0,0,Feiver Mercado,Internacional de Palmira
0.11,0.06,0.06,1.91,37.78,0.9,48.48,0.28,0.22,73.47,2.8,40.65,90,0.84,1.12,0.95,1.06,0,0,0,0.9,0.06,0,0,0,0,9.02,0.39,26.84,2.52,1.57,31.82,1.29,31.94,0.28,0.73,0.67,0.06,1.06,0.5,0.28,10.53,0.0,0.11,,0,0,0,Kevin Londoño,Alianza Petrolera
0.0,0.34,0.0,6.98,64.06,0.51,42.86,2.21,0.0,79.21,7.49,61.97,90,2.89,1.02,0.85,2.04,0,0,0,1.53,0.0,0,0,0,0,9.7,0.34,23.99,1.87,0.85,20.0,1.53,69.23,0.68,0.68,0.85,0.0,1.19,0.17,0.51,0.0,0.0,0.0,,0,0,0,Andrey Estupiñán,Independiente Santa Fe
0.26,0.19,0.0,4.93,47.24,0.45,41.18,2.3,0.13,82.88,5.38,46.67,90,1.47,0.77,2.11,1.28,0,0,0,0.51,0.13,0,0,0,0,9.73,0.19,32.84,1.09,0.38,28.57,1.73,61.36,0.51,0.0,0.7,0.13,1.41,0.58,0.19,18.18,0.06,0.06,,0,0,0,Andrés Ibargüen,Deportes Tolima
0.11,0.21,0.11,4.08,53.52,0.54,35.71,0.54,0.0,74.68,4.62,50.59,90,2.68,1.61,0.86,1.4,0,0,0,1.07,0.43,0,0,0,0,9.13,0.11,19.01,1.61,0.86,38.1,1.18,64.71,0.64,0.11,0.43,0.0,2.15,0.97,0.64,5.0,0.0,0.32,,0,0,0,Fredy Salazar,Rionegro Águilas Doradas
0.38,0.0,0.0,3.0,43.24,1.5,47.06,0.94,0.0,77.22,4.5,44.44,90,1.13,1.13,1.13,1.31,0,0,0,0.94,0.19,0,0,0,0,4.88,0.0,11.44,1.13,0.0,0.0,0.56,60.0,0.0,0.19,0.56,0.38,2.81,0.94,0.56,13.33,0.19,0.0,,0,0,0,Antony Vásquez,Rionegro Águilas Doradas
0.0,0.23,0.23,5.95,46.43,0.0,0.0,2.75,0.23,70.3,5.95,44.07,90,2.06,2.75,0.92,2.52,0,0,0,0.46,0.0,0,0,0,0,9.16,0.92,16.26,2.52,2.52,23.4,1.15,45.45,0.23,0.0,0.69,0.0,5.27,1.6,1.37,0.0,0.0,0.0,,0,0,0,Carlos Rivas,Deportivo La Equidad
0.35,0.18,0.0,4.05,46.46,0.71,38.1,1.15,0.26,73.89,4.76,45.0,90,2.03,1.32,1.76,1.67,0,0,0,0.44,0.18,0,0,0,0,5.47,0.09,14.72,1.06,0.35,15.38,0.35,25.0,1.15,0.62,0.88,0.09,1.67,0.71,0.53,21.05,0.0,0.79,,0,0,0,Luis Miranda,Deportes Tolima
0.44,0.11,0.0,0.72,26.53,1.21,45.83,0.11,0.11,63.28,1.93,36.08,90,0.39,0.72,0.66,1.32,0,0,0,0.5,0.22,0,0,0,0,3.08,0.17,6.16,0.88,0.06,16.67,0.22,57.14,0.17,0.66,0.17,0.33,1.98,0.83,0.5,22.22,0.11,0.72,,0,0,0,Jefferson Duque,Atlético Nacional
