name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,onTargetScoringAttempt,goals,interceptionWon,fouls,aerialWon,duelWon,wasFouled,shotOffTarget,totalContest,keyPass,totalTackle,bigChanceCreated,wonContest,blockedScoringAttempt,bigChanceMissed,outfielderBlock,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,dispossessed,challengeLost,penaltyConceded
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,33.0,26.0,6.0,3.0,0.0,,,45.0,38.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,,,2.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,Independiente Medellín,home,,,,,
Diego Moreno,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",,,,31,True,15.0,15.0,2.0,2.0,0.0,,,45.0,23.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,Independiente Medellín,home,,,,,
Brayan Léon Muñiz,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",Brayan Léon Muñiz,,,27,True,4.0,4.0,,,0.0,,,22.0,5.0,7.3,,"{'original': 7.3, 'alternative': None}",,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,Independiente Medellín,home,,,,,
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",,,,6,True,10.0,7.0,,,0.0,,,16.0,11.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,Independiente Medellín,home,,,,,
Marcus Vinicius,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",Marcus Vinicius,,,10,True,3.0,3.0,,,0.0,,,8.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,
Yimy Gómez,yimy-gomez,Y. Gómez,G,1,185.0,11,888100,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,933724800.0,"{'value': 235000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,
José Ortiz,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,"{'value': 700000, 'currency': 'EUR'}",,,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,12,False,24.0,7.0,22.0,5.0,0.0,,,90.0,26.0,5.8,18.0,"{'original': 5.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,1.0,1.0,,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800.0,"{'value': 410000, 'currency': 'EUR'}",,,,14,False,15.0,7.0,,,0.0,3.0,,90.0,45.0,5.8,21.0,"{'original': 5.8, 'alternative': None}",4.0,1.0,,4.0,,,,1.0,,2.0,2.0,,1.0,,,,,,,,,,Boyacá Chicó FC,away,,,2.0,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800.0,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,16.0,12.0,5.0,2.0,0.0,8.0,,90.0,31.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,1.0,2.0,,,,,3.0,3.0,,,,,,,,,,2.0,1.0,,Boyacá Chicó FC,away,,,1.0,,
