name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,fouls,onTargetScoringAttempt,outfielderBlock,keyPass,accurateCross,goals,totalOffside,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,blockedScoringAttempt,bigChanceMissed,bigChanceCreated
Anderson Plata,anderson-plata,A. Plata,M,7,172.0,69,590374,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,658022400,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بلاتا', 'hi': 'ए. प्लाटा', 'bn': 'এ. প্লাটা'}}",7,True,8.0,4.0,1.0,,0.0,1.0,,,45.0,11.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,4.0,,,,,,,1.0,2.0,,,,,,,2.0,,Rionegro Águilas Doradas,home,,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,True,19.0,13.0,6.0,2.0,0.0,1.0,1.0,,45.0,23.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,1.0,,3.0,,,,,,1.0,,2.0,,1.0,,,,,,,Rionegro Águilas Doradas,home,,,,
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,Antony Vásquez,,,9,True,1.0,1.0,,,0.0,1.0,,,24.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,1.0,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",Jhojan Escobar,,,6,True,7.0,4.0,,,0.0,,,,10.0,13.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,Rionegro Águilas Doradas,home,,,,
Juan Ávalo,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000,,Juan Ávalo,,,24,True,,,,,0.0,,,,8.0,1.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,1.0,,,,,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",Nicolás Lara,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800,"{'value': 400000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1,False,28.0,14.0,17.0,3.0,0.0,1.0,1.0,3.0,90.0,39.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,2.0,,,
Leider Riascos,leider-riascos,L. Riascos,D,29,160.0,37,1084156,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,962668800,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,27.0,14.0,5.0,1.0,0.0,8.0,,,90.0,54.0,6.6,22.0,"{'original': 6.6, 'alternative': None}",,2.0,4.0,5.0,1.0,2.0,,1.0,4.0,,4.0,1.0,,,,,,,,,Deportivo La Equidad,away,,,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,,Daniel Polanco,,,2,False,15.0,7.0,6.0,2.0,0.0,2.0,,,45.0,19.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,,,,Deportivo La Equidad,away,,,,
