name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,aerialLost,outfielderBlock,keyPass,blockedScoringAttempt,dispossessed,totalOffside,onTargetScoringAttempt,captain,team,teamType,savedShotsFromInsideTheBox,punches,bigChanceCreated,bigChanceMissed,hitWoodwork
Carlos Cruz,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,,
Nicolas Rengifo,nicolas-rengifo,N. Rengifo,,35,,7,1643444,{},EUR,,,,Nicolas Rengifo,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,,,
Cristopher Fiermarín,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800.0,"{'value': 1400000, 'currency': 'EUR'}",,,,22,False,31.0,11.0,26.0,7.0,0.0,2.0,1.0,45.0,35.0,6.8,20.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,1.0,1.0,,,
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200.0,"{'value': 605000, 'currency': 'EUR'}",,,,71,False,26.0,19.0,3.0,1.0,0.0,3.0,,45.0,36.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,,,Deportes Tolima,away,,,1.0,,
Julián Quiñones,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200.0,"{'value': 160000, 'currency': 'EUR'}",,,,3,False,38.0,30.0,9.0,5.0,0.0,4.0,,45.0,46.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,2.0,2.0,3.0,,,,,,1.0,,1.0,1.0,,,,,,,True,Deportes Tolima,away,,,,,
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187.0,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800.0,"{'value': 570000, 'currency': 'EUR'}",,,,2,False,37.0,25.0,8.0,1.0,0.0,10.0,,45.0,59.0,7.4,14.0,"{'original': 7.4, 'alternative': None}",,,3.0,3.0,5.0,,2.0,,,4.0,2.0,,1.0,,2.0,,,,,,,Deportes Tolima,away,,,,,
Junior Hernández,junior-hernandez,J. Hernández,D,20,172.0,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400.0,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",,,20,False,34.0,23.0,9.0,2.0,0.0,7.0,,45.0,60.0,7.0,13.0,"{'original': 7, 'alternative': None}",,,,3.0,5.0,1.0,3.0,2.0,2.0,,3.0,,1.0,,,,,,,,,Deportes Tolima,away,,,,1.0,
Luis Miranda,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,,,28,False,15.0,9.0,1.0,,0.0,1.0,,72.0,24.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,,7.0,2.0,,2.0,1.0,3.0,,,1.0,2.0,4.0,,,,,1.0,,,Deportes Tolima,away,,,,1.0,1.0
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",,,,6,False,26.0,23.0,2.0,2.0,0.0,1.0,,45.0,37.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,1.0,13.0,5.0,2.0,2.0,1.0,,,3.0,,8.0,1.0,2.0,,,1.0,,,,Deportes Tolima,away,,,,,
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,56.0,41.0,6.0,2.0,0.0,2.0,,45.0,66.0,6.8,18.0,"{'original': 6.8, 'alternative': None}",1.0,,1.0,3.0,1.0,,,,,2.0,,,2.0,,,,,1.0,,1.0,,Deportes Tolima,away,,,,,
Alex Castro,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,18.0,13.0,2.0,,0.0,,,81.0,37.0,6.2,17.0,"{'original': 6.2, 'alternative': None}",5.0,2.0,,8.0,4.0,1.0,4.0,1.0,,,1.0,2.0,2.0,,,,,2.0,,,,Deportes Tolima,away,,,,,
Gonzalo Lencina,gonzalo-lencina,G. Lencina,F,11,178.0,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800.0,"{'value': 825000, 'currency': 'EUR'}",,,,11,False,9.0,4.0,,,0.0,,,72.0,25.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",2.0,,1.0,7.0,5.0,,,,,,3.0,1.0,2.0,1.0,1.0,,,4.0,2.0,,,Deportes Tolima,away,,,,,
Kevin Pérez,kevin-perez,K. Pérez,M,18,170.0,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000.0,"{'value': 605000, 'currency': 'EUR'}",,,,18,False,26.0,20.0,2.0,2.0,0.0,1.0,,89.0,43.0,7.0,14.0,"{'original': 7, 'alternative': None}",2.0,,1.0,11.0,6.0,1.0,1.0,1.0,,,1.0,3.0,1.0,7.0,,1.0,1.0,2.0,,,,Deportes Tolima,away,,,1.0,,
Ever Valencia,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600.0,"{'value': 410000, 'currency': 'EUR'}",,,,8,True,8.0,7.0,1.0,,0.0,1.0,,18.0,14.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,2.0,2.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,Deportes Tolima,away,,,,,
Gustavo Ramírez,gustavo-ramirez,G. Ramírez,F,27,181.0,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800.0,"{'value': 145000, 'currency': 'EUR'}",,,,27,True,5.0,5.0,,,0.0,,,18.0,5.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,
Samuel Velásquez,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",Samuel Velásquez,,33,True,8.0,6.0,1.0,1.0,0.0,,,9.0,12.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,Deportes Tolima,away,,,,,
Andrés Arroyo,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800.0,"{'value': 370000, 'currency': 'EUR'}",,,,25,True,1.0,1.0,,,0.0,,,1.0,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,Deportes Tolima,away,,,,,
William Cuesta,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,
Marlon Torres,marlon-torres,M. Torres,D,17,180.0,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200.0,"{'value': 590000, 'currency': 'EUR'}",,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,
Fabián Mosquera,fabian-mosquera,F. Mosquera,M,19,177.0,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800.0,"{'value': 235000, 'currency': 'EUR'}",,,,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,away,,,,,
