name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,errorLeadToAGoal,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,wonContest,interceptionWon,wasFouled,fouls,totalOffside,aerialLost,aerialWon,shotOffTarget,totalClearance,totalTackle,dispossessed,blockedScoringAttempt,outfielderBlock,ownGoals,keyPass,accurateCross,bigChanceCreated,onTargetScoringAttempt,challengeLost,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,punches,bigChanceMissed,hitWoodwork
Cristian Barrios,,,cristian-barrios,C. Barrios,M,7,163.0,267,910158,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895536000.0,"{'value': 1200000, 'currency': 'EUR'}",,7,False,16.0,12.0,2.0,2.0,0.0,,,29.0,22.0,5.9,7.0,"{'original': 5.9, 'alternative': None}",,3.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,América de Cali,home,,,,,
Mateo Castillo Márquez,Mateo,Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181.0,70,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400.0,"{'value': 410000, 'currency': 'EUR'}",,13,True,21.0,17.0,2.0,,0.0,,,45.0,33.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,2.0,1.0,,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,,,América de Cali,home,,,,,
Jan Lucumí,Jan Franc Lucumi,,jan-franc-lucumi,J. Lucumí,F,17,178.0,332,1175135,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076457600.0,"{'value': 430000, 'currency': 'EUR'}",,17,True,13.0,10.0,1.0,1.0,0.0,,,45.0,18.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,2.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,América de Cali,home,,,,,
Rodrigo Holgado,,,rodrigo-holgado,R. Holgado,F,22,179.0,1146,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600.0,"{'value': 775000, 'currency': 'EUR'}",,9,True,9.0,6.0,,,0.0,,,45.0,20.0,8.4,6.0,"{'original': 8.4, 'alternative': None}",,2.0,3.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,2.0,,2.0,,América de Cali,home,,,,,
José Cavadia,,,cavadia,J. Cavadia,M,29,177.0,70,2034583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127260800.0,"{'value': 310000, 'currency': 'EUR'}",,29,True,5.0,2.0,3.0,,0.0,,,10.0,6.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,América de Cali,home,,,,,
Joider Micolta,Joider Micolta,,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400.0,"{'value': 335000, 'currency': 'EUR'}",,30,True,,,,,0.0,,,10.0,3.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,América de Cali,home,,,,,
Jorge Soto,,,jorge-soto,J. Soto,G,12,187.0,148,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Joel Romero,Joel Romero,,joel-romero,J. Romero,M,33,174.0,29,2037820,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1149120000.0,,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,,,
Kevin Armesto,Kevin Armesto,,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,22.0,10.0,17.0,5.0,0.0,,4.0,90.0,34.0,6.3,12.0,"{'original': 6.3, 'alternative': None}",,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,Llaneros FC,away,1.0,1.0,1.0,,
Geovan Montes,,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,31,False,19.0,16.0,1.0,,0.0,,,90.0,37.0,6.0,7.0,"{'original': 6, 'alternative': None}",1.0,6.0,3.0,2.0,,,,2.0,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,,,Llaneros FC,away,,,,1.0,1.0
