name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,totalTackle,onTargetScoringAttempt,keyPass,aerialLost,dispossessed,wasFouled,interceptionWon,fouls,totalOffside,accurateCross,blockedScoringAttempt,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,outfielderBlock,hitWoodwork,wonContest,goals
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000,"{'value': 310000, 'currency': 'EUR'}",,Yair Joao,Abonia Vásquez,13,True,14.0,10.0,1.0,,0.0,,,,,45.0,33.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",6.0,,2.0,2.0,,,2.0,,1.0,,1.0,,2.0,1.0,,3.0,,,,Deportivo La Equidad,home,,,,,
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800,,,Santiago López,,25,True,17.0,9.0,3.0,1.0,0.0,,,,,45.0,27.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,4.0,2.0,,1.0,1.0,,2.0,2.0,,,1.0,,2.0,2.0,2.0,2.0,,Deportivo La Equidad,home,,,,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400,"{'value': 160000, 'currency': 'EUR'}",,,,7,True,7.0,5.0,3.0,2.0,0.0,,,,,45.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,6.0,,,,,,1.0,4.0,1.0,,,2.0,,,,,,Deportivo La Equidad,home,,,,,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800,"{'value': 260000, 'currency': 'EUR'}",,Bleiner Agrón,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Daniel Polanco,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,,,Daniel Polanco,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800,"{'value': 260000, 'currency': 'EUR'}",,,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,,,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,41.0,21.0,31.0,12.0,0.0,1.0,5.0,1.0,1.0,90.0,52.0,7.8,20.0,"{'original': 7.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,2.0,,,,
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800,"{'value': 205000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",,,22,False,17.0,11.0,,,0.0,3.0,,,,59.0,34.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,1.0,3.0,1.0,,,,,,3.0,,,1.0,,,,,,,Boyacá Chicó FC,away,,1.0,,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,36.0,24.0,9.0,1.0,0.0,11.0,,,,90.0,51.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",,5.0,6.0,6.0,,,,,,5.0,,1.0,1.0,1.0,,,,,,Boyacá Chicó FC,away,,,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,18.0,10.0,6.0,,0.0,10.0,,,,90.0,37.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,3.0,1.0,3.0,1.0,,,,,,,1.0,1.0,,,,,,True,Boyacá Chicó FC,away,,1.0,,,
