name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,wonContest,onTargetScoringAttempt,outfielderBlock,totalTackle,fouls,keyPass,dispossessed,shotOffTarget,clearanceOffLine,interceptionWon,accurateCross,wasFouled,goals,captain,team,teamType,challengeLost,blockedScoringAttempt,totalOffside
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,True,4.0,3.0,,,0.0,,,,,,,32.0,6.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,1.0,2.0,,,,,,,,1.0,,,,,,,,Boyacá Chicó FC,home,,,
Jhonier Negrete,jhonier-negrete,J. Negrete,M,7,,2,2037361,{},EUR,,,,Jhonier Negrete,,7,True,1.0,1.0,,,0.0,,,1.0,,,,8.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,True,,,,,0.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,,Sebastián Colón,,29,True,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,,Arlen Banguero,,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",,Wilmar Arango,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,153,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,16.0,11.0,7.0,2.0,0.0,,,1.0,4.0,4.0,,90.0,23.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600.0,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,37.0,30.0,7.0,5.0,0.0,,3.0,2.0,,,,90.0,59.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,3.0,,,,,3.0,1.0,3.0,,,,3.0,1.0,,,,Atlético Bucaramanga,away,1.0,,
Alejandro Moralez,alejandro-moralez,A. Moralez,D,21,190.0,36,988773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987638400.0,"{'value': 210000, 'currency': 'EUR'}",,,,21,False,55.0,48.0,7.0,4.0,0.0,3.0,5.0,3.0,,,,90.0,67.0,7.2,9.0,"{'original': 7.2, 'alternative': None}",,1.0,2.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,Atlético Bucaramanga,away,1.0,3.0,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,65,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000.0,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,58.0,50.0,7.0,4.0,0.0,2.0,4.0,3.0,,,,90.0,70.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,1.0,3.0,,,1.0,,2.0,1.0,,,2.0,,1.0,,,,True,Atlético Bucaramanga,away,1.0,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,95,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,,8,False,42.0,37.0,1.0,1.0,0.0,1.0,3.0,1.0,,,,86.0,57.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,2.0,,,,,2.0,1.0,,,1.0,,,,,,,Atlético Bucaramanga,away,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800.0,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,20.0,16.0,1.0,,0.0,1.0,1.0,,,,,61.0,31.0,7.0,11.0,"{'original': 7, 'alternative': None}",7.0,,2.0,,,1.0,,,1.0,3.0,,,,,,,,,Atlético Bucaramanga,away,1.0,1.0,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,83,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400.0,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,47.0,42.0,4.0,3.0,0.0,2.0,4.0,2.0,,,,90.0,57.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,2.0,,,,,2.0,,1.0,,1.0,,1.0,1.0,,,,Atlético Bucaramanga,away,,3.0,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,187,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800.0,"{'value': 385000, 'currency': 'EUR'}",,,,28,False,45.0,38.0,8.0,7.0,0.0,,3.0,1.0,,,,90.0,60.0,7.2,15.0,"{'original': 7.2, 'alternative': None}",7.0,1.0,3.0,,,1.0,,,,,1.0,1.0,,,,3.0,,,Atlético Bucaramanga,away,1.0,,
Adalberto Peñaranda,adalberto-penaranda,A. Peñaranda,F,97,183.0,877,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800.0,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",,,97,False,21.0,18.0,4.0,4.0,0.0,,1.0,1.0,,,,45.0,30.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,6.0,3.0,,,,,1.0,2.0,,,,,,1.0,,,Atlético Bucaramanga,away,1.0,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600.0,"{'value': 465000, 'currency': 'EUR'}",,Aldair Zárate,,20,False,25.0,21.0,4.0,3.0,0.0,,3.0,,,,,74.0,33.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,2.0,,,1.0,,2.0,2.0,,,,,,,1.0,,,Atlético Bucaramanga,away,,1.0,
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400.0,"{'value': 370000, 'currency': 'EUR'}",,,,18,False,6.0,6.0,,,0.0,1.0,2.0,,,,,90.0,13.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,4.0,4.0,,,,,,,,,2.0,,,,1.0,,,Atlético Bucaramanga,away,,,1.0
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200.0,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",,,70,True,14.0,9.0,2.0,1.0,0.0,,4.0,,,,,45.0,29.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",6.0,1.0,2.0,,,,,2.0,,3.0,1.0,,,,3.0,2.0,,,Atlético Bucaramanga,away,,,
Andrés Ponce,andres-ponce,A. Ponce,F,9,182.0,259,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400.0,"{'value': 465000, 'currency': 'EUR'}",,,,9,True,8.0,5.0,,,0.0,2.0,2.0,,,,,29.0,11.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,2.0,2.0,,,1.0,,,,1.0,,1.0,,,,,,,Atlético Bucaramanga,away,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,56,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200.0,"{'value': 585000, 'currency': 'EUR'}",,Diego Chavez,,15,True,16.0,13.0,,,0.0,1.0,1.0,,,,,16.0,20.0,7.0,3.0,"{'original': 7, 'alternative': None}",3.0,,,,,,,,,1.0,,1.0,,,3.0,,,,Atlético Bucaramanga,away,,,
Andrés Andrade,andres-andrade,A. Andrade,M,17,177.0,161,248065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,604195200.0,"{'value': 145000, 'currency': 'EUR'}",,,,17,True,4.0,3.0,1.0,,0.0,,,,,,,12.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400.0,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400.0,"{'value': 105000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Larry Vásquez,larry-vasquez,L. Vásquez,M,5,186.0,88,820057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,716860800.0,"{'value': 385000, 'currency': 'EUR'}",,,,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
