name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,challengeLost,totalClearance,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelWon,bigChanceCreated,shotOffTarget,interceptionWon,totalTackle,keyPass,wasFouled,fouls,aerialWon,dispossessed,blockedScoringAttempt,totalOffside,totalContest,hitWoodwork,outfielderBlock,wonContest,onTargetScoringAttempt,goals,bigChanceMissed,errorLeadToAGoal,captain,team,teamType,savedShotsFromInsideTheBox,saves
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",,Beckham Castro,,11,False,21.0,19.0,2.0,2.0,0.0,3.0,,,,,,83.0,40.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",7.0,3.0,1.0,3.0,,1.0,,,1.0,,1.0,,1.0,,,4.0,,,3.0,1.0,,,,,Deportivo La Equidad,home,,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,,,7,True,3.0,3.0,,,0.0,1.0,,,,,,35.0,8.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,Deportivo La Equidad,home,,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,True,29.0,25.0,5.0,4.0,0.0,1.0,,,,,,34.0,31.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,,,10,True,5.0,4.0,,,0.0,3.0,,,,,,34.0,10.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",1.0,,2.0,,,1.0,,,,,2.0,,,1.0,,,,,,,,1.0,,,Deportivo La Equidad,home,,
Santiago Gómez,santiago-gomez,S. Gómez,D,21,180.0,3,929690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896227200.0,"{'value': 205000, 'currency': 'EUR'}",,,,21,True,9.0,8.0,,,0.0,,,,,,,18.0,16.0,5.1,5.0,"{'original': 5.1, 'alternative': None}",3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,Deportivo La Equidad,home,,
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,,Santiago López,,25,True,5.0,5.0,,,0.0,1.0,,,,,,18.0,9.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,Deportivo La Equidad,home,,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,Miguel Amaya,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,,
Ruben Escobar,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",,,,12,False,35.0,12.0,27.0,4.0,0.0,,,,,,,90.0,43.0,6.3,25.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,away,3.0,3.0
Neymar Uribe,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",,Neymar Uribe,,27,False,18.0,13.0,3.0,2.0,0.0,2.0,1.0,9.0,,,,90.0,46.0,7.0,9.0,"{'original': 7, 'alternative': None}",1.0,1.0,,4.0,,1.0,3.0,1.0,,1.0,,2.0,1.0,,,,,1.0,,,,,,,Envigado FC,away,,
