name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,blockedScoringAttempt,totalTackle,wasFouled,fouls,keyPass,aerialWon,totalContest,interceptionWon,outfielderBlock,shotOffTarget,wonContest,onTargetScoringAttempt,challengeLost,totalOffside,captain,team,teamType,goodHighClaim
Jhon Largacha,jhon-largacha,J. Largacha,M,11,167.0,59,1478310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074729600.0,"{'value': 185000, 'currency': 'EUR'}",,Jhon Largacha,,11,True,13.0,8.0,3.0,1.0,0.0,,,,45.0,21.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,Deportivo Pereira,home,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,True,39.0,33.0,6.0,3.0,0.0,,,,45.0,42.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,3.0,1.0,,,1.0,,2.0,1.0,,,1.0,,,,,1.0,,,Deportivo Pereira,home,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,,99,True,5.0,2.0,,,0.0,,,,45.0,8.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,2.0,,,,,1.0,,2.0,,,,1.0,,,,1.0,,Deportivo Pereira,home,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,1.0,,,,0.0,,,,11.0,2.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,,,,,,,Deportivo Pereira,home,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Eber Moreno,eber-moreno,E. Moreno,D,16,179.0,34,1173350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 290000, 'currency': 'EUR'}",,Eber Moreno,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Nicolas Rengifo,nicolas-rengifo,N. Rengifo,,35,,7,1643444,{},EUR,,,,Nicolas Rengifo,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,
Juan Camilo Chaverra,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400.0,"{'value': 190000, 'currency': 'EUR'}",,,,12,False,27.0,14.0,20.0,7.0,0.0,,,3.0,90.0,36.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,,,,2.0,,,,1.0,,,1.0,,,,,,,,,,Alianza Valledupar FC,away,1.0
Yilson Rosales,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",,,,60,False,28.0,21.0,3.0,,0.0,8.0,,,90.0,46.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",1.0,,2.0,4.0,5.0,,,2.0,,1.0,1.0,3.0,1.0,,,,,,,,,Alianza Valledupar FC,away,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,24.0,20.0,2.0,1.0,0.0,3.0,,,90.0,33.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,1.0,2.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,Alianza Valledupar FC,away,
Pedro Franco,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,,,5,False,41.0,33.0,7.0,2.0,0.0,1.0,,,90.0,50.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,,,2.0,4.0,1.0,,,1.0,1.0,1.0,3.0,,1.0,2.0,,,,,,True,Alianza Valledupar FC,away,
Kalazan Suárez,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400.0,"{'value': 245000, 'currency': 'EUR'}",,Kalazan Suárez,,22,False,29.0,19.0,7.0,,0.0,3.0,,,90.0,56.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,1.0,2.0,7.0,1.0,,1.0,3.0,,2.0,2.0,1.0,1.0,,,1.0,,,,,Alianza Valledupar FC,away,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",,Luis Pérez,,19,False,46.0,37.0,7.0,3.0,0.0,1.0,,,90.0,62.0,7.0,16.0,"{'original': 7, 'alternative': None}",2.0,,1.0,5.0,3.0,1.0,,2.0,,2.0,,,1.0,2.0,,1.0,1.0,,1.0,,,Alianza Valledupar FC,away,
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",,Diego Mendoza,,23,False,33.0,27.0,8.0,5.0,0.0,2.0,,,83.0,51.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,,,1.0,6.0,,,4.0,1.0,,,1.0,1.0,,,1.0,,,,,,Alianza Valledupar FC,away,
Edwin Torres,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,22.0,16.0,1.0,1.0,0.0,,,,88.0,41.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",11.0,3.0,3.0,4.0,2.0,1.0,,,1.0,,3.0,1.0,,,,1.0,,1.0,,1.0,,Alianza Valledupar FC,away,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,30.0,23.0,3.0,1.0,0.0,,,,69.0,42.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",4.0,,,2.0,2.0,,,,,1.0,2.0,2.0,,,,1.0,,,1.0,,,Alianza Valledupar FC,away,
Jesús Muñoz,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000.0,"{'value': 375000, 'currency': 'EUR'}",,Jesús Muñoz,,24,False,21.0,16.0,1.0,1.0,0.0,,,,70.0,43.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,7.0,10.0,4.0,1.0,4.0,6.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,Alianza Valledupar FC,away,
Misael Martínez,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000.0,"{'value': 405000, 'currency': 'EUR'}",,,,77,False,9.0,5.0,1.0,1.0,0.0,,,,70.0,19.0,7.7,4.0,"{'original': 7.7, 'alternative': None}",,,,,8.0,,,1.0,3.0,,,4.0,,,,4.0,,2.0,,,,Alianza Valledupar FC,away,
José Muñoz,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,,,10,True,12.0,10.0,,,0.0,,,,21.0,16.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200.0,"{'value': 160000, 'currency': 'EUR'}",,Cristian Vergara,,15,True,1.0,1.0,,,0.0,,,,7.0,1.0,5.1,,"{'original': 5.1, 'alternative': None}",,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,Alianza Valledupar FC,away,
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",,,,17,True,6.0,6.0,1.0,1.0,0.0,,,,20.0,9.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,2.0,3.0,,,1.0,,,,,,1.0,,,1.0,,,,,,Alianza Valledupar FC,away,
Royscer Colpa,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200.0,"{'value': 225000, 'currency': 'EUR'}",,,,8,True,2.0,1.0,,,0.0,,,,16.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,Alianza Valledupar FC,away,
Kevin Moreno,kevin-moreno,K. Moreno,D,3,187.0,13,940994,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,964310400.0,"{'value': 260000, 'currency': 'EUR'}",,,,3,True,1.0,,,,0.0,,,,11.0,1.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",,Ruben Manjarres,,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
