name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wasFouled,fouls,aerialWon,outfielderBlock,interceptionWon,keyPass,totalOffside,dispossessed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,bigChanceMissed,wonContest,bigChanceCreated,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,aerialLost
Luis Miranda,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000.0,"{'value': 290000, 'currency': 'EUR'}",,,,28,True,5.0,4.0,,,0.0,24.0,6.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,1.0,,,,,,,,,,,Deportes Tolima,home,,,,,,
Yhorman Hurtado,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",,,,26,True,12.0,10.0,1.0,,0.0,23.0,22.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",5.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,Deportes Tolima,home,,,,,,
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,,,15,True,12.0,11.0,2.0,1.0,0.0,14.0,13.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,1.0,,,,,,Deportes Tolima,home,,,,,,
Gustavo Ramírez,gustavo-ramirez,G. Ramírez,F,27,181.0,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800.0,"{'value': 145000, 'currency': 'EUR'}",,,,27,True,5.0,3.0,,,0.0,13.0,7.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,Deportes Tolima,home,,,,,,
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187.0,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800.0,"{'value': 570000, 'currency': 'EUR'}",,,,2,True,4.0,3.0,2.0,1.0,0.0,12.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,,,,Deportes Tolima,home,,,,,,
John Azcarate,john-azcarate,J. Azcarate,G,12,,4,1618635,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,John Azcarate,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,,,
Victor Reyes,victor-reyes,V. Reyes,M,16,174.0,5,2038229,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1170288000.0,,Victor Reyes,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,,,,,
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600.0,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,28.0,21.0,15.0,8.0,0.0,90.0,41.0,8.2,7.0,"{'original': 8.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,América de Cali,away,1.0,2.0,6.0,1.0,1.0,
Mateo Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181.0,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400.0,"{'value': 410000, 'currency': 'EUR'}",Mateo,Castillo Márquez,,13,False,28.0,23.0,3.0,1.0,0.0,86.0,56.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",2.0,,5.0,7.0,,5.0,1.0,4.0,1.0,2.0,,2.0,2.0,,,,,,2.0,,2.0,,,América de Cali,away,,,,,,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200.0,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,56.0,54.0,6.0,5.0,0.0,90.0,66.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,,1.0,4.0,,,5.0,3.0,1.0,,,1.0,,,,,,,,,,,,América de Cali,away,,,,,,1.0
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000.0,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,46.0,42.0,3.0,1.0,0.0,90.0,60.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,3.0,2.0,,1.0,5.0,2.0,,2.0,,,4.0,,,,,,,,,,,América de Cali,away,,,,,,
Yerson Candelo,yerson-candelo,Y. Candelo,D,92,172.0,144,158593,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698889600.0,"{'value': 525000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. كانديلو', 'hi': 'वाई. कैंडेलो', 'bn': 'ওয়াই. ক্যান্ডেলো'}}",92,False,44.0,39.0,3.0,1.0,0.0,90.0,61.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",4.0,3.0,1.0,4.0,,2.0,1.0,3.0,,,,,,3.0,,,,,,,1.0,,,América de Cali,away,,,,,,
