name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,duelWon,outfielderBlock,interceptionWon,totalTackle,keyPass,aerialWon,challengeLost,bigChanceCreated,totalOffside,totalContest,wonContest,wasFouled,totalCross,accurateCross,dispossessed,shotOffTarget,blockedScoringAttempt,fouls,onTargetScoringAttempt,goals,hitWoodwork,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600.0,"{'value': 540000, 'currency': 'EUR'}",,19,False,24.0,19.0,,,0.0,,,90.0,38.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",2.0,7.0,8.0,,,2.0,4.0,4.0,,,,1.0,,2.0,,,1.0,1.0,,4.0,1.0,,,,Independiente Medellín,home,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",,31,True,6.0,4.0,1.0,,0.0,1.0,,24.0,12.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,3.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,Independiente Medellín,home,,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 160000, 'currency': 'EUR'}",,23,True,1.0,,,,0.0,2.0,,14.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Halam Loboa,Halam Loboa,,halam-loboa,H. Loboa,,16,,7,2147451,{},EUR,,,,16,True,1.0,,1.0,,0.0,,,14.0,1.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Julian Angulo,Julian Angulo,,julian-angulo,J. Angulo,M,11,183.0,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400.0,"{'value': 265000, 'currency': 'EUR'}",,11,True,1.0,1.0,,,0.0,,,10.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",,9,True,,,,,0.0,,,10.0,1.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,,,,,,,,Independiente Medellín,home,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Jefersson Martínez,,,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,30,False,29.0,18.0,21.0,10.0,0.0,3.0,5.0,90.0,43.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,Junior Barranquilla,away,1.0,3.0
Edwin Herrera,,,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400.0,"{'value': 730000, 'currency': 'EUR'}",,3,False,27.0,22.0,3.0,1.0,0.0,1.0,,90.0,51.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",3.0,5.0,3.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,4.0,2.0,1.0,,1.0,,,,,,Junior Barranquilla,away,,
Christian Javier Báez,,,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200.0,"{'value': 290000, 'currency': 'EUR'}",,66,False,37.0,28.0,12.0,5.0,0.0,7.0,,90.0,48.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",2.0,4.0,4.0,,1.0,,,3.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,,Junior Barranquilla,away,,
Daniel Rivera,Daniel Rivera,,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",,5,False,16.0,12.0,5.0,1.0,0.0,4.0,,61.0,24.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,3.0,,1.0,3.0,,,,,,,,,,,,,,1.0,,,,,Junior Barranquilla,away,,
Jhon Navia,Jhon Navia,,jhon-navia,J. Navia,D,26,180.0,29,1128891,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059264000.0,"{'value': 340000, 'currency': 'EUR'}",,26,False,32.0,27.0,2.0,2.0,0.0,1.0,,90.0,56.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",2.0,3.0,9.0,,1.0,7.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,Junior Barranquilla,away,,
Didier Moreno,,,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",,6,False,26.0,16.0,3.0,1.0,0.0,,,89.0,38.0,7.0,11.0,"{'original': 7, 'alternative': None}",1.0,4.0,8.0,1.0,,4.0,,2.0,,,,1.0,,2.0,,,,1.0,,2.0,,,,True,Junior Barranquilla,away,,
Yimmi Chará,,,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",8,False,50.0,43.0,16.0,11.0,0.0,,,90.0,63.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,1.0,5.0,,3.0,2.0,1.0,1.0,,,,1.0,,2.0,1.0,1.0,,,,,,,,,Junior Barranquilla,away,,
Luis Daniel González,,,luis-daniel-gonzalez,L. D. González,M,10,170.0,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000.0,"{'value': 410000, 'currency': 'EUR'}",,10,False,25.0,18.0,3.0,,0.0,,,62.0,37.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",,2.0,2.0,,,,2.0,,,,,2.0,,2.0,3.0,1.0,,,1.0,,1.0,,,,Junior Barranquilla,away,,
Jordan Barrera,Jordan Andres,Barrera Herrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175.0,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600.0,"{'value': 235000, 'currency': 'EUR'}",,7,False,23.0,10.0,6.0,1.0,0.0,,,76.0,33.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",2.0,5.0,5.0,,,2.0,2.0,3.0,1.0,,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,Junior Barranquilla,away,,
Bryan Castrillón,,,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,88,False,17.0,13.0,,,0.0,,,75.0,27.0,7.0,7.0,"{'original': 7, 'alternative': None}",,3.0,3.0,,,1.0,3.0,1.0,,,,2.0,1.0,,2.0,1.0,,,,2.0,1.0,,,,Junior Barranquilla,away,,
Guillermo Paiva,,,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",,9,False,30.0,21.0,1.0,1.0,0.0,,,90.0,42.0,7.0,15.0,"{'original': 7, 'alternative': None}",6.0,9.0,6.0,,,2.0,1.0,3.0,,,,,,1.0,,,2.0,2.0,,1.0,,,,,Junior Barranquilla,away,,
José Cuenú,José Cuenú,,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200.0,"{'value': 495000, 'currency': 'EUR'}",,4,True,13.0,7.0,3.0,,0.0,1.0,,29.0,19.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,Junior Barranquilla,away,,
José Enamorado,,,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,99,True,2.0,1.0,,,0.0,,,28.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,Junior Barranquilla,away,,
Jesús Díaz,Jesús Díaz,,jesus-diaz,J. Díaz,M,90,173.0,128,1174856,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084492800.0,"{'value': 110000, 'currency': 'EUR'}",,90,True,8.0,6.0,1.0,,0.0,,,15.0,13.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,2.0,,,,,1.0,,,,,1.0,,,2.0,,,,,1.0,,,,,Junior Barranquilla,away,,
Marco Pérez,,,marco-perez,M. Pérez,F,18,185.0,223,47244,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653616000.0,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. بيريز', 'hi': 'एम. पेरेज़', 'bn': 'এম. পেরেজ'}}",18,True,3.0,3.0,,,0.0,,,14.0,5.0,6.7,,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,Junior Barranquilla,away,,
Yani Quintero,,,yani-quintero,Yani Quintero,M,16,182.0,57,1000298,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013904000.0,"{'value': 425000, 'currency': 'EUR'}",,16,True,3.0,3.0,,,0.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Jaime Acosta,Jaime Acosta,,acosta-jaime,J. Acosta,G,12,191.0,24,1160556,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006732800.0,"{'value': 49000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
Miller Bacca,,,miller-bacca,M. Bacca,F,22,,50,1461241,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1067126400.0,"{'value': 180000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,away,,
