name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,penaltyConceded,fouls,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelWon,dispossessed,shotOffTarget,blockedScoringAttempt,totalClearance,totalTackle,wasFouled,aerialWon,challengeLost,onTargetScoringAttempt,aerialLost,outfielderBlock,totalContest,wonContest,keyPass,interceptionWon,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,goals,penaltyWon
Leonardo Castro,leonardo-castro,L. Castro,F,23,174,1091,827806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708480000,"{'value': 975000, 'currency': 'EUR'}",,,,23,False,21.0,15.0,2.0,1.0,0.0,1.0,,,,76.0,27.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,2.0,,1.0,,,,2.0,,,,1.0,,,,,,,,Millonarios,home,,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,26.0,24.0,4.0,2.0,0.0,2.0,,1.0,,45.0,47.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,4.0,,,,,1.0,3.0,,,1.0,1.0,,,,1.0,1.0,,,Millonarios,home,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,True,18.0,15.0,4.0,2.0,0.0,3.0,,,,23.0,31.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",6.0,2.0,1.0,1.0,,,,,,,,,1.0,,2.0,1.0,2.0,1.0,,,Millonarios,home,,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,5.0,4.0,,,0.0,3.0,,,,23.0,12.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,,,,1.0,,,,,,,,2.0,,1.0,,,,,,Millonarios,home,,,
Santiago Giordana,santiago-giordana,S. Giordana,F,32,181,249,789880,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,799459200,"{'value': 550000, 'currency': 'EUR'}",,,,32,True,5.0,5.0,,,0.0,,,,,14.0,9.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,Millonarios,home,,,
Diego Novoa,diego-novoa,D. Novoa,G,12,186,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000,"{'value': 185000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Jorge Arias,jorge-arias,J. Arias,D,17,184,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Felix Charrupí,felix-charrupi,F. Charrupí,M,7,182,80,972825,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,989712000,"{'value': 760000, 'currency': 'EUR'}",,,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,30.0,11.0,28.0,9.0,0.0,,,,3.0,90.0,35.0,7.0,19.0,"{'original': 7, 'alternative': None}",,,,,,,2.0,,,,,,,,,,,,,,Independiente Medellín,away,2.0,,
Léyser Chaverra,leyser-chaverra-renteria,L. Chaverra,D,2,175,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,,,2,False,34.0,22.0,9.0,3.0,0.0,2.0,,1.0,,90.0,48.0,7.2,16.0,"{'original': 7.2, 'alternative': None}",,,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,Independiente Medellín,away,,1.0,
Luis Escorcia,luis-escorcia,L. Escorcia,D,39,185,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600,"{'value': 260000, 'currency': 'EUR'}",,Luis Escorcia,,39,False,29.0,25.0,7.0,4.0,0.0,1.0,,2.0,,90.0,40.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,1.0,,,,7.0,,,1.0,,,,,,,,2.0,,,Independiente Medellín,away,,,
Daniel Londoño,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,37.0,32.0,2.0,1.0,0.0,1.0,,,,90.0,61.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",3.0,,3.0,,1.0,,7.0,2.0,,1.0,,,,1.0,1.0,,,,,,Independiente Medellín,away,,,
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,19.0,12.0,3.0,1.0,0.0,4.0,,,,90.0,29.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,,6.0,1.0,,,1.0,2.0,1.0,2.0,,,3.0,,1.0,1.0,,1.0,,,Independiente Medellín,away,,,
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,,,14,False,39.0,35.0,2.0,1.0,0.0,8.0,,1.0,,90.0,49.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,5.0,,1.0,,2.0,2.0,,3.0,,,7.0,,,,,1.0,,,Independiente Medellín,away,,,
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",,,15,False,34.0,31.0,2.0,1.0,0.0,3.0,,2.0,,74.0,37.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,True,Independiente Medellín,away,,,
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,34.0,30.0,,,0.0,5.0,,3.0,,67.0,51.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",7.0,2.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,,Independiente Medellín,away,,,
Diego Moreno,diego-moreno,D. Moreno,M,31,181,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,,,31,False,37.0,35.0,1.0,1.0,0.0,5.0,,1.0,,67.0,43.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,3.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,Independiente Medellín,away,,,
Luis Sandoval,luis-sandoval,L. Sandoval,F,9,183,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,,,9,False,36.0,24.0,3.0,,0.0,7.0,,2.0,,74.0,42.0,6.4,16.0,"{'original': 6.4, 'alternative': None}",1.0,,1.0,1.0,,,,,1.0,,1.0,,2.0,,1.0,,1.0,,1.0,,Independiente Medellín,away,,,
Brayan Léon Muñiz,brayan-leon-muniz,B. L. Muñiz,F,27,175,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,Brayan Léon Muñiz,,27,False,17.0,13.0,1.0,,0.0,8.0,,,,86.0,24.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,1.0,,,,,,1.0,,,1.0,6.0,,2.0,,3.0,,,,Independiente Medellín,away,,,1.0
Yeferson Rodallega,yeferson-rodallega,Y. Rodallega,D,17,178,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,,,17,True,7.0,6.0,,,0.0,1.0,,,,23.0,12.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,2.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,Independiente Medellín,away,,,
Léider Berrío,leider-berrio,L. Berrío,M,7,175,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,Léider Berrío,,7,True,3.0,2.0,1.0,,0.0,2.0,,2.0,,23.0,5.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,,,1.0,,,,,,1.0,,,,,,,,Independiente Medellín,away,,,
Alexis Serna,alexis-serna,A. Serna,M,80,170,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,,,80,True,7.0,6.0,,,0.0,1.0,,,,16.0,12.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,3.0,,,,,2.0,1.0,,,,,,1.0,,,,,,Independiente Medellín,away,,,
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,,,19,True,11.0,6.0,2.0,,0.0,3.0,,,,16.0,15.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,2.0,2.0,1.0,,1.0,,,2.0,,,1.0,,,,,,,,Independiente Medellín,away,,,
Mender García,mender-garcia,M. García,F,8,180,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,,,8,True,4.0,2.0,,,0.0,3.0,,1.0,,10.0,6.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,,1.0,,,1.0,,,,1.0,,,,,,,,,,Independiente Medellín,away,,,
Eder Chaux,eder-chaux,E. Chaux,G,25,189,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
José Ortiz,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
