"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90_25","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","asistencias_90_48","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png"
"S. Briñone","Estudiantes Caseros","Estudiantes Caseros","RDMF",28,75000,NA,27,2102,0,0.44,1,1.03,16.61,53.09,"Argentina","Argentina","derecho",178,82,"no",10.32,5.91,65.94,3.43,45,0.77,1.29,0.09,5.65,9.43,1.33,4,0.17,1,0.04,0.86,0,0,0,0.02,0,0,17,0.73,17.65,0,0.04,0.64,46.67,0.21,60,0.43,40,0.09,0.77,55.56,4.2,51.02,0.43,0.34,0.04,18.92,0.94,1.5,37.68,76.7,16.87,66.75,3.94,91.3,11.95,86.74,31.81,80.48,5.22,57.38,20.41,33.34,0.04,0,0,0.09,0,0.17,7.06,64.85,1.54,38.89,0.43,50,0.39,0.21,8.99,76.67,0,NA,0,NA,0,0,0,0,NA,NA,0.13,NA,0.39,0.09,0,0.64,0,0,"Argentina","EST","ARG_EST","Mediocampo_Defensivo",NA
"A. Paz","Nueva Chicago","Nueva Chicago","RAMF",21,0,"2024-12-31",33,2097,2,3.8,2,1.83,20.77,40.29,"Argentina","Argentina",NA,177,81,"no",6.78,6.52,51.97,2.06,43.75,0.82,1.33,0,2.58,4.21,2.27,9,0.39,0,0,3.13,0.09,2,0.09,0.16,0,0,34,1.46,29.41,5.882,0.09,3.18,18.92,0.21,40,2.96,17.39,0.52,3.56,57.83,8.84,36.89,2.66,2.23,1.24,10.73,1.89,0.86,15.92,61.46,3.65,55.29,2.83,87.88,5.45,55.12,12.1,74.47,0.73,29.41,18.87,15.08,0.08,0,0,0.09,50,0.39,1.55,69.44,1.97,32.61,0.13,33.33,0.34,0.64,1.8,61.9,0,NA,0,NA,0,0,0,0,NA,NA,0.04,NA,0.04,0,0,0.09,0,0,"Argentina","NUC","ARG_NUC","Mediocampo_Ofensivo",NA
"M. Acosta","Estudiantes Caseros","Estudiantes Caseros","CF",32,250000,"2025-12-31",24,2083,6,7.82,1,1.85,19.96,41.77,"Argentina","Argentina","izquierdo",190,94,"no",2.64,2.42,55.36,6.61,46.41,0.26,0.43,0.04,1.04,1.72,1.38,5,0.22,0,0,1.6,0.26,2,0.09,0.34,0,0,36,1.56,52.78,16.667,0.04,0.78,38.89,0.52,50,0.26,16.67,0.09,0.82,47.37,6.48,32,2.42,0.26,0.09,7.09,1.38,1.3,13.18,67.87,2.42,53.57,3.02,85.71,4.41,58.82,11.58,71.64,0.82,42.11,15.8,17.43,0.08,0,0,0.09,100,0.39,1.51,51.43,1.38,53.13,0.13,66.67,0.82,0.3,1.25,86.21,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,4,100,"Argentina","EST","ARG_EST","Delanteros",NA
"M. Tagliamonte","Gimnasia Mendoza","Gimnasia Mendoza","GK",26,4e+05,"2024-12-31",21,2078,0,0,0,0.19,0.52,91.67,"Argentina","Argentina","derecho",194,78,"si",1.26,0.04,100,0.17,100,0.04,0.07,0,1.17,1.99,0,1,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0.22,80,0,0,0,4.24,0.26,0.09,10.96,73.52,7.8,64.44,0,0,2.95,95.59,5.59,96.12,5.28,50.82,43.6,58.59,0.01,0,0,0,0,0,3.59,50.6,0.48,9.09,0.35,25,0.09,0,4.11,77.89,14,0.61,47,2.04,9,70.21,11.81,0.51,-2.19,-0.095,0,1.21,NA,NA,NA,0,0,0,"Argentina","GIM","ARG_GIM","Arqueros","ARQUEROS_GIMNASIA_MENDOZA_M_TAGLIAMONTE.png"
"G. Rivero","Talleres Remedios","Talleres Remedios","CF",32,175000,"2025-12-31",35,2068,2,6.19,1,0.89,28.98,30.33,"Argentina","Argentina","derecho",182,83,"no",3.61,3.09,43.66,9.05,36.54,0.17,0.27,0.09,2.09,3.2,2.57,5,0.22,0,0,1.26,0.09,2,0.09,0.27,0,0,36,1.57,30.56,5.556,0.04,0.61,7.14,0.17,25,0.44,0,0,1.26,55.17,10.79,25.81,2.05,0.48,0.09,8.97,3.13,1.57,14.8,66.76,3.79,51.72,2.79,90.63,5.05,62.07,12.71,71.58,1.57,50,17.65,17.4,0.04,0,0.09,0.09,50,0.13,2.7,50,0.96,27.27,0.26,33.33,0.7,0,1.87,69.77,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,1,0,"Argentina","TAL","ARG_TAL","Delanteros",NA
"A. Rufinetti","San Telmo","San Telmo","GK",25,25000,"2025-12-31",21,2067,0,0,0,0,0.96,85.71,"Argentina","Argentina","derecho",185,75,"si",1.46,0.05,100,0.55,75,0,0,0,1.42,2.31,0.05,3,0.13,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0.18,100,0,0,0,12.3,0.05,0.09,24.04,83.84,14.03,73.94,0,0,9.55,98.09,13.76,98.67,10.24,64.29,35.55,51.09,0,0,0,0,0,0,3.61,54.43,0.32,14.29,0.23,40,0,0,6.86,74,21,0.96,85,3.89,6,75.29,22.49,1.03,1.49,0.068,0,1.23,NA,NA,NA,0,0,0,"Argentina","STE","ARG_STE","Arqueros",NA
"S. Gauna","Almirante Brown","Almirante Brown","DMF",22,0,"2026-12-31",26,2064,2,0.47,1,0.55,13.43,51.95,"Argentina","Argentina",NA,0,0,"no",8.68,6.15,60.99,1.09,52,0.48,0.75,0.26,4.45,6.97,1.4,5,0.22,1,0.04,1.4,0.09,2,0.09,0.02,0,0,13,0.57,38.46,15.385,0.04,1.18,33.33,0.22,40,0.87,30,0.22,1.13,69.23,4.1,39.36,0.22,0.7,0.09,13.08,0.17,0.44,28.04,74.96,11.6,55.64,2.4,94.55,11.12,89.8,21.37,82.65,5.54,53.54,21.46,33.25,0.02,0,0,0.09,0,0.09,6.89,55.7,1.7,41.03,0.78,27.78,0.52,0.52,6.28,72.22,0,NA,0,NA,0,0,0,0,NA,NA,0.09,NA,0.04,0,0,0.13,0,0,"Argentina","ALM","ARG_ALM","Mediocampo_Defensivo",NA
"M. Álvarez","Gimnasia Jujuy","Gimnasia Jujuy","GK",36,3e+05,NA,21,2061,0,0,0,0,0.61,71.43,"Argentina","Argentina","derecho",185,86,"no",1.05,0.13,66.67,0.26,66.67,0.04,0.07,0,0.92,1.53,0.04,3,0.13,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,0,8.56,0.22,0.17,16.64,87.4,9.08,80.29,0,0,7.25,96.99,10.35,98.31,6.24,69.93,36.75,55.01,0,0,0,0,0,0,2.45,67.86,0.22,20,0,0,0.04,0,5.28,76.03,10,0.44,74,3.23,12,86.49,14.46,0.63,4.46,0.195,0,1.27,NA,NA,NA,0,0,0,"Argentina","GIJ","ARG_GIJ","Arqueros",NA
"N. Avellaneda","Chacarita Juniors","Chacarita Juniors","GK",32,3e+05,NA,21,2059,0,0,0,0,0.17,50,"Argentina","Argentina","derecho",191,84,"no",1.62,0.04,0,0.09,50,0,0,0,1.62,2.56,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0,7.91,0.04,0.04,15.39,85.23,9.44,78.24,0,0,5.29,96.69,8.74,97.5,6.64,69.08,33.52,49.9,0,0,0,0,0,0,1.66,65.79,0.17,25,0.13,33.33,0.04,0,5.07,74.14,15,0.66,72,3.15,11,79.17,17.64,0.77,2.64,0.115,0,1.14,NA,NA,NA,0,0,0,"Argentina","CHA","ARG_CHA","Arqueros",NA
"L. Angelini","Estudiantes Río Cuarto","Estudiantes Río Cuarto","LB",30,0,"2026-12-31",28,2057,1,0.38,1,0.72,14.35,55.49,"Argentina","Argentina","izquierdo",185,78,"si",9.06,7.04,64.6,2.36,55.56,0.7,1.03,0.13,3.81,5.59,1.27,6,0.26,0,0,1.4,0.04,1,0.04,0.02,0,0,13,0.57,15.38,7.692,0.04,2.36,24.07,2.28,25,0.09,0,0.44,1.09,64,2.93,46.27,0.39,0.79,0.13,24.11,1.53,0.66,36.67,69.69,19.65,63.92,3.28,96,9.19,74.29,26.91,79.02,7.48,50.29,23.76,32.12,0.03,0.04,0.04,0.04,100,0.09,8.23,65.96,2.19,40,0.35,25,0.35,0.66,12.12,76.17,0,NA,0,NA,0,0,0,0,NA,NA,0.74,NA,0.39,0.04,0,0.09,0,0,"Argentina","AAE","ARG_AAE","Defensas",NA
"S. Gallardo","Talleres Remedios","Talleres Remedios","RB",26,0,NA,25,2054,0,0.16,1,0.54,18.45,52.73,"Argentina","Argentina",NA,169,73,"no",8.81,6.92,63.29,3.77,51.16,0.31,0.45,0.04,4.12,6.08,1.05,6,0.26,0,0,0.92,0,0,0,0.01,0,0,10,0.44,10,0,0.04,1.53,22.86,0.18,0,1.36,25.81,0.26,1.31,40,4.86,40.54,0.35,0.96,0.44,9.46,0.57,1.18,23.05,67.11,11.66,62.78,2.63,88.33,5.13,68.38,17.13,75.7,4.47,48.04,19.69,30.35,0.02,0,0,0,0,0.09,4.51,61.17,1.31,33.33,0.13,66.67,0.22,0.35,5.83,61.65,0,NA,0,NA,0,0,0,0,NA,NA,0.09,NA,0,0,0,0,0,0,"Argentina","TAL","ARG_TAL","Defensas",NA
"A. Martínez","Nueva Chicago","Nueva Chicago","RB",33,50000,NA,28,2054,1,0.43,3,2.93,12.49,50.53,"Argentina","Argentina","derecho",177,71,"no",5.3,5.13,63.25,1.53,37.14,0.13,0.21,0.04,1.93,3.13,1.1,9,0.39,0,0,3.11,0.04,1,0.04,0.02,0,0,9,0.39,22.22,11.111,0.13,5.21,35.29,0.09,0,5.13,35.9,0.48,2.1,56.25,3.94,46.67,0.53,2.32,0.74,21.34,2.45,0.66,33.17,68.03,12.01,60.95,4.56,91.35,11.3,68.6,21.3,81.28,6.84,51.92,23.71,31.82,0.13,0,0,0,0,0.39,4.86,59.46,4.69,39.25,0.26,16.67,0.26,1.93,9.95,67.4,0,NA,0,NA,0,0,0,0,NA,NA,0.09,NA,0.53,0,0,0.92,0,0,"Argentina","NUC","ARG_NUC","Defensas",NA
"E. Silcan","Agropecuario","Agropecuario","LB",25,125000,NA,25,2045,0,0.55,2,1.27,13.16,51.51,"Argentina","Argentina","izquierdo",182,73,"no",8.36,6.07,63.04,2.86,47.69,0.48,0.73,0.18,4.05,6.07,0.57,4,0.18,0,0,0.7,0,0,0,0.02,0,0,9,0.4,22.22,0,0.09,1.23,28.57,1.23,28.57,0,0,0.04,0.57,46.15,1.8,31.71,0.48,0.48,0.13,17.12,1.41,0.44,25.75,72.48,13.03,63.18,3.26,95.95,6.91,78.98,19.23,83.98,5.33,40.5,23.29,39.21,0.06,0,0,0.04,0,0.09,4.49,55.88,1.28,27.59,0.22,20,0.18,0.31,6.6,68.67,0,NA,0,NA,0,0,0,0,NA,NA,0.57,NA,0,0,0,0.13,0,0,"Argentina","AGR","ARG_AGR","Defensas",NA
"S. Rinaudo","Central Norte","Central Norte","RB",27,0,"2025-12-31",21,2039,0,0.33,2,0.83,16.33,51.14,"Argentina","Argentina","derecho",177,0,"no",8.68,6.77,62.33,3.43,40.54,0.51,0.74,0.05,3.94,5.69,1.39,7,0.31,0,0,1.9,0,0,0,0.02,0,0,20,0.93,20,0,0.09,2.6,25,0.09,50,2.51,24.07,0.28,1.72,59.46,3.99,51.16,0.42,1.07,0.32,11.69,0.93,1.35,20.83,61.69,9.6,63.29,1.86,77.5,5.71,54.47,13.22,75.79,5.15,42.34,23.63,37.8,0.04,0,0,0.14,33.33,0.32,4.96,59.81,2.55,36.36,0.6,38.46,0.46,0.7,6.63,69.23,0,NA,0,NA,0,0,0,0,NA,NA,0.19,NA,0,0,0,0,0,0,"Argentina","CEN","ARG_CEN","Defensas",NA
"R. Ramírez","Nueva Chicago","Nueva Chicago","LB",25,1e+05,"2025-12-31",28,2032,1,0.99,0,0.65,19.4,52.28,"Argentina","Argentina","izquierdo",0,0,"no",10.19,8.02,61.33,3.37,52.63,0.09,0.14,0.22,5.18,8.24,1.68,5,0.22,0,0,1.77,0.04,1,0.04,0.04,1,0.04,18,0.8,27.78,5.556,0,2.17,32.65,2.17,32.65,0,0,0.04,1.42,59.38,5.23,44.92,0.62,1.51,0.31,19.18,2.52,1.33,30.56,66.67,15.32,60.12,3.54,92.5,7.09,70,21.92,77.37,6.69,41.72,21.87,38.65,0.03,0.04,0.04,0.22,0,0.13,6.6,54.36,2.13,31.25,0.44,30,0.27,0.62,9.12,68.45,0,NA,0,NA,0,0,0,0,NA,NA,0.22,NA,0,0,0,0,0,0,"Argentina","NUC","ARG_NUC","Defensas",NA
"G. Berterame","Estudiantes Caseros","Estudiantes Caseros","RAMF",29,225000,NA,27,2020,2,2.95,1,3.1,19.78,40.32,"Argentina","Argentina","derecho",168,65,"no",6.37,4.68,58.1,1.65,32.43,1.25,2.04,0.04,2.41,3.93,1.02,4,0.18,0,0,2.36,0.09,2,0.09,0.13,0,0,31,1.38,25.81,6.452,0.04,2.36,32.08,0.45,30,1.87,30.95,0.27,3.07,36.23,9.71,33.03,2.05,1.69,0.31,17.06,1.6,1.69,26.24,73.68,6.95,64.74,4.81,88.89,7.84,72.73,22.72,78.82,1.25,57.14,15.4,17.42,0.14,0,0.04,0.18,75,0.49,2.99,65.67,2.23,48,0.27,66.67,0.45,0.76,3.83,65.12,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0.71,0.04,0,1.65,0,0,"Argentina","EST","ARG_EST","Mediocampo_Ofensivo",NA
"D. Abello","Nueva Chicago","Nueva Chicago","LCB",30,75000,NA,27,2008,0,0.86,0,0.6,10.62,59.07,"Argentina","Argentina","derecho",184,0,"no",7.89,3.72,78.31,3.94,57.95,0.49,0.66,0.4,4.48,5.99,0.36,4,0.18,0,0,0.31,0,0,0,0.04,0,0,5,0.22,40,0,0,0.31,42.86,0.31,42.86,0,0,0,0.13,66.67,0.63,28.57,0.36,0.09,0,10.58,0.36,0.27,23.84,71.05,15.37,63.56,0.85,94.74,6.01,84.33,16.54,82.38,7.04,45.22,22.81,34.47,0.03,0,0,0,0,0,5.24,54.7,0.9,30,0.31,14.29,0.27,0.13,7.66,64.91,0,NA,0,NA,0,0,0,0,NA,NA,0.45,NA,0.04,0,0,0,0,0,"Argentina","NUC","ARG_NUC","Defensas",NA
"E. Franco","Deportivo Morón","Deportivo Morón","RCMF",30,0,NA,36,2006,4,3.57,3,1.94,16.94,48.49,"Argentina","Argentina","derecho",182,74,"no",7.98,7.1,62.09,2.32,56,0.32,0.52,0.23,3.25,5.17,1.21,3,0.13,0,0,1.07,0.18,4,0.19,0.17,2,0.09,18,0.84,44.44,22.222,0.14,0.88,26.32,0.05,0,0.7,20,0.14,0.88,47.37,5.34,29.57,1.67,0.46,0.05,20.56,1.58,0.46,32.4,78.65,10.81,67.38,5.62,93.39,8.17,80.11,29.15,82.64,2.41,48.08,16.74,27.59,0.09,0,0.09,0.14,33.33,0.28,5.11,65.45,1.25,44.44,0.28,0,0.42,0.23,5.66,74.59,0,NA,0,NA,0,0,0,0,NA,NA,0.05,NA,0,0,0,0,0,0,"Argentina","DMO","ARG_DMO","Mediocampo",NA
"C. Díaz","Club Atlético Mitre","Club Atlético Mitre","RWB",36,25000,NA,24,2003,2,1.23,2,1.94,16.22,51.25,"Argentina","Argentina, Spain","derecho",167,63,"no",9.93,6.38,67.61,3.77,46.43,1.12,1.64,0.36,4.49,6.56,0.67,4,0.18,0,0,2.11,0.09,2,0.09,0.06,0,0,16,0.72,18.75,12.5,0.09,2.88,40.63,0.81,50,1.98,38.64,0.09,1.57,48.57,4.22,39.36,0.85,0.99,0.36,19.01,1.84,0.94,30.51,69.07,11.86,55.3,3.41,92.11,11.01,74.29,22.15,78.5,5.66,45.24,20.84,34.77,0.09,0.09,0,0.18,25,0.22,6.29,55,3.55,39.24,0.99,13.64,0.58,0.94,8.49,71.96,0,NA,0,NA,0,0,0,0,NA,NA,0.18,NA,0.27,0,0,0.45,0,0,"Argentina","MIT","ARG_MIT","Defensas",NA
"J. Segovia","Defensores de Belgrano","Defensores de Belgrano","LCB",36,1e+05,NA,21,2000,0,0.6,0,0,12.02,67.04,"Argentina","Argentina","izquierdo",185,89,"no",7.83,4.81,75.7,3.38,68,0,0,0.45,4.19,6.01,0.81,3,0.14,0,0,0.23,0,0,0,0.03,0,0,6,0.27,50,0,0,0.14,33.33,0.14,33.33,0,0,0,0.05,100,0.86,47.37,0.45,0.41,0.14,12.38,0.36,0.77,23.99,80.68,10.94,69.14,1.44,93.75,9.72,90.74,18.72,86.54,5.13,60.53,23.02,38.67,0,0,0,0,0,0,3.33,67.57,0.5,54.55,0.23,20,0.14,0.05,6.48,59.72,0,NA,0,NA,0,0,0,0,NA,NA,1.08,NA,0,0,0,0,0,0,"Argentina","DEF","ARG_DEF","Defensas",NA
"B. Mieres","Club Atlético Mitre","Club Atlético Mitre","RWB",29,225000,NA,26,1999,0,1.01,3,2.32,14.59,47.84,"Argentina","Argentina","derecho",181,70,"no",6.57,5.09,53.98,3.06,50,0.23,0.35,0.32,3.6,5.53,1.17,4,0.18,0,0,2.84,0,0,0,0.05,0,0,22,0.99,18.18,0,0.14,4.19,37.63,0.27,33.33,3.87,37.21,0.36,1.62,63.89,3.96,40.91,1.35,0.81,0.05,19.63,3.2,0.63,28.9,64.33,10.22,55.07,4.41,98.98,10.13,62.22,19,75.83,5.85,44.62,22.36,36.1,0.1,0,0.09,0.09,50,0.5,4.95,53.64,4.19,43.01,0.81,27.78,0.72,1.44,8.28,71.2,0,NA,0,NA,0,0,0,0,NA,NA,0.41,NA,0.72,0.18,0,2.25,0,0,"Argentina","MIT","ARG_MIT","Defensas",NA
"L. Olivera","Defensores Unidos","Defensores Unidos","LB",26,150000,NA,26,1999,0,0.58,1,1.39,16.48,50.27,"Argentina","Argentina","izquierdo",168,68,"no",8.87,7.16,70.44,2.97,36.36,0.14,0.19,0.18,3.69,5.14,0.86,4,0.18,2,0.09,1.85,0,0,0,0.03,0,0,9,0.41,33.33,0,0.05,2.97,37.88,2.88,37.5,0.05,100,0.27,1.22,48.15,3.15,30,1.26,0.99,0.41,17.92,2.48,0.32,30.62,74.12,13.46,67.22,3.83,92.94,7.47,75.3,23.86,83.21,3.83,45.88,18.87,31.68,0.06,0.09,0.05,0,0,0.41,4.95,64.55,3.02,52.24,0.41,11.11,0.59,1.08,7.61,75.15,0,NA,0,NA,0,0,0,0,NA,NA,0.05,NA,0.14,0,0,0.14,0,0,"Argentina","DEU","ARG_DEU","Defensas",NA
"J. Rodríguez","Gimnasia Mendoza","Gimnasia Mendoza","CF",26,150000,"2025-12-31",37,1992,4,6.76,2,2.34,24.26,39.48,"Argentina","Argentina","izquierdo",171,69,"no",5.96,6.14,57.35,3.03,29.85,0.18,0.31,0.05,2.26,3.9,1.94,5,0.23,0,0,2.12,0.18,4,0.18,0.31,0,0,43,1.94,30.23,9.302,0.09,1.31,27.59,0.77,29.41,0.5,18.18,0.14,1.67,56.76,11.93,34.85,1.94,0.81,0.23,20.87,1.54,2.17,31.22,75.83,9.53,57.82,6.01,93.23,9.94,84.55,26.39,80.99,3.52,55.13,18.39,26.31,0.11,0,0.05,0.45,50,0.18,5.47,65.29,2.39,41.51,1.13,48,0.77,0.36,4.92,78.9,0,NA,0,NA,0,0,0,0,NA,NA,0.05,NA,0.23,0,0,0.32,1,0,"Argentina","GIM","ARG_GIM","Delanteros","DELANTEROS_GIMNASIA_MENDOZA_J_RODRÍGUEZ.png"
"D. Ledesma","Almirante Brown","Almirante Brown","RCB",26,0,NA,24,1969,1,1.48,0,0,12.3,61.34,"Argentina","Argentina","derecho",183,73,"si",7.59,5.17,71.68,4.16,56.04,0.27,0.43,0.32,3.61,5.71,1.28,8,0.37,0,0,0.14,0.05,1,0.05,0.07,1,0.05,7,0.32,42.86,14.286,0,0.05,0,0,0,0.05,0,0,0,0,0.59,53.85,0.5,0.09,0,8,0.09,0.64,18.83,72.33,9.96,59.17,1.69,94.59,5.9,84.5,13.71,83,5.07,44.14,24.49,36.2,0,0,0,0,0,0,2.83,50,0.37,12.5,0.18,25,0.05,0,5.07,56.76,0,NA,0,NA,0,0,0,0,NA,NA,1.19,NA,0.05,0,0,0,0,0,"Argentina","ALM","ARG_ALM","Defensas",NA
"M. Ramos","Agropecuario","Agropecuario","LB",30,75000,NA,26,1967,0,0.3,2,1.58,15.74,58.14,"Argentina","Argentina","izquierdo",170,63,"no",9.47,8.19,68.16,1.37,46.67,0.46,0.67,0.18,3.43,5.03,1.14,5,0.23,0,0,1.74,0,0,0,0.01,0,0,5,0.23,40,0,0.09,1.92,28.57,1.78,30.77,0.14,0,0.18,1.56,70.59,3.93,46.51,0.18,1.37,0.37,23.98,1.24,0.59,37.84,77.63,15.97,68.48,7.37,93.17,10.07,82.27,29.83,86.96,6.22,46.32,21.08,30.29,0.07,0,0,0,0,0.05,7.05,65.58,2.29,36,0.41,44.44,0.23,0.69,10.07,72.73,0,NA,0,NA,0,0,0,0,NA,NA,0.5,NA,0.41,0,0,1.05,0,0,"Argentina","AGR","ARG_AGR","Defensas",NA
"F. Brandán","Temperley","Temperley","LW",35,2e+05,NA,29,1955,4,2.05,1,1.12,23.19,42.8,"Argentina","Argentina, Romania","derecho",165,63,"no",7.78,7.54,58.23,2.62,32.73,0.38,0.58,0.1,3.01,4.54,1.57,7,0.32,0,0,2.24,0.18,4,0.19,0.1,1,0.05,19,0.91,31.58,21.053,0.05,1.38,31.03,0.81,29.41,0.52,36.36,0.05,3.15,45.45,9.4,38.58,1.1,0.91,0.19,15.08,1.62,2.29,22.76,67.3,7.87,55.15,4.29,87.78,6.59,66.67,18.42,73.32,2.96,46.77,19.59,29.95,0.05,0.05,0,0.38,25,0.1,3.39,61.97,2.39,34,0.72,26.67,0.43,0.43,4.49,71.28,0,NA,0,NA,0,0,0,0,NA,NA,0.1,NA,0.24,0,0,0.57,0,0,"Argentina","TEM","ARG_TEM","Extremos",NA
"T. Rodriguez","Nueva Chicago","Nueva Chicago","RCMF",23,0,NA,27,1950,0,1.92,0,0.64,16.48,43.98,"Argentina","Argentina","derecho",0,0,"no",8.82,6.74,58.22,2.22,33.33,0.92,1.42,0.23,3.97,6.1,1.38,7,0.32,0,0,0.83,0,0,0,0.09,0,0,20,0.92,45,0,0,0.32,28.57,0.05,0,0.28,33.33,0.05,0.88,36.84,4.57,31.31,0.88,0.18,0.05,16.98,0.37,0.65,28.98,82.01,8.35,64.09,6.09,91.67,9.09,89.85,26.12,86.22,2.58,46.43,17.37,28.99,0.03,0,0.05,0,0,0.05,3.65,67.09,0.55,41.67,0.14,33.33,0.23,0.05,3.97,62.79,0,NA,0,NA,0,0,0,0,NA,NA,0.6,NA,0,0,0,0.05,0,0,"Argentina","NUC","ARG_NUC","Mediocampo",NA
"A. Medina","Defensores de Belgrano","Defensores de Belgrano","GK",38,150000,NA,20,1947,0,0,0,0.3,0.65,85.71,"Argentina","Argentina","derecho",182,79,"no",1.39,0.05,100,0.14,100,0,0,0,1.34,2.02,0,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,87.5,0,0,0,5.96,0.09,0.28,14.61,75.95,9.29,66.17,0,0,4.99,94.44,6.47,97.86,8.04,59.2,43.69,57.67,0.01,0.05,0,0,0,0.05,4.25,56.52,0.18,25,0.37,25,0.09,0,5.69,77.24,14,0.65,73,3.37,9,80.82,19.72,0.91,5.72,0.264,0,1.94,NA,NA,NA,0,0,0,"Argentina","DEF","ARG_DEF","Arqueros",NA
"A. Dattola","Almirante Brown","Almirante Brown","RCB",26,375000,NA,21,1940,1,0.44,0,0,15.31,59.7,"Argentina","Argentina","derecho",190,84,"no",9.42,7.1,66.67,4.69,61.39,0.56,0.91,0.42,4.13,6.78,1.25,3,0.14,0,0,0.28,0.05,1,0.05,0.02,0,0,5,0.23,40,20,0,0.05,0,0.05,0,0,0,0,0.37,50,1.3,32.14,0.46,0.46,0,16.28,0.56,0.42,28.99,77.6,13.5,62.2,1.99,93.02,11.18,92.12,23.06,86.32,5.89,44.09,24.39,41.06,0,0,0.05,0,0,0,4.41,47.37,0.56,8.33,0.32,42.86,0.09,0,6.08,58.78,0,NA,0,NA,0,0,0,0,NA,NA,1.76,NA,0,0,0,0,0,0,"Argentina","ALM","ARG_ALM","Defensas",NA
"J. Bigo","Estudiantes Río Cuarto","Estudiantes Río Cuarto","GK",26,25000,NA,20,1933,0,0,0,0,1.26,81.48,"Argentina","Argentina","izquierdo",183,85,"no",2.56,0.05,100,0.84,88.89,0,0,0,2.51,3.85,0,3,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,75,0,0,0,7.87,0.09,0.33,17.69,80,11.73,72.22,0.05,0,5.63,96.69,9.03,95.36,8.66,63.98,43.59,58.02,0,0,0,0,0,0,5.31,59.65,0.33,28.57,0.09,50,0.09,0,6.61,80.99,15,0.7,55,2.56,7,72.73,11.56,0.54,-3.44,-0.16,0,2.89,NA,NA,NA,0,0,0,"Argentina","AAE","ARG_AAE","Arqueros",NA
