"jugador","equipo","equipo_durante_el_periodo_seleccionado","posicion_especifica","edad","valor_de_mercado_transfermarkt","vencimiento_contrato","partidos_jugados","minutos","goles","x_g","asistencias","x_a","duelos_90","duelos_ganados_percent","pais_de_nacimiento","pasaporte","pie","altura","peso","en_prestamo","acciones_defensivas_realizadas_90","duelos_defensivos_90","duelos_defensivos_ganados_percent","duelos_aereos_en_los_90_25","duelos_aereos_ganados_percent","entradas_90","posesion_conquistada_despues_de_una_entrada","tiros_interceptados_90","interceptaciones_90","posesion_conquistada_despues_de_una_interceptacion","faltas_90","tarjetas_amarillas","tarjetas_amarillas_90","tarjetas_rojas","tarjetas_rojas_90","acciones_de_ataque_exitosas_90","goles_90","goles_excepto_los_penaltis","goles_excepto_los_penaltis_90","x_g_90","goles_de_cabeza","goles_de_cabeza_90","remates","remates_90","tiros_a_la_porteria_percent","goles_hechos_percent","asistencias_90_48","centros_90","precision_centros_percent","centros_desde_la_banda_izquierda_90","precision_centros_desde_la_banda_izquierda_percent","centros_desde_la_banda_derecha_90","precision_centros_desde_la_banda_derecha_percent","centros_al_area_pequena_90","regates_90","regates_realizados_percent","duelos_atacantes_90","duelos_atacantes_ganados_percent","toques_en_el_area_de_penalti_90","carreras_en_progresion_90","aceleraciones_90","pases_recibidos_90","pases_largos_recibidos_90","faltas_recibidas_90","pases_90","precision_pases_percent","pases_hacia_adelante_90","precision_pases_hacia_adelante_percent","pases_hacia_atras_90","precision_pases_hacia_atras_percent","pases_laterales_90","precision_pases_laterales_percent","pases_cortos_medios_90","precision_pases_cortos_medios_percent","pases_largos_90","precision_pases_largos_percent","longitud_media_pases_m","longitud_media_pases_largos_m","x_a_90","second_assists_90","third_assists_90","desmarques_90","precision_desmarques_percent","jugadas_claves_90","pases_en_el_ultimo_tercio_90","precision_pases_en_el_ultimo_tercio_percent","pases_al_area_de_penalti_90","pases_hacia_el_area_pequena_percent","pases_en_profundidad_90","precision_pases_en_profundidad_percent","ataque_en_profundidad_90","centros_desde_el_ultimo_tercio_90","pases_progresivos_90","precision_pases_progresivos_percent","goles_recibidos","goles_recibidos_90","remates_en_contra","remates_en_contra_90","porterias_imbatidas_en_los_90","paradas_percent","x_g_en_contra","x_g_en_contra_90","goles_evitados","goles_evitados_90","pases_hacia_atras_recibidos_del_arquero_90","salidas_90","tiros_libres_90","tiros_libres_directos_90","tiros_libres_directos_percent","corneres_90","penaltis_a_favor","penaltis_realizados_percent","Country","Code","logo_team","categoria","archivo_png"
"A. Gómez","Deportivo Morón","Deportivo Morón","LCB",28,175000,"2024-12-31",33,3226,2,1.18,0,0.07,14.81,62.71,"Argentina","Argentina","derecho",187,84,"no",8.82,5.11,75.41,4.74,60,0.31,0.49,0.53,4.66,7.4,0.73,8,0.22,0,0,0.5,0.06,2,0.06,0.03,0,0,10,0.28,40,20,0,0.11,0,0.11,0,0,0,0.03,0.47,70.59,1.51,46.3,0.47,0.81,0.11,15.37,0.39,0.78,30.38,75.67,17.07,64.71,0.78,92.86,10.85,92.54,22.77,84.44,7.5,50.19,25.51,40.75,0,0.03,0,0.06,100,0,5.27,52.38,0.45,12.5,0.42,13.33,0.06,0.03,8.54,65.03,0,NA,0,NA,0,0,0,0,NA,NA,0.31,NA,0,0,0,0,0,0,"Argentina","DMO","ARG_DMO","Defensas",NA
"G. Cosaro","Gimnasia Jujuy","Gimnasia Jujuy","RCB",36,50000,"2025-12-31",34,3203,0,0.68,0,1.01,13.09,59.44,"Argentina","Argentina, Italy","izquierdo",178,77,"no",8.91,4.75,76.92,5.11,56.59,0.37,0.64,0.25,4.89,8.53,0.53,5,0.14,0,0,0.34,0,0,0,0.02,0,0,10,0.28,50,0,0,0.14,40,0.08,66.67,0.06,0,0.03,0.2,57.14,0.81,37.93,0.84,0.79,0.03,21.95,0.67,0.37,40.29,80.61,21.07,71.33,1.46,92.31,15.43,91.8,30.96,87.84,9.22,56.71,25.64,41.14,0.03,0.03,0,0.08,33.33,0.08,6.69,65.13,0.67,45.83,0.31,36.36,0.45,0.08,10.65,71.24,0,NA,0,NA,0,0,0,0,NA,NA,0.65,NA,0.08,0,0,0,0,0,"Argentina","GIJ","ARG_GIJ","Defensas",NA
"G. Maffini","Estudiantes Río Cuarto","Estudiantes Río Cuarto","RCB",32,1e+05,NA,33,3162,1,0.79,1,0.2,14.29,63.15,"Argentina","Argentina","derecho",191,86,"no",8.94,4.53,79.25,6.06,57.28,0.54,0.8,0.48,4.81,7.14,0.46,4,0.11,0,0,0.17,0.03,1,0.03,0.02,0,0,6,0.17,50,16.667,0.03,0.06,50,0.03,0,0.03,100,0.03,0.11,50,1,40,0.34,0.17,0.03,17.36,0.14,0.46,33.96,77.95,17.33,65.35,1.96,95.65,12.64,92.12,25.56,85.75,8.34,54.27,25.15,42.08,0.01,0,0.03,0,0,0.06,5.92,52.88,0.43,6.67,0.46,43.75,0.06,0,8.31,67.47,0,NA,0,NA,0,0,0,0,NA,NA,1.62,NA,0,0,0,0,0,0,"Argentina","AAE","ARG_AAE","Defensas",NA
"N. Talpone","Colón","Colón","LCMF",29,375000,"2026-12-31",35,3162,3,1.84,0,0.82,17.02,52.34,"Argentina","Argentina","derecho",165,63,"no",9.17,7.09,62.65,1.76,32.26,0.74,1.32,0.2,3.98,7.08,1.71,5,0.14,1,0.03,1.31,0.09,3,0.09,0.05,0,0,36,1.02,22.22,8.333,0,0.88,45.16,0.37,30.77,0.4,50,0.11,1.14,57.5,4.98,49.71,0.57,1.22,0.4,26.04,0.54,1.51,44.03,80.93,16.39,68.75,7.51,91.29,13.75,89.03,37.74,86.35,5.41,48.95,18.71,31.88,0.02,0.06,0.03,0.06,50,0.11,9.51,71.26,1.96,43.48,0.71,28,0.54,0.46,7.8,74.09,0,NA,0,NA,0,0,0,0,NA,NA,0.83,NA,0,0,0,0.03,0,0,"Argentina","COL","ARG_COL","Mediocampo",NA
"B. Ferreyra","Gimnasia Mendoza","Gimnasia Mendoza","CF",28,2e+05,NA,35,3136,11,12.69,2,2.39,27.98,35.79,"Argentina","Argentina","derecho",189,84,"si",4.48,3.59,65.6,10.79,39.89,0.11,0.2,0.14,2.01,3.58,1.64,6,0.17,1,0.03,1.55,0.32,10,0.29,0.36,3,0.09,71,2.04,39.44,15.493,0.06,0.69,41.67,0.14,40,0.55,42.11,0.11,0.95,45.45,7.95,24.55,3.21,0.55,0.09,8.72,3.76,1.87,13,68.21,3.47,53.72,3.44,87.5,2.84,60.61,11.85,70.7,0.49,47.06,15.1,11.37,0.07,0.09,0.03,0.06,50,0.29,1.29,44.44,0.8,50,0.09,33.33,0.52,0.23,1.09,71.05,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,3,33.333,"Argentina","GIM","ARG_GIM","Delanteros","DELANTEROS_GIMNASIA_MENDOZA_B_FERREYRA.png"
"M. Silvera","Chaco For Ever","Chaco For Ever","LCB",26,250000,"2025-12-31",32,3086,1,1.15,0,0.6,16.57,60.56,"Uruguay","Uruguay","izquierdo",185,0,"no",10.56,6.88,69.92,3.97,58.82,0.55,0.78,0.26,5.19,7.27,1.22,10,0.29,0,0,0.5,0.03,1,0.03,0.03,1,0.03,9,0.26,22.22,11.111,0,0.64,36.36,0.61,33.33,0.03,100,0.09,0.35,58.33,2.13,43.84,0.52,0.55,0.09,12.48,0.35,0.87,28.76,71.91,16.89,63.9,1.72,88.14,7.96,86.08,20.59,83.29,7.58,43.85,25.08,41.86,0.02,0,0.03,0,0,0.06,6.36,57.8,1.05,44.44,0.38,38.46,0.35,0.2,8.66,70.37,0,NA,0,NA,0,0,0,0,NA,NA,0.73,NA,0.09,0,0,0,0,0,"Argentina","CFO","ARG_CFO","Defensas",NA
"G. Soto","Colón","Colón","RCB",35,50000,NA,34,3061,0,0.63,0,0.02,14.52,65.79,"Argentina","Argentina, Italy","derecho",190,85,"no",9.11,6.06,79.61,4.65,58.23,0.24,0.34,0.76,4.06,5.93,0.71,3,0.09,0,0,0.18,0,0,0,0.02,0,0,6,0.18,83.33,0,0,0,0,0,0,0,0,0,0.09,33.33,0.68,56.52,0.44,0.21,0.03,14.55,0.26,0.35,26.76,81.43,12.44,68.09,1.23,95.24,11.08,93.9,21.85,88.56,4.91,49.7,22.06,34.53,0,0,0.03,0,0,0,2.5,50.59,0.26,11.11,0.18,16.67,0.06,0,5.32,53.04,0,NA,0,NA,0,0,0,0,NA,NA,1.06,NA,0.03,0,0,0,0,0,"Argentina","COL","ARG_COL","Defensas",NA
"D. Lemos","Agropecuario","Agropecuario","DMF",36,150000,NA,34,3061,0,0.27,0,0.13,18.96,50.54,"Argentina","Argentina","derecho",178,82,"no",10.56,8.32,57.24,4.73,50.31,0.82,1.23,0.21,4.97,7.4,1.59,3,0.09,1,0.03,0.29,0,0,0,0.01,0,0,9,0.26,22.22,0,0,0.18,33.33,0.03,0,0.15,40,0,0.29,60,2.76,37.23,0.21,0.26,0,22.14,0.44,0.62,42.4,80.72,16.05,66.67,4.62,89.17,16.17,91.27,36.55,83.99,5.67,61.14,19.68,35.08,0,0,0.06,0.06,0,0,7.38,64.54,0.62,14.29,0.18,0,0.06,0.03,8.73,65.32,0,NA,0,NA,0,0,0,0,NA,NA,0.5,NA,0,0,0,0,0,0,"Argentina","AGR","ARG_AGR","Mediocampo_Defensivo",NA
"E. Aguirre","Defensores de Belgrano","Defensores de Belgrano","CF",33,3e+05,"2025-12-31",36,3052,9,9.85,6,4.29,19.43,39.15,"Argentina","Argentina","derecho",155,53,"no",4.01,4.36,63.51,3.33,19.47,0.12,0.19,0,1.12,1.76,1.36,4,0.12,0,0,2.48,0.27,6,0.18,0.29,2,0.06,67,1.98,34.33,13.433,0.18,2.71,27.17,0.74,28,1.95,27.27,0.38,2.27,45.45,8.76,38.05,3.16,1.21,0.35,16.93,2.27,1.74,25.42,64.62,6.25,58.02,5.46,78.38,7.93,58.36,20.94,70.56,1.92,50.77,17.24,32.23,0.13,0,0,0.18,16.67,0.32,2.74,60.22,3.04,43.69,0.32,9.09,0.94,0.8,3.45,75.21,0,NA,0,NA,0,0,0,0,NA,NA,0.09,NA,0.97,0.27,33.33,1.12,3,100,"Argentina","DEF","ARG_DEF","Delanteros",NA
"A. Sánchez","Defensores Unidos","Defensores Unidos","GK",38,25000,NA,31,3027,0,0,0,0,0.77,61.54,"Argentina","Argentina","derecho",188,86,"no",2.38,0.18,33.33,0.36,83.33,0.03,0.04,0,2.29,3.29,0.06,5,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.12,25,0,0.03,0.03,8.03,0.27,0.03,17.19,86.68,10.35,80.75,0,0,6.33,96.24,9.78,97.87,7.34,72.47,36.75,50.55,0,0,0,0,0,0,3,74.26,0.21,42.86,0.15,60,0.06,0,6.18,82.21,34,1.01,122,3.63,12,72.13,33.29,0.99,-0.71,-0.021,0,1.4,NA,NA,NA,0,0,0,"Argentina","DEU","ARG_DEU","Arqueros",NA
