name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,interceptionWon,totalTackle,fouls,aerialLost,aerialWon,accurateCross,totalContest,outfielderBlock,totalOffside,keyPass,dispossessed,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,wasFouled,penaltyConceded,bigChanceMissed,challengeLost,captain,team,teamType,bigChanceCreated
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,True,16.0,10.0,2.0,1.0,0.0,3.0,,,58.0,22.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,Deportivo La Equidad,home,
Deyson Copete,deyson-david-copete-cuesta,D. Copete,M,33,187.0,7,1901819,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,998438400.0,"{'value': 145000, 'currency': 'EUR'}",,Deyson David,Copete Cuesta,33,True,7.0,3.0,1.0,,0.0,,,,24.0,11.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Sebastián Tamara,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400.0,"{'value': 365000, 'currency': 'EUR'}",,,,8,True,8.0,4.0,1.0,1.0,0.0,1.0,,,21.0,13.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,Deportivo La Equidad,home,
Fabian Chaverra,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,,Fabian Chaverra,,28,True,3.0,3.0,,,0.0,1.0,,,21.0,10.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",1.0,4.0,,,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,Deportivo La Equidad,home,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,,,7,True,,,,,0.0,,,,13.0,,6.3,,"{'original': 6.3, 'alternative': None}",,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Jefferson Asprilla,jefferson-asprilla,J. Asprilla,F,37,,5,1855838,{},EUR,,,,Jefferson Asprilla,,37,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800.0,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,33.0,29.0,11.0,7.0,0.0,1.0,3.0,3.0,90.0,42.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185.0,45,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200.0,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,17,False,28.0,21.0,3.0,1.0,0.0,4.0,,,85.0,44.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,2.0,,1.0,,,,,2.0,,,1.0,,1.0,,,,,,,,,,Independiente Santa Fe,away,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400.0,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,66.0,57.0,17.0,9.0,0.0,6.0,,,90.0,75.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,3.0,3.0,,,1.0,2.0,2.0,,,,1.0,,,,,,,,1.0,,,,,Independiente Santa Fe,away,
