name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,dispossessed,totalClearance,interceptionWon,wasFouled,fouls,keyPass,totalContest,wonContest,totalTackle,aerialLost,aerialWon,outfielderBlock,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,shotOffTarget,goals,totalOffside,penaltyWon,captain,team,teamType,penaltyConceded,bigChanceCreated,challengeLost
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800,,,Marlon Balanta,,34,True,12.0,9.0,1.0,1.0,0.0,,,45.0,19.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,Independiente Santa Fe,home,,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,17.0,13.0,4.0,2.0,0.0,,,14.0,17.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,True,8.0,5.0,,,0.0,,,14.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,2.0,2.0,,,0.0,,,14.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,,,,,,,,,,,1.0,,,,,,,,,,,Independiente Santa Fe,home,,,
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173.0,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400,"{'value': 515000, 'currency': 'EUR'}",,,,80,True,2.0,,,,0.0,,,11.0,4.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,,,1.0,,,,,,,,,,,,Independiente Santa Fe,home,,,
Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000,,,Jhoyler Andrades,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,17.0,10.0,15.0,8.0,0.0,1.0,2.0,90.0,25.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,Independiente Medellín,away,,,
Léyser Chaverra,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,,,2,False,36.0,29.0,9.0,4.0,0.0,,,90.0,54.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,2.0,,7.0,,1.0,,2.0,,,1.0,,,,,,,,,,,True,Independiente Medellín,away,,,
José Ortiz,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,,,24,False,23.0,19.0,9.0,7.0,0.0,,,90.0,30.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,3.0,,3.0,1.0,,,,,,,1.0,3.0,1.0,,,,,,,,,Independiente Medellín,away,,,
Daniel Londoño,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,43.0,33.0,12.0,6.0,0.0,,,90.0,56.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,,4.0,,4.0,,1.0,,3.0,,,1.0,,2.0,,,,,,,,,,Independiente Medellín,away,,,
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,26.0,19.0,3.0,1.0,1.0,,,90.0,36.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",3.0,3.0,3.0,1.0,1.0,,2.0,2.0,2.0,,,1.0,,,,1.0,,,,,1.0,,,Independiente Medellín,away,1.0,,
