name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,totalTackle,wasFouled,keyPass,outfielderBlock,shotOffTarget,interceptionWon,fouls,dispossessed,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,errorLeadToAGoal,hitWoodwork
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,6.0,5.0,1.0,,0.0,,1.0,,,,,,62.0,14.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,,2.0,,,,,1.0,,,,1.0,,2.0,,,2.0,1.0,1.0,True,Junior Barranquilla,home,,
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000,"{'value': 410000, 'currency': 'EUR'}",,,,10,True,11.0,9.0,2.0,,0.0,,1.0,,,,,,28.0,15.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,,,,,,,,1.0,,,,,,,,,,,,,Junior Barranquilla,home,,
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,5.0,4.0,,,0.0,1.0,2.0,,,,,,28.0,8.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,,Junior Barranquilla,home,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600,"{'value': 1900000, 'currency': 'EUR'}",,,,99,True,6.0,5.0,1.0,1.0,0.0,,1.0,,,,,,22.0,12.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,,Junior Barranquilla,home,,
Déiber Caicedo,deiber-caicedo,D. Caicedo,M,20,169,313,906010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953942400,"{'value': 1500000, 'currency': 'EUR'}",,,,20,True,6.0,2.0,2.0,,0.0,1.0,1.0,1.0,,,,,22.0,7.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,Junior Barranquilla,home,,
Jhon Velez,jhon-velez,J. Velez,M,13,178,108,1174853,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059091200,"{'value': 415000, 'currency': 'EUR'}",,Jhon Velez,,13,True,2.0,2.0,,,0.0,,,,,,,,10.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,
Jesús Díaz,jesus-diaz,J. Díaz,M,90,173,128,1174856,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084492800,"{'value': 110000, 'currency': 'EUR'}",,Jesús Díaz,,90,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,18.0,15.0,8.0,5.0,0.0,,,,,,1.0,,90.0,25.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,1.0,
Léyser Chaverra,leyser-chaverra-renteria,L. Chaverra,D,2,175,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,,,2,False,46.0,38.0,7.0,3.0,0.0,1.0,5.0,,,,,,90.0,59.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",,,,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,True,Independiente Medellín,away,,
José Ortiz,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,,,24,False,38.0,34.0,6.0,4.0,0.0,1.0,3.0,2.0,,,,,79.0,46.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,,1.0,,1.0,,2.0,,,1.0,1.0,,,,,,,,,,Independiente Medellín,away,,
Daniel Londoño,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,55.0,49.0,4.0,2.0,0.0,3.0,8.0,1.0,,,,,90.0,76.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,,2.0,6.0,1.0,2.0,,5.0,,,,2.0,2.0,1.0,,,,1.0,,,,Independiente Medellín,away,,
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,,,6,False,18.0,17.0,,,0.0,1.0,3.0,3.0,,,,,45.0,25.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,3.0,,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,,Independiente Medellín,away,,
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,,,14,False,24.0,18.0,3.0,1.0,0.0,1.0,2.0,1.0,,,,,62.0,32.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",1.0,,1.0,4.0,,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,Independiente Medellín,away,,
Homer Martinez,homer-martinez,H. Martinez,M,18,186,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",,,18,False,60.0,48.0,8.0,5.0,0.0,1.0,2.0,,,,,,86.0,70.0,7.0,13.0,"{'original': 7, 'alternative': None}",,,,2.0,,1.0,,1.0,,2.0,,,,1.0,,,1.0,,,,,Independiente Medellín,away,,
Léider Berrío,leider-berrio,L. Berrío,M,7,175,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,Léider Berrío,,7,False,36.0,26.0,2.0,1.0,0.0,1.0,1.0,,,,,,86.0,53.0,7.2,18.0,"{'original': 7.2, 'alternative': None}",2.0,,1.0,3.0,,1.0,,,,3.0,1.0,1.0,1.0,,1.0,,2.0,2.0,,,,Independiente Medellín,away,,
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,46.0,39.0,5.0,4.0,0.0,2.0,6.0,1.0,,,,,90.0,72.0,7.3,21.0,"{'original': 7.3, 'alternative': None}",11.0,1.0,,4.0,1.0,1.0,,3.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,,Independiente Medellín,away,,
Luis Sandoval,luis-sandoval,L. Sandoval,F,9,183,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,,,9,False,40.0,25.0,2.0,2.0,0.0,1.0,4.0,,,,,,90.0,52.0,7.2,20.0,"{'original': 7.2, 'alternative': None}",1.0,,,1.0,,,,,3.0,1.0,,1.0,,,1.0,,,,,,,Independiente Medellín,away,,1.0
Mender García,mender-garcia,M. García,F,8,180,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,,,8,False,6.0,4.0,,,0.0,1.0,1.0,,,,,,45.0,8.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,1.0,,,,,1.0,,,,,,,,1.0,,,,Independiente Medellín,away,,
Julian Angulo,julian-angulo,J. Angulo,M,11,183,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400,"{'value': 265000, 'currency': 'EUR'}",,Julian Angulo,,11,True,12.0,11.0,,,0.0,,1.0,,,,,,45.0,21.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",1.0,,2.0,5.0,,2.0,,1.0,,,,,,,1.0,,,,,,,Independiente Medellín,away,,
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,,,19,True,9.0,7.0,,,0.0,1.0,2.0,,,,,,45.0,12.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,3.0,5.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,Independiente Medellín,away,,
Juan Arizala,arizala-juan,J. Arizala,D,71,183,488,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400,"{'value': 380000, 'currency': 'EUR'}",,,,71,True,13.0,11.0,,,0.0,,1.0,,,,,,28.0,18.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,Independiente Medellín,away,,
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",,,15,True,9.0,6.0,2.0,1.0,0.0,1.0,1.0,,,,,,11.0,10.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,Independiente Medellín,away,,
Alexis Serna,alexis-serna,A. Serna,M,80,170,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,,,80,True,7.0,6.0,1.0,,0.0,,,,,,,,12.0,9.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,Independiente Medellín,away,,
Eder Chaux,eder-chaux,E. Chaux,G,25,189,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,
Luis Escorcia,luis-escorcia,L. Escorcia,D,39,185,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600,"{'value': 260000, 'currency': 'EUR'}",,Luis Escorcia,,39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,
