name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,totalContest,wonContest,bigChanceCreated,shotOffTarget,totalClearance,clearanceOffLine,outfielderBlock,interceptionWon,totalTackle,aerialLost,blockedScoringAttempt,fouls,onTargetScoringAttempt,challengeLost,bigChanceMissed,captain,team,teamType,fieldTranslations,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,goals
Yeicar Perlaza,Yaicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400.0,,,27,False,6.0,4.0,1.0,,0.0,4.0,2.0,,,81.0,20.0,7.1,6.0,1.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,2.0,1.0,1.0,,,1.0,,,,Independiente Santa Fe,away,,,,,,
Hugo Rodallega,,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600.0,"{'value': 48000, 'currency': 'EUR'}",,11,False,14.0,6.0,2.0,1.0,1.0,4.0,1.0,,,89.0,22.0,7.4,10.0,1.0,"{'original': 7.4, 'alternative': None}",,,2.0,3.0,,2.0,1.0,1.0,,1.0,,,,,2.0,,,2.0,,,True,Independiente Santa Fe,away,,,,,,
Alexis Zapata,,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000.0,"{'value': 670000, 'currency': 'EUR'}",,10,False,13.0,7.0,2.0,1.0,0.0,,,,,63.0,21.0,6.7,10.0,2.0,"{'original': 6.7, 'alternative': None}",3.0,2.0,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,,Independiente Santa Fe,away,,,,,,
Edwar López,,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200.0,"{'value': 390000, 'currency': 'EUR'}",,28,True,9.0,7.0,1.0,1.0,0.0,4.0,,,,45.0,17.0,7.1,3.0,1.0,"{'original': 7.1, 'alternative': None}",,,,2.0,,1.0,1.0,,,1.0,,,,3.0,2.0,,,,,,,Independiente Santa Fe,away,,,,,,
Tomas Molina,Tomas Molina,tomas-molina,T. Molina,M,31,,12,1602380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083110400.0,,,31,True,1.0,,,,0.0,,,,,27.0,6.0,6.6,3.0,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,Independiente Santa Fe,away,,,,,,
Harold Santiago Mosquera,,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200.0,"{'value': 680000, 'currency': 'EUR'}",,23,True,4.0,2.0,,,0.0,1.0,,,,27.0,10.0,6.6,7.0,,"{'original': 6.6, 'alternative': None}",4.0,1.0,1.0,5.0,,1.0,,,,,,,,,2.0,,1.0,,1.0,,,Independiente Santa Fe,away,,,,,,
Christian Mafla,,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000.0,"{'value': 240000, 'currency': 'EUR'}",,32,True,,,,,0.0,,,,,9.0,2.0,6.5,,,"{'original': 6.5, 'alternative': None}",,,,2.0,,,,,,1.0,,,,,2.0,,,,,,,Independiente Santa Fe,away,,,,,,
Ángelo Rodríguez,,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",,9,True,,,,,0.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,Independiente Santa Fe,away,,,,,,
Jhoyler Andrades,Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000.0,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,,
Emanuel Olivera,,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400.0,"{'value': 470000, 'currency': 'EUR'}",,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,away,,,,,,
