name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,fouls,aerialWon,shotOffTarget,outfielderBlock,wasFouled,challengeLost,accurateCross,keyPass,onTargetScoringAttempt,totalOffside,captain,team,teamType,punches,goals
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,True,28.0,25.0,6.0,0.0,,,64.0,43.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",5.0,1.0,,2.0,4.0,,2.0,,,1.0,1.0,2.0,,,,,2.0,,1.0,2.0,1.0,,,Independiente Santa Fe,home,,
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,13.0,10.0,,0.0,,,45.0,19.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Tomas Molina,tomas-molina,T. Molina,M,31,,12,1602380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1083110400,,,Tomas Molina,,31,True,16.0,13.0,4.0,0.0,,,32.0,23.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,2.0,4.0,,,,,,,2.0,2.0,,,,2.0,,,,,,,Independiente Santa Fe,home,,
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000,"{'value': 160000, 'currency': 'EUR'}",,,,22,True,14.0,12.0,3.0,0.0,,,21.0,23.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",2.0,4.0,,,2.0,,,,1.0,1.0,,,,,,,2.0,,,,,,,Independiente Santa Fe,home,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,2.0,,,0.0,,,21.0,3.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,2.0,,,,,,,,,1.0,,,1.0,,,,,,,Independiente Santa Fe,home,,
Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000,,,Jhoyler Andrades,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,588,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,21.0,10.0,18.0,0.0,2.0,3.0,90.0,35.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",8.0,,,1.0,2.0,,1.0,,,2.0,,,,,,,2.0,,,,,,,Millonarios,away,1.0,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,420,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,False,21.0,13.0,4.0,0.0,,,90.0,41.0,7.0,11.0,"{'original': 7, 'alternative': None}",1.0,,,1.0,3.0,,,,,3.0,,1.0,1.0,,,1.0,2.0,,,,,,,Millonarios,away,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,287,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,25.0,18.0,7.0,0.0,,,90.0,32.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",2.0,,2.0,5.0,4.0,,,,,3.0,,,3.0,2.0,,1.0,2.0,,,,,,,Millonarios,away,,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,21.0,17.0,6.0,0.0,,,90.0,28.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",3.0,,,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,,,,Millonarios,away,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,29.0,22.0,8.0,0.0,,,90.0,48.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,1.0,3.0,2.0,,,,,2.0,,1.0,2.0,,,2.0,1.0,,,1.0,,,,Millonarios,away,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,100,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,38.0,31.0,2.0,0.0,,,90.0,53.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",1.0,,,2.0,4.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,Millonarios,away,,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,False,32.0,27.0,2.0,0.0,,,78.0,55.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",2.0,1.0,,1.0,7.0,1.0,1.0,1.0,,5.0,,4.0,,,,1.0,2.0,,,,,,,Millonarios,away,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1050,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,27.0,19.0,1.0,0.0,,,90.0,46.0,6.7,18.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,4.0,2.0,,3.0,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,,Millonarios,away,,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1056,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,12.0,9.0,1.0,0.0,,,63.0,22.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,,3.0,2.0,3.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,Millonarios,away,,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,140,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000,"{'value': 420000, 'currency': 'EUR'}",,,,16,False,27.0,24.0,,0.0,,,78.0,36.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,3.0,1.0,5.0,3.0,1.0,1.0,,,2.0,,1.0,,2.0,,,,2.0,,1.0,,,,Millonarios,away,,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12730,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,9,False,10.0,10.0,,0.0,,,78.0,22.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,,6.0,2.0,3.0,2.0,,,,,,1.0,,,,2.0,,,,1.0,2.0,True,Millonarios,away,,1.0
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,258,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,True,12.0,9.0,1.0,0.0,,,27.0,20.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,3.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,Millonarios,away,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,126,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,True,6.0,3.0,1.0,0.0,,,12.0,9.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,2.0,,,,,,,,,,,,,,Millonarios,away,,
Jhon Córdoba,jhon-cordoba,J. Córdoba,M,15,181.0,246,961647,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 1200000, 'currency': 'EUR'}",,,,15,True,3.0,2.0,1.0,0.0,,,12.0,4.0,6.3,1.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,,,,,,,,2.0,,,,,,,,,,,Millonarios,away,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000,,,Luis Marimón,,43,True,,,,0.0,,,12.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,1.0,1.0,,,,,3.0,,,1.0,,,,1.0,,,,,,,Millonarios,away,,
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,316,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,away,,
