name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelWon,totalContest,wonContest,shotOffTarget,interceptionWon,aerialWon,duelLost,wasFouled,fouls,aerialLost,outfielderBlock,totalTackle,totalCross,accurateCross,challengeLost,keyPass,blockedScoringAttempt,totalOffside,dispossessed,bigChanceCreated,onTargetScoringAttempt,goals,captain,team,teamType
Alfredo Morelos,alfredo-morelos,A. Morelos,F,9,177,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,19.0,14.0,1.0,1.0,0.0,,,,90.0,22.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",,1.0,,,,,4.0,,1.0,2.0,,,,,,,1.0,2.0,,,,,,Atlético Nacional,home
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186,135,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,,,3,True,8.0,7.0,1.0,1.0,0.0,4.0,,,45.0,14.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Kevin Viveros,kevin-viveros,K. Viveros,F,19,180,692,925124,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954806400,"{'value': 1400000, 'currency': 'EUR'}",,,,19,True,2.0,1.0,,,0.0,,,,30.0,7.0,7.0,3.0,"{'original': 7, 'alternative': None}",1.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,Atlético Nacional,home
Joan Castro,joan-castro,J. Castro,D,20,176,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 680000, 'currency': 'EUR'}",,,,20,True,2.0,1.0,,,0.0,2.0,,,13.0,12.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",3.0,,,,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,Atlético Nacional,home
Kilian Toscano,kilian-toscano,K. Toscano,M,5,180,110,1185985,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1078185600,"{'value': 330000, 'currency': 'EUR'}",Kilian Toscano,,,5,True,3.0,2.0,1.0,1.0,0.0,1.0,,,13.0,7.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,Atlético Nacional,home
Kevin Parra,kevin-parra,K. Parra,M,30,165,152,1185972,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045872000,"{'value': 620000, 'currency': 'EUR'}",Kevin Parra,,,30,True,4.0,4.0,1.0,1.0,0.0,,,,10.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Luis Marquinez,luis-marquinez,L. Marquinez,G,25,193,237,1106564,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1049932800,"{'value': 655000, 'currency': 'EUR'}",Luis Marquines,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,,,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home
Washington Aguerre,washington-aguerre,W. Aguerre,G,29,187,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,,,29,False,19.0,14.0,10.0,5.0,0.0,2.0,1.0,1.0,90.0,22.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Léyser Chaverra,leyser-chaverra-renteria,L. Chaverra,D,2,175,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,,,2,False,45.0,39.0,5.0,1.0,0.0,2.0,,,90.0,63.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",1.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,Independiente Medellín,away
Homer Martinez,homer-martinez,H. Martinez,M,18,186,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,46.0,38.0,8.0,4.0,0.0,1.0,,,90.0,52.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",2.0,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,Independiente Medellín,away
Daniel Londoño,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,,,33,False,46.0,40.0,3.0,,0.0,,,,90.0,57.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",6.0,,,,,1.0,2.0,1.0,1.0,,2.0,4.0,,,1.0,,,,,,1.0,,,Independiente Medellín,away
Mender García,mender-garcia,M. García,F,8,180,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,,,8,False,28.0,22.0,4.0,3.0,0.0,1.0,,,90.0,37.0,7.0,10.0,"{'original': 7, 'alternative': None}",2.0,,,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,,3.0,1.0,,,,,,,Independiente Medellín,away
Baldomero Perlaza,baldomero-perlaza,B. Perlaza,M,14,188,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,,,14,False,24.0,19.0,2.0,,0.0,1.0,,,77.0,31.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",2.0,,,1.0,,1.0,2.0,,1.0,,,1.0,1.0,,,2.0,,,1.0,,,,,Independiente Medellín,away
Jaime Alvarado,alvarado-jaime,J. Alvarado,M,15,181,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,45.0,35.0,10.0,4.0,0.0,,,,88.0,50.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",3.0,,,,,,1.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,True,Independiente Medellín,away
Francisco Chaverra,francisco-chaverra,F. Chaverra,M,13,172,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,,,13,False,34.0,29.0,4.0,2.0,0.0,1.0,,,88.0,52.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,,,2.0,,5.0,,3.0,,,1.0,4.0,,,2.0,,,,,1.0,1.0,,Independiente Medellín,away
Luis Sandoval,luis-sandoval,L. Sandoval,F,9,183,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,,,9,False,22.0,18.0,,,0.0,,,,90.0,30.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",3.0,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,3.0,,,Independiente Medellín,away
Léider Berrío,leider-berrio,L. Berrío,M,7,175,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",Léider Berrío,,,7,False,21.0,18.0,3.0,2.0,1.0,,,,71.0,30.0,7.0,8.0,"{'original': 7, 'alternative': None}",3.0,1.0,,2.0,,1.0,2.0,1.0,1.0,,,1.0,2.0,,,2.0,,1.0,,,,,,Independiente Medellín,away
Brayan Léon Muñiz,brayan-leon-muniz,B. L. Muñiz,F,27,175,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",Brayan Léon Muñiz,,,27,False,11.0,8.0,,,0.0,1.0,,,77.0,18.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,5.0,,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,,2.0,,,Independiente Medellín,away
Marcus Vinicius,marcus-vinicius,M. Vinicius,F,10,188,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",Marcus Vinicius,,,10,True,2.0,1.0,,,0.0,,,,19.0,7.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,Independiente Medellín,away
Alexis Serna,alexis-serna,A. Serna,M,80,170,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,,,80,True,11.0,10.0,1.0,1.0,0.0,,,,13.0,12.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,Independiente Medellín,away
Francisco Fydriszewski,francisco-fydriszewski,F. Fydriszewski,F,19,186,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,,,19,True,2.0,2.0,,,0.0,,,,13.0,4.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,1.0,,1.0,,,,,,,,,,,,,,,Independiente Medellín,away
José Ortiz,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,,,24,True,,,,,0.0,,,,10.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Julian Angulo,julian-angulo,J. Angulo,M,11,183,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400,"{'value': 265000, 'currency': 'EUR'}",Julian Angulo,,,11,True,2.0,1.0,,,0.0,,,,10.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Eder Chaux,eder-chaux,E. Chaux,G,25,189,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
Jherson Mosquera,jherson-mosquera,J. Mosquera,M,6,173,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away
