name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,totalContest,wonContest,wasFouled,fouls,shotOffTarget,totalTackle,keyPass,blockedScoringAttempt,totalCross,challengeLost,outfielderBlock,interceptionWon,onTargetScoringAttempt,goals,accurateCross,dispossessed,totalOffside,captain,team,teamType,errorLeadToAGoal
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,True,6.0,6.0,,,0.0,,1.0,,,,,,,28.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,2.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,Envigado FC,home,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,True,3.0,2.0,,,0.0,,2.0,,,,,,,23.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,2.0,,,,,,,,,,,,,,,,Envigado FC,home,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,,,,,0.0,,2.0,,,,,,,12.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,,,2.0,1.0,,,,,,,,,,,,,,,Envigado FC,home,
Andrés Tovar,Andrés Tovar,,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,
Juan Jose Catano,Juan José Cataño,,juan-jose-catano,J. J. Cataño,M,20,173.0,24,2039310,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1211328000.0,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,
Juan Quejada,Juan Quejada,,juan-quejada,J. Quejada,,37,,2,2125636,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,37,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",1,False,24.0,17.0,11.0,4.0,0.0,,,,,,1.0,,,90.0,30.0,6.2,7.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,
David Murillo,,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",4,False,28.0,23.0,4.0,4.0,0.0,1.0,3.0,2.0,,,,,,90.0,41.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,,,1.0,1.0,,1.0,,2.0,,,,2.0,,,,,,,Unión Magdalena,away,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",33,False,37.0,24.0,10.0,3.0,0.0,2.0,3.0,4.0,,,,,,90.0,43.0,6.4,13.0,"{'original': 6.4, 'alternative': None}",,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,Unión Magdalena,away,
Martín Payares,,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",5,False,40.0,26.0,9.0,3.0,0.0,,3.0,4.0,,,,,,90.0,50.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",2.0,6.0,,,2.0,4.0,,1.0,,,,,,2.0,,,,,,,Unión Magdalena,away,
