name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,totalContest,wonContest,onTargetScoringAttempt,interceptionWon,totalTackle,fouls,challengeLost,outfielderBlock,keyPass,blockedScoringAttempt,shotOffTarget,bigChanceMissed,dispossessed,bigChanceCreated,captain,team,teamType,goodHighClaim,totalOffside
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800,"{'value': 470000, 'currency': 'EUR'}",,12,True,20.0,17.0,3.0,3.0,0.0,4.0,3.0,,,,45.0,29.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,,,2.0,,,,,2.0,2.0,,,2.0,,,,,,,,Deportivo Cali,home,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400,"{'value': 485000, 'currency': 'EUR'}",,23,True,25.0,21.0,3.0,3.0,0.0,1.0,1.0,,,,45.0,31.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,1.0,,,,1.0,,,,,,,,,,,Deportivo Cali,home,,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200,"{'value': 210000, 'currency': 'EUR'}",,10,True,17.0,13.0,1.0,,0.0,2.0,1.0,,,,36.0,31.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",8.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,Deportivo Cali,home,,
Dairon Valencia,,,dairon-valencia,D. Valencia,M,80,,18,973718,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930700800,"{'value': 52000, 'currency': 'EUR'}",,80,True,14.0,8.0,1.0,1.0,0.0,1.0,,1.0,,,36.0,24.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,2.0,,4.0,2.0,,,,,,,,1.0,,,,,,,Deportivo Cali,home,,
Juan Arango,Juan Arango,,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000,,,17,True,7.0,4.0,,,0.0,2.0,2.0,,,,24.0,17.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,1.0,3.0,,,,,1.0,2.0,1.0,,,1.0,,,,,,Deportivo Cali,home,,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200,"{'value': 46000, 'currency': 'EUR'}",,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Wuilker Faríñez,,,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",1,False,22.0,6.0,18.0,2.0,0.0,,,,3.0,3.0,90.0,35.0,7.5,16.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,6.0,
Dylan Lozano,Dylan Lozano,,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",,26,False,14.0,9.0,1.0,,0.0,3.0,1.0,2.0,,,90.0,36.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,,2.0,,4.0,,,1.0,1.0,1.0,2.0,,,2.0,1.0,,,1.0,,,Rionegro Águilas Doradas,away,,
Diego Hernández,,,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,5,False,26.0,23.0,5.0,4.0,0.0,2.0,7.0,,,,90.0,40.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,,,Rionegro Águilas Doradas,away,,
