name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,dispossessed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,totalContest,wonContest,totalCross,accurateCross,challengeLost,onTargetScoringAttempt,keyPass,captain,team,teamType,fieldTranslations,punches,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt
Antony Vásquez,antony-vasquez,A. Vásquez,F,9,178.0,25,1139960,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1025308800,,Antony Vásquez,,9,True,2.0,2.0,,,0.0,,,31.0,8.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,Rionegro Águilas Doradas,home,,,,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,355,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,11,True,14.0,11.0,,,0.0,,,31.0,18.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,Rionegro Águilas Doradas,home,,,,,
Juan Ávalo,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000,,Juan Ávalo,,24,True,,,,,0.0,,,1.0,4.0,,2.0,,,,1.0,2.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,Rionegro Águilas Doradas,home,,,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,
Felipe Aguilar,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000,"{'value': 310000, 'currency': 'EUR'}",,,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,
David Lemos,david-lemos,D. Lemos,F,47,175.0,20,830005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799632000,"{'value': 280000, 'currency': 'EUR'}",,,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}",,,1,False,20.0,8.0,14.0,2.0,0.0,4.0,5.0,90.0,30.0,7.7,12.0,"{'original': 7.7, 'alternative': None}",,,,,,,2.0,,,,,,,,,,,,,,,Independiente Santa Fe,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",1.0,1.0,1.0,
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000,"{'value': 160000, 'currency': 'EUR'}",,,22,False,10.0,7.0,3.0,1.0,0.0,,,45.0,16.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,Independiente Santa Fe,away,,,,,
Kevin Andres Cuesta Rodriguez,cuesta-rodriguez-kevin-andres,K. A. C. Rodriguez,D,6,188.0,34,1067105,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,955843200,"{'value': 205000, 'currency': 'EUR'}",Kevin Andres Cuesta Rodriguez,,6,False,32.0,22.0,13.0,5.0,0.0,,,90.0,46.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",,,,3.0,,1.0,6.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,Independiente Santa Fe,away,,,,,
