name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,fouls,keyPass,aerialWon,shotOffTarget,onTargetScoringAttempt,goals,interceptionWon,totalTackle,blockedScoringAttempt,outfielderBlock,wasFouled,aerialLost,dispossessed,totalOffside,captain,team,teamType,punches,hitWoodwork
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400.0,"{'value': 285000, 'currency': 'EUR'}",,,10,True,15.0,11.0,2.0,2.0,1.0,,,,32.0,21.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",3.0,3.0,,2.0,,1.0,1.0,,2.0,,1.0,,,,,,,1.0,,,1.0,,Deportivo Pasto,home,,
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000.0,"{'value': 135000, 'currency': 'EUR'}",,,27,True,11.0,8.0,1.0,1.0,0.0,,,,32.0,15.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,2.0,3.0,,2.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,Deportivo Pasto,home,,
Diego Castillo,castillo-diego,D. Castillo,F,19,,18,1175044,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938649600.0,"{'value': 325000, 'currency': 'EUR'}",Diego Castillo,,19,True,6.0,4.0,1.0,1.0,0.0,,,,31.0,14.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,3.0,2.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,Deportivo Pasto,home,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000.0,"{'value': 280000, 'currency': 'EUR'}",,,77,True,5.0,2.0,2.0,,0.0,,,,19.0,6.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,,,,,,,,,1.0,,,,Deportivo Pasto,home,,
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200.0,"{'value': 265000, 'currency': 'EUR'}",,,21,True,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000.0,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400.0,,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,
Jordan García,jordan-garcia,J. García,G,12,184.0,76,1478317,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119225600.0,"{'value': 420000, 'currency': 'EUR'}",Jordan García,,12,False,23.0,8.0,17.0,2.0,0.0,2.0,2.0,2.0,90.0,36.0,6.5,16.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,,,,,1.0,,,,,,,,Fortaleza CEIF,away,1.0,
Cristián Mosquera,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",Cristián Mosquera,,27,False,41.0,31.0,6.0,1.0,0.0,6.0,,,90.0,61.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,,2.0,2.0,,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,,,1.0,,,,Fortaleza CEIF,away,,
Sebastian Ramirez,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,,,21,False,22.0,17.0,4.0,1.0,0.0,5.0,,,90.0,37.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,4.0,3.0,,1.0,,1.0,,2.0,1.0,,,2.0,,,3.0,1.0,1.0,1.0,,,Fortaleza CEIF,away,,
