name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,interceptionWon,fouls,keyPass,challengeLost,shotOffTarget,blockedScoringAttempt,outfielderBlock,wasFouled,totalTackle,totalOffside,totalContest,wonContest,dispossessed,onTargetScoringAttempt,goals,captain,team,teamType,bigChanceCreated,bigChanceMissed
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,False,9.0,7.0,,,0.0,,,,,,,79.0,20.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,,3.0,1.0,,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,,Independiente Medellín,home,,
Luis Escorcia,Luis Escorcia,,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600,"{'value': 260000, 'currency': 'EUR'}",,39,True,6.0,5.0,2.0,2.0,0.0,1.0,,,,,,25.0,8.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,Independiente Medellín,home,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,14,True,13.0,11.0,1.0,1.0,0.0,2.0,,,,,,24.0,18.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,1.0,3.0,1.0,3.0,,,1.0,,,,,,,,,,,1.0,,,Independiente Medellín,home,,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,17,True,6.0,4.0,1.0,1.0,0.0,,,,,,,11.0,11.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,,,,,,,,,,,,1.0,,,,,,Independiente Medellín,home,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,True,2.0,1.0,,,0.0,1.0,,,,,,11.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,2.0,,3.0,,,,,,,,1.0,,,,,,,,,Independiente Medellín,home,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Victor Cabezas,,,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,12,False,28.0,9.0,23.0,4.0,0.0,,,1.0,2.0,,,90.0,35.0,6.2,20.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,away,,
Israel Alba,,,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,22,False,18.0,10.0,6.0,1.0,0.0,1.0,,,,,,68.0,27.0,6.2,12.0,"{'original': 6.2, 'alternative': None}",1.0,,,,3.0,1.0,,2.0,1.0,,,,,1.0,,,1.0,,,,,True,Deportivo Pasto,away,,
Luis Caicedo,,,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,4,False,23.0,19.0,8.0,5.0,0.0,1.0,,,,,,90.0,38.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,Deportivo Pasto,away,,
Andrés Alarcón,Andrés Alarcón,,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,,24,False,17.0,13.0,6.0,3.0,0.0,2.0,,,,,,90.0,27.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,,1.0,1.0,2.0,4.0,1.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,Deportivo Pasto,away,,
Joyce Ossa,Joyce Ossa,,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",,23,False,25.0,15.0,7.0,1.0,0.0,3.0,,,,,,90.0,41.0,7.0,14.0,"{'original': 7, 'alternative': None}",,,3.0,2.0,3.0,2.0,3.0,,,,1.0,,3.0,,,,,,,,,,Deportivo Pasto,away,,
Mauricio Castaño,Mauricio Castaño,,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",,20,False,20.0,14.0,4.0,2.0,0.0,5.0,,,,,,90.0,35.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,1.0,2.0,1.0,5.0,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,Deportivo Pasto,away,,
