name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,bigChanceCreated,onTargetScoringAttempt,totalClearance,totalTackle,keyPass,outfielderBlock,fouls,aerialLost,dispossessed,totalContest,bigChanceMissed,interceptionWon,wasFouled,shotOffTarget,wonContest,blockedScoringAttempt,penaltyWon,goals,totalOffside,captain,team,teamType,penaltyConceded
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600.0,"{'value': 775000, 'currency': 'EUR'}",,,,22,False,8.0,7.0,,,0.0,,,86.0,22.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,2.0,4.0,,,1.0,2.0,2.0,,,2.0,1.0,,,1.0,,2.0,2.0,,,,1.0,,,América de Cali,home,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200.0,"{'value': 840000, 'currency': 'EUR'}",,,,21,True,14.0,13.0,1.0,1.0,0.0,,,17.0,16.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,1.0,,,,,América de Cali,home,
Andrés Mosquera,andres-mosquera,A. Mosquera,D,4,178.0,86,47724,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,635472000.0,"{'value': 470000, 'currency': 'EUR'}",,,,4,True,2.0,2.0,,,0.0,,,8.0,3.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,América de Cali,home,
Joider Micolta,joider-micolta,J. Micolta,M,30,173.0,72,1173952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026518400.0,"{'value': 335000, 'currency': 'EUR'}",,Joider Micolta,,30,True,2.0,2.0,,,0.0,,,8.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,América de Cali,home,
Luis Gómez,luis-gomez,L. Gómez,F,16,173.0,74,958592,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,939600000.0,"{'value': 490000, 'currency': 'EUR'}",,,,16,True,7.0,7.0,,,0.0,,,8.0,8.0,6.8,,"{'original': 6.8, 'alternative': None}",1.0,1.0,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,América de Cali,home,
Luis Ramos,luis-ramos,L. Ramos,F,9,175.0,1211,984107,"{'alpha2': 'PE', 'alpha3': 'PER', 'name': 'Peru', 'slug': 'peru'}",EUR,945043200.0,"{'value': 730000, 'currency': 'EUR'}",,,,9,True,2.0,2.0,,,0.0,,,8.0,3.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,América de Cali,home,
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Omar Bertel,omar-bertel,O. Bertel,D,31,175.0,79,875914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200.0,"{'value': 565000, 'currency': 'EUR'}",,,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,22.0,10.0,17.0,5.0,0.0,2.0,4.0,90.0,33.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,2.0,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",,José Ampudia,,17,False,18.0,14.0,7.0,5.0,0.0,,,71.0,33.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,1.0,2.0,5.0,,,,1.0,,,,,,,2.0,,1.0,4.0,,,,,,,,Boyacá Chicó FC,away,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,,Arlen Banguero,,26,False,6.0,4.0,1.0,,0.0,,,45.0,12.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,,,,4.0,1.0,,,,,,,,1.0,,,,,,,,,Boyacá Chicó FC,away,
Juan Ojeda,juan-ojeda,J. Ojeda,D,30,188.0,9,822796,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,891648000.0,"{'value': 110000, 'currency': 'EUR'}",,,,30,False,10.0,6.0,2.0,,0.0,,,90.0,25.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,1.0,3.0,1.0,,1.0,2.0,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,Boyacá Chicó FC,away,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000.0,"{'value': 220000, 'currency': 'EUR'}",,,,18,False,21.0,13.0,8.0,4.0,0.0,,,90.0,47.0,6.1,13.0,"{'original': 6.1, 'alternative': None}",,,,5.0,1.0,1.0,,,5.0,,,,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,1.0,,,,,Boyacá Chicó FC,away,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,33.0,26.0,7.0,2.0,0.0,,,90.0,45.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,1.0,2.0,1.0,,,1.0,3.0,,,1.0,1.0,,,1.0,,3.0,,,,,,,,True,Boyacá Chicó FC,away,
Estefáno Arango,estefano-arango,E. Arango,M,24,170.0,35,819034,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758851200.0,"{'value': 195000, 'currency': 'EUR'}",,,,24,False,21.0,19.0,1.0,1.0,0.0,,,90.0,46.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,,3.0,12.0,,,,,3.0,1.0,,1.0,,,3.0,,1.0,8.0,1.0,1.0,,,,,,Boyacá Chicó FC,away,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",,Andres Aedo,,6,False,13.0,11.0,2.0,2.0,0.0,,,90.0,23.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,,,3.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,,,Boyacá Chicó FC,away,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400.0,"{'value': 53000, 'currency': 'EUR'}",,,,10,False,17.0,12.0,6.0,2.0,0.0,,,60.0,25.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,,3.0,3.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,,,1.0,,,,,Boyacá Chicó FC,away,
Jacobo Pimentel,jacobo-pimentel,J. Pimentel,F,21,176.0,12,1017237,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010880000.0,"{'value': 140000, 'currency': 'EUR'}",,,,21,False,19.0,14.0,1.0,,0.0,,,61.0,27.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,,4.0,2.0,,,,,2.0,2.0,,,1.0,3.0,,,1.0,,,,,,,,,Boyacá Chicó FC,away,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,12.0,9.0,,,0.0,,,87.0,18.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,1.0,6.0,2.0,,,1.0,,,,,3.0,2.0,1.0,,,1.0,1.0,,,,,,1.0,,Boyacá Chicó FC,away,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000.0,"{'value': 48000, 'currency': 'EUR'}",,,,11,True,6.0,4.0,1.0,1.0,0.0,,,45.0,8.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,Boyacá Chicó FC,away,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,27,True,15.0,13.0,2.0,2.0,0.0,,,30.0,20.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",1.0,,,3.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,Boyacá Chicó FC,away,1.0
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,,Sebastián Colón,,29,True,9.0,9.0,,,0.0,,,29.0,14.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,3.0,2.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,2.0,,,,,,1.0,,Boyacá Chicó FC,away,
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",,Edgard Camargo,,28,True,10.0,8.0,2.0,2.0,0.0,,,19.0,13.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,1.0,,,,,,,Boyacá Chicó FC,away,
Wilmar Arango,wilmar-arango,W. Arango,M,20,170.0,1,1174981,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,887328000.0,"{'value': 185000, 'currency': 'EUR'}",,Wilmar Arango,,20,True,1.0,1.0,,,0.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,
Jhonier Negrete,jhonier-negrete,J. Negrete,M,7,,2,2037361,{},EUR,,,,Jhonier Negrete,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away,
