name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,challengeLost,totalContest,totalTackle,aerialLost,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,outfielderBlock,interceptionWon,fouls,keyPass,dispossessed,bigChanceMissed,accurateCross,bigChanceCreated,totalOffside,wonContest,captain,team,teamType,punches
Juan Arango,Juan Arango,,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000.0,,,17,True,18.0,16.0,,,0.0,1.0,,,,,49.0,30.0,6.1,9.0,"{'original': 6.1, 'alternative': None}",,,7.0,1.0,3.0,1.0,,,1.0,1.0,,,,2.0,,1.0,1.0,,,1.0,,,Deportivo Cali,home,
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",,30,True,19.0,17.0,2.0,2.0,0.0,,,,,,45.0,23.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,Deportivo Cali,home,
Jhon Cabal,,,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800.0,,,46,True,5.0,5.0,,,0.0,,1.0,,,,35.0,7.0,7.2,,"{'original': 7.2, 'alternative': None}",,,,,,,,,1.0,,1.0,,,,,,,,,,,,Deportivo Cali,home,
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,10,True,6.0,4.0,,,0.0,1.0,,,,,19.0,11.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,Deportivo Cali,home,
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200.0,"{'value': 46000, 'currency': 'EUR'}",,13,True,4.0,3.0,1.0,1.0,0.0,1.0,,,,,10.0,7.0,7.0,2.0,"{'original': 7, 'alternative': None}",,1.0,,,,,,,,,,2.0,,,,,,,,,,,Deportivo Cali,home,
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000.0,"{'value': 390000, 'currency': 'EUR'}",,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,
Andres Perez,,,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,12,False,22.0,17.0,11.0,6.0,0.0,,1.0,,2.0,2.0,90.0,30.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,1.0
Yair Joao Abonia Vasquez,Yair Joao,Abonia Vásquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",,13,False,25.0,20.0,1.0,,0.0,3.0,,,,,90.0,38.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,1.0,1.0,1.0,,2.0,,,,1.0,,,1.0,,,,,,,1.0,,,Deportivo La Equidad,away,
Miguel Amaya,Miguel Amaya,,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,20,False,26.0,20.0,5.0,3.0,0.0,2.0,2.0,,,,90.0,31.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,1.0,3.0,1.0,,1.0,,,,,,2.0,,2.0,,,,,,,,,Deportivo La Equidad,away,
