name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,challengeLost,totalContest,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,shotOffTarget,outfielderBlock,wasFouled,fouls,aerialWon,onTargetScoringAttempt,bigChanceCreated,bigChanceMissed,hitWoodwork,goals,dispossessed,accurateCross,totalOffside,blockedScoringAttempt,captain,team,teamType,punches,wonContest
Juan Diaz,juan-diaz,J. Diaz,M,6,180.0,24,1067475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990316800,"{'value': 195000, 'currency': 'EUR'}",,,,6,True,32.0,31.0,1.0,1.0,0.0,,,45.0,37.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,4.0,3.0,1.0,2.0,,,3.0,,,,,,1.0,,,,,,,,,,,,Once Caldas,home,,
Jaider Riquett,jaider-riquett,J. Riquett,D,18,184.0,11,924615,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,642297600,"{'value': 215000, 'currency': 'EUR'}",,,,18,True,22.0,21.0,3.0,2.0,0.0,,,32.0,24.0,7.0,1.0,"{'original': 7, 'alternative': None}",,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,Once Caldas,home,,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,13.0,13.0,1.0,1.0,0.0,,,32.0,19.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,2.0,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,Once Caldas,home,,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,True,25.0,22.0,2.0,1.0,0.0,,,21.0,27.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,Once Caldas,home,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,True,12.0,12.0,,,0.0,,,13.0,16.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,Once Caldas,home,,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Alejandro Rodríguez,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,"{'value': 825000, 'currency': 'EUR'}",Alejandro Rodríguez,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",,38,False,27.0,13.0,15.0,2.0,0.0,1.0,4.0,90.0,40.0,7.0,16.0,"{'original': 7, 'alternative': None}",,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,Deportivo Cali,away,2.0,
Fabián Viáfara,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000,"{'value': 430000, 'currency': 'EUR'}",,,,27,False,27.0,23.0,2.0,,0.0,,,69.0,48.0,6.4,10.0,"{'original': 6.4, 'alternative': None}",4.0,3.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,Deportivo Cali,away,,
Juan Angulo,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200,"{'value': 46000, 'currency': 'EUR'}",,,,13,False,76.0,65.0,12.0,7.0,0.0,,,90.0,90.0,6.9,17.0,"{'original': 6.9, 'alternative': None}",6.0,4.0,1.0,,1.0,5.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,1.0,,,True,Deportivo Cali,away,,
