name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,totalClearance,totalTackle,keyPass,outfielderBlock,fouls,challengeLost,interceptionWon,accurateCross,dispossessed,wonContest,wasFouled,onTargetScoringAttempt,totalOffside,blockedScoringAttempt,captain,team,teamType
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600.0,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,6.0,3.0,1.0,,0.0,,,,90.0,8.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,3.0,1.0,5.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,True,Independiente Santa Fe,home
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600.0,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,10.0,6.0,1.0,,0.0,,,,30.0,21.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,Independiente Santa Fe,home
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200.0,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,8.0,5.0,,,0.0,,,,30.0,15.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,,2.0,2.0,4.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,,Independiente Santa Fe,home
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182.0,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200.0,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,4.0,1.0,1.0,,0.0,,,,15.0,6.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,1.0,,Independiente Santa Fe,home
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800.0,,,Marlon Balanta,,34,True,2.0,2.0,,,0.0,,,,8.0,8.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",3.0,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,Independiente Santa Fe,home
Jhoyler Andrades,jhoyler-andrades,J. Andrades,G,35,,5,2050355,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080000000.0,,,Jhoyler Andrades,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800.0,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200.0,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,23,False,24.0,11.0,18.0,5.0,0.0,1.0,5.0,5.0,90.0,32.0,7.8,13.0,"{'original': 7.8, 'alternative': None}",,,2.0,,2.0,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,away
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",,José Ampudia,,17,False,22.0,13.0,3.0,,0.0,,,,90.0,40.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",,3.0,,5.0,2.0,1.0,,3.0,1.0,,,,1.0,1.0,,,,1.0,,,,,Boyacá Chicó FC,away
