name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,outfielderBlock,totalTackle,fouls,keyPass,blockedScoringAttempt,wasFouled,challengeLost,onTargetScoringAttempt,wonContest,interceptionWon,shotOffTarget,dispossessed,totalOffside,captain,team,teamType,goodHighClaim
José Muñoz,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000.0,"{'value': 140000, 'currency': 'EUR'}",,,,10,True,10.0,5.0,1.0,,0.0,,,,33.0,15.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",3.0,,1.0,,4.0,1.0,,,,3.0,1.0,,1.0,,,,,,,,,Alianza Valledupar FC,home,
Misael Martínez,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000.0,"{'value': 405000, 'currency': 'EUR'}",,,,77,True,4.0,4.0,,,0.0,,,,33.0,9.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,Alianza Valledupar FC,home,
Johan Parra,johan-parra,J. Parra,M,25,,5,1516746,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1095724800.0,,,,,25,True,6.0,6.0,1.0,1.0,0.0,,,,22.0,10.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",1.0,,,,1.0,2.0,,,,1.0,1.0,,2.0,,,,,,,,,Alianza Valledupar FC,home,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",Luis Pérez,,,19,True,6.0,4.0,,,0.0,,,,8.0,6.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,
Junior Jiménez,junior-jimenez,J. Jiménez,F,20,,4,1908103,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974505600.0,,Junior Jiménez,,,20,True,5.0,4.0,,,0.0,,,,14.0,6.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,,,1.0,,,,,,,,,,,,,Alianza Valledupar FC,home,
Antonio Simancas,antonio-simancas,A. Simancas,G,13,,10,1984197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Antonio Simancas,,,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,
Wuilker Faríñez,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800.0,"{'value': 825000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",1,False,24.0,11.0,20.0,7.0,0.0,1.0,1.0,2.0,90.0,32.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,away,3.0
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 620000, 'currency': 'EUR'}",,,,16,False,37.0,31.0,2.0,,0.0,6.0,,,80.0,55.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",1.0,,3.0,2.0,6.0,4.0,,,2.0,1.0,,1.0,,2.0,,,,1.0,,,,Rionegro Águilas Doradas,away,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400.0,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,37.0,29.0,6.0,3.0,0.0,2.0,,,90.0,46.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,,1.0,1.0,4.0,2.0,,3.0,1.0,1.0,,,,2.0,,,1.0,,,,,Rionegro Águilas Doradas,away,
