name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,fouls,onTargetScoringAttempt,accurateCross,keyPass,totalContest,dispossessed,wasFouled,totalOffside,captain,team,teamType,saves,totalKeeperSweeper,accurateKeeperSweeper,wonContest,interceptionWon,goals
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,21,True,29.0,23.0,5.0,3.0,0.0,45.0,40.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,,,,1.0,,1.0,1.0,2.0,1.0,,,,2.0,2.0,,,1.0,,,Fortaleza CEIF,home,,,,,,
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,True,23.0,19.0,5.0,2.0,0.0,39.0,32.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",6.0,,,1.0,,,,,,,,,,2.0,3.0,1.0,,,,,Fortaleza CEIF,home,,,,,,
Jhoiner Salas,,,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,24,True,5.0,5.0,,,0.0,24.0,9.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,,1.0,,,,1.0,1.0,,,2.0,,,,,,Fortaleza CEIF,home,,,,,,
Cristián Mosquera,Cristián Mosquera,,cristian-mosquera,C. Mosquera,D,27,172.0,5,1174901,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976060800.0,"{'value': 260000, 'currency': 'EUR'}",27,True,12.0,9.0,3.0,2.0,0.0,23.0,18.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,Fortaleza CEIF,home,,,,,,
Sebastián Prieto,Sebastián Prieto,,sebastian-prieto,S. Prieto,,31,,3,2126518,{},EUR,,,31,True,4.0,1.0,2.0,,0.0,13.0,4.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,,,
Michael Barragán,Michael Barragán,,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,,,
Manuel Lasso,Manuel Lasso,,manuel-lasso,M. Lasso,D,2,188.0,4,2038232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1131062400.0,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,,,
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",1,False,36.0,28.0,20.0,12.0,0.0,90.0,42.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,2.0,,,,,,,,,,,,Unión Magdalena,away,1.0,1.0,1.0,,,
David Murillo,,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",4,False,26.0,19.0,4.0,3.0,0.0,90.0,39.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",,,,1.0,3.0,,,,3.0,1.0,1.0,,,,,2.0,,1.0,,,Unión Magdalena,away,,,,1.0,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200.0,"{'value': 290000, 'currency': 'EUR'}",33,False,30.0,16.0,18.0,8.0,0.0,90.0,36.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",,1.0,,1.0,,,,,5.0,,,,,,1.0,,,,,,Unión Magdalena,away,,,,,,
Martín Payares,,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",5,False,25.0,16.0,9.0,3.0,0.0,90.0,41.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",,1.0,2.0,1.0,4.0,,1.0,,12.0,1.0,,,,,,,,2.0,,,Unión Magdalena,away,,,,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",30,False,16.0,11.0,4.0,1.0,0.0,90.0,29.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,1.0,1.0,2.0,2.0,,,,,2.0,,1.0,,,,,,1.0,,,Unión Magdalena,away,,,,,,
Janeth Aleman,,,janeth-aleman,J. Aleman,F,7,,5,1901225,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1022198400.0,,7,False,15.0,10.0,1.0,1.0,0.0,76.0,27.0,7.0,11.0,"{'original': 7, 'alternative': None}",3.0,1.0,1.0,3.0,4.0,,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,,,,Unión Magdalena,away,,,,2.0,1.0,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,184.0,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",24,False,30.0,20.0,7.0,4.0,0.0,90.0,42.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,1.0,,4.0,,,,,1.0,2.0,,1.0,1.0,,,,2.0,,,True,Unión Magdalena,away,,,,,1.0,1.0
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",16,False,15.0,10.0,2.0,1.0,0.0,63.0,26.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,1.0,,2.0,4.0,,,,1.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,,,Unión Magdalena,away,,,,1.0,,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,26,False,18.0,9.0,1.0,1.0,0.0,90.0,41.0,7.1,17.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,5.0,4.0,9.0,,2.0,2.0,4.0,,1.0,,,,1.0,3.0,1.0,2.0,,,Unión Magdalena,away,,,,1.0,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",10,False,19.0,14.0,3.0,3.0,0.0,89.0,31.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,1.0,,2.0,2.0,,2.0,,,,,,,,3.0,,1.0,2.0,1.0,,Unión Magdalena,away,,,,,1.0,
José Mercado,José Mercado,,jose-mercado,J. Mercado,M,28,,21,1201151,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1061424000.0,"{'value': 165000, 'currency': 'EUR'}",28,False,14.0,9.0,2.0,1.0,0.0,77.0,22.0,7.0,7.0,"{'original': 7, 'alternative': None}",2.0,,2.0,1.0,4.0,,2.0,,,,1.0,1.0,,,,,,1.0,,,Unión Magdalena,away,,,,,1.0,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,179.0,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",20,True,2.0,2.0,,,0.0,27.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,,1.0,
Jhoan Pinto,,,jhoan-pinto,J. Pinto,M,14,,5,1831290,{},EUR,,,14,True,4.0,2.0,1.0,,0.0,14.0,6.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,1.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,Unión Magdalena,away,,,,,,
Kleber Díaz,Kleber Díaz,,kleber-diaz,K. Díaz,F,19,,3,2040668,{},EUR,1073952000.0,,19,True,2.0,1.0,,,0.0,13.0,2.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,,,
Jesus Peñaloza,José Peñaloza,,jose-penaloza,J. Peñaloza,,25,,5,2142544,{},EUR,1217548800.0,,25,True,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,,,
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,183.0,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,,,
Freddy Molina,,,molina-freddy,F. Molina,D,18,,5,1512008,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,,,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unión Magdalena,away,,,,,,
