name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,duelWon,totalContest,wonContest,interceptionWon,fouls,keyPass,aerialLost,aerialWon,challengeLost,outfielderBlock,totalTackle,wasFouled,totalCross,accurateCross,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,shotOffTarget,totalOffside,captain,team,teamType,ownGoals,bigChanceCreated,goals
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181,923,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,15.0,10.0,,,0.0,2.0,,,,90.0,36.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",3.0,2.0,,,,1.0,,1.0,2.0,,,,,,,1.0,2.0,1.0,6.0,1.0,True,Independiente Santa Fe,home,,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,True,17.0,17.0,,,0.0,,,,,28.0,20.0,6.7,,"{'original': 6.7, 'alternative': None}",1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,Independiente Santa Fe,home,,,
Ángelo Rodríguez,angelo-rodriguez,Á. Rodríguez,F,9,182,122,819171,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,607651200,"{'value': 265000, 'currency': 'EUR'}",,,,9,True,3.0,1.0,,,0.0,,,,,28.0,6.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,Independiente Santa Fe,home,,,
Omar Albornoz,omar-albornoz,O. Albornoz,M,80,173,46,805030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812246400,"{'value': 515000, 'currency': 'EUR'}",,,,80,True,6.0,3.0,,,0.0,,,,,12.0,8.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,Independiente Santa Fe,home,,,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182,42,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,8.0,7.0,2.0,1.0,0.0,,,,,14.0,11.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Andrés Mehring,andres-mehring,A. Mehring,G,,191,24,332773,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,766713600,"{'value': 275000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Johan Torres,johan-torres,J. Torres,M,14,178,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194,153,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,27.0,18.0,16.0,7.0,0.0,,,3.0,,90.0,38.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176,64,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,25.0,14.0,7.0,1.0,0.0,5.0,,,,90.0,47.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",2.0,2.0,1.0,,2.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,Atlético Bucaramanga,away,1.0,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187,40,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,30.0,24.0,6.0,2.0,0.0,10.0,,,,90.0,49.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",2.0,3.0,1.0,1.0,5.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,Atlético Bucaramanga,away,,,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183,63,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,,2,False,14.0,10.0,5.0,2.0,0.0,4.0,,,,90.0,22.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,,,,,,1.0,,,1.0,2.0,,,,,,,,,True,Atlético Bucaramanga,away,,,
Carlos Henao,carlos-henao,C. Henao,D,29,187,64,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,38.0,29.0,16.0,8.0,0.0,4.0,,,,90.0,51.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,,4.0,1.0,,,,,,,1.0,,,,,,1.0,,,Atlético Bucaramanga,away,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,20.0,14.0,1.0,,1.0,,,,,76.0,25.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,2.0,1.0,,,,1.0,,,Atlético Bucaramanga,away,,1.0,
Edwin Castro,edwin-castro,E. Castro,M,22,183,84,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,36.0,22.0,6.0,1.0,0.0,2.0,,,,90.0,43.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",2.0,3.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,Atlético Bucaramanga,away,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176,185,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,,,28,False,21.0,16.0,3.0,1.0,0.0,3.0,,,,76.0,37.0,7.4,10.0,"{'original': 7.4, 'alternative': None}",4.0,1.0,2.0,,3.0,,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,Atlético Bucaramanga,away,,,1.0
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178,93,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",,,8,False,29.0,22.0,7.0,4.0,0.0,2.0,,,,90.0,50.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",2.0,3.0,,,2.0,,,,,1.0,,,3.0,2.0,,1.0,,,,,,Atlético Bucaramanga,away,,,
Andrés Ponce,andres-ponce,A. Ponce,F,9,182,258,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400,"{'value': 465000, 'currency': 'EUR'}",,,,9,False,10.0,5.0,,,0.0,1.0,,,,65.0,19.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",6.0,5.0,,,,3.0,,2.0,3.0,,,,2.0,,,1.0,,1.0,,,,Atlético Bucaramanga,away,,,
Fabián Sambueza,fabian-sambueza,F. Sambueza,M,10,173,210,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800,"{'value': 230000, 'currency': 'EUR'}",,,,10,False,22.0,17.0,4.0,3.0,0.0,,,,,88.0,35.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",6.0,3.0,,,,2.0,3.0,,1.0,2.0,,,2.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,,Atlético Bucaramanga,away,,,
Adalberto Peñaranda,adalberto-penaranda,A. Peñaranda,F,97,183,883,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",,,97,True,7.0,5.0,,,0.0,,,,,25.0,14.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",5.0,2.0,3.0,1.0,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,Atlético Bucaramanga,away,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",,Diego Chavez,,15,True,4.0,4.0,,,0.0,,,,,14.0,6.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,,2.0,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176,96,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,10.0,8.0,1.0,1.0,0.0,,,,,14.0,13.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,Atlético Bucaramanga,away,,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171,238,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",,,70,True,1.0,1.0,,,0.0,,,,,11.0,2.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,1.0,,,Atlético Bucaramanga,away,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Alejandro Artunduaga,alejandro-artunduaga,A. Artunduaga,D,16,174,36,841959,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,873763200,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. أرتوندواجا', 'hi': 'ए. आर्टुंडुआगा', 'bn': 'এ. আর্তুনডুয়াগা'}}",,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187,594,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400,"{'value': 54000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,,
