name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,totalClearance,outfielderBlock,interceptionWon,totalTackle,shotOffTarget,fouls,totalCross,challengeLost,dispossessed,blockedScoringAttempt,accurateCross,totalContest,keyPass,wonContest,hitWoodwork,totalOffside,onTargetScoringAttempt,wasFouled,bigChanceCreated,goals,captain,team,teamType,errorLeadToAShot
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,12.0,9.0,3.0,2.0,0.0,,,,23.0,13.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Fainer Torijano,,,fainer-torijano,F. Torijano,D,23,182.0,17,351382,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 160000, 'currency': 'EUR'}",,23,True,6.0,3.0,2.0,,0.0,,,,15.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,2.0,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400.0,"{'value': 540000, 'currency': 'EUR'}",,10,True,5.0,1.0,2.0,,0.0,,,,14.0,10.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,1.0,4.0,,,,,1.0,1.0,,,,,,2.0,,2.0,,,,2.0,,,,Independiente Medellín,home,
Juan Arizala,,,arizala-juan,J. Arizala,D,71,183.0,488,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400.0,"{'value': 380000, 'currency': 'EUR'}",,71,True,1.0,1.0,,,0.0,,,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,Independiente Medellín,home,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Nezareth Segura,Nezareth Segura,,nezareth-segura,N. Segura,M,20,,7,2153449,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181520000.0,,,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Julian Angulo,Julian Angulo,,julian-angulo,J. Angulo,M,11,183.0,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400.0,"{'value': 265000, 'currency': 'EUR'}",,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Salvador Ichazo,,,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",1,False,29.0,11.0,23.0,6.0,0.0,,1.0,4.0,90.0,36.0,6.3,18.0,"{'original': 6.3, 'alternative': None}",,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,Deportivo Pereira,away,
Walmer Pacheco,,,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,21,False,17.0,11.0,6.0,3.0,0.0,,,,83.0,30.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,,4.0,4.0,2.0,2.0,1.0,2.0,,2.0,2.0,,1.0,,,2.0,1.0,2.0,,,,,,,,Deportivo Pereira,away,
Santiago Aguilar,Santiago Aguilar,,santiago-aguilar,S. Aguilar,D,15,188.0,12,1478346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,901756800.0,"{'value': 215000, 'currency': 'EUR'}",,15,False,13.0,10.0,3.0,1.0,0.0,,,,90.0,21.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,Deportivo Pereira,away,
