name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,interceptionWon,totalTackle,wasFouled,fouls,keyPass,wonContest,shotOffTarget,blockedScoringAttempt,accurateCross,onTargetScoringAttempt,challengeLost,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,punches,outfielderBlock
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,18,185.0,94,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400,"{'value': 370000, 'currency': 'EUR'}",,,,18,False,11.0,7.0,,,0.0,,,,,90.0,24.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,4.0,5.0,6.0,7.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,,2.0,,,,Atlético Bucaramanga,home,,,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,17.0,16.0,,,0.0,1.0,,,,68.0,39.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",8.0,1.0,2.0,5.0,5.0,2.0,1.0,,1.0,2.0,,,,,1.0,,,1.0,1.0,,Atlético Bucaramanga,home,,,,
Diego Chávez,diego-chavez,D. Chávez,M,15,180.0,55,1169585,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,875059200,"{'value': 585000, 'currency': 'EUR'}",Diego Chavez,,,15,True,41.0,34.0,5.0,4.0,0.0,,,,,45.0,48.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,,4.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,2.0,,,Atlético Bucaramanga,home,,,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,True,20.0,19.0,1.0,1.0,0.0,,,,,26.0,29.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",5.0,,,2.0,,,,,,,1.0,2.0,,,,1.0,,1.0,,,Atlético Bucaramanga,home,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,,7,True,11.0,9.0,,,0.0,,,,,15.0,18.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",3.0,,1.0,,1.0,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Santiago Jiménez,santiago-jimenez,S. Jiménez,D,6,180.0,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400,"{'value': 440000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200,"{'value': 49000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,
Juan Camilo Chaverra,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400,"{'value': 190000, 'currency': 'EUR'}",,,,12,False,26.0,2.0,26.0,2.0,0.0,1.0,4.0,,,90.0,34.0,7.3,25.0,"{'original': 7.3, 'alternative': None}",,1.0,,1.0,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,1.0,2.0,1.0,
Yilson Rosales,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000,"{'value': 260000, 'currency': 'EUR'}",,,,60,False,20.0,13.0,5.0,1.0,0.0,5.0,,,,90.0,48.0,7.1,18.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,1.0,,,,,Alianza Valledupar FC,away,,,,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,12.0,9.0,2.0,1.0,0.0,10.0,,,,90.0,28.0,7.4,3.0,"{'original': 7.4, 'alternative': None}",,2.0,3.0,4.0,6.0,,,,2.0,1.0,1.0,,,,,,,1.0,,,Alianza Valledupar FC,away,,,,2.0
Pedro Franco,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800,"{'value': 270000, 'currency': 'EUR'}",,,,5,False,14.0,7.0,5.0,,0.0,7.0,,,,90.0,28.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,2.0,,3.0,3.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,True,Alianza Valledupar FC,away,,,,
Kalazan Suárez,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400,"{'value': 245000, 'currency': 'EUR'}",Kalazan Suárez,,,22,False,4.0,2.0,1.0,,0.0,1.0,,,,32.0,13.0,5.2,6.0,"{'original': 5.2, 'alternative': None}",1.0,,1.0,3.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,Alianza Valledupar FC,away,,,,
Edwin Torres,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,5.0,3.0,1.0,,0.0,,,,,45.0,15.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,2.0,1.0,5.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,Alianza Valledupar FC,away,,,,
