name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,dispossessed,shotOffTarget,outfielderBlock,interceptionWon,aerialWon,totalTackle,fouls,aerialLost,bigChanceCreated,bigChanceMissed,totalOffside,keyPass,onTargetScoringAttempt,challengeLost,captain,team,teamType,fieldTranslations,punches,totalContest,blockedScoringAttempt,wonContest,hitWoodwork,goals
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,13,True,26.0,23.0,2.0,2.0,0.0,1.0,,1.0,,,45.0,30.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,3.0,,1.0,,,,,2.0,,,,,1.0,,1.0,,Deportivo Pasto,home,,,,,,,
Ray Vanegas,ray-vanegas,R. Vanegas,F,11,176.0,27,355864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,731894400,"{'value': 48000, 'currency': 'EUR'}",,,11,True,3.0,2.0,,,0.0,2.0,,1.0,,,33.0,7.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,Deportivo Pasto,home,,,,,,,
Nicolás Morínigo,nicolas-morinigo,N. Morínigo,F,27,193.0,57,922879,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,952560000,"{'value': 135000, 'currency': 'EUR'}",,,27,True,3.0,1.0,1.0,,0.0,,,,,,17.0,3.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600,"{'value': 105000, 'currency': 'EUR'}",Mauricio Castaño,,20,True,4.0,3.0,,,0.0,1.0,,,,,10.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Kevin Rendón,kevin-rendon,K. Rendón,M,7,182.0,7,877623,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,726451200,"{'value': 49000, 'currency': 'EUR'}",,,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}",,,31,False,22.0,21.0,5.0,4.0,0.0,1.0,1.0,,2.0,2.0,90.0,28.0,7.3,1.0,"{'original': 7.3, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,Millonarios,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",1.0,,,,,
Delvin Alfonzo,alfonzo-delvin,D. Alfonzo,D,22,178.0,318,1015685,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,968025600,"{'value': 745000, 'currency': 'EUR'}",,,22,False,30.0,23.0,4.0,1.0,0.0,2.0,4.0,1.0,,,90.0,47.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,7.0,,,,1.0,,1.0,3.0,3.0,,,,,,,,Millonarios,away,,,1.0,,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000,"{'value': 405000, 'currency': 'EUR'}",,,6,False,60.0,55.0,8.0,4.0,0.0,,2.0,,,,90.0,66.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,Millonarios,away,,,,,,,
