name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,fouls,keyPass,aerialLost,bigChanceCreated,shotOffTarget,wasFouled,outfielderBlock,totalCross,accurateCross,goals,captain,team,teamType,savedShotsFromInsideTheBox,totalOffside
Johan Parra,,,johan-parra,J. Parra,M,25,,5,1516746,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1095724800,,25,True,,,,,0.0,,,,28.0,6.0,7.1,2.0,"{'original': 7.1, 'alternative': None}",,3.0,1.0,,,2.0,,2.0,,,,2.0,,,,,1.0,,,,1.0,,Alianza Valledupar FC,home,,
Sergio Aponzá,,,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800,,11,True,8.0,7.0,1.0,1.0,0.0,,,,28.0,13.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,2.0,4.0,1.0,,2.0,2.0,,,,,1.0,2.0,,,,2.0,,1.0,1.0,,,Alianza Valledupar FC,home,,
Junior Jiménez,Junior Jiménez,,junior-jimenez,J. Jiménez,F,20,,4,1908103,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974505600,,20,True,2.0,1.0,1.0,,0.0,,,,16.0,7.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,Alianza Valledupar FC,home,,
Jair Castillo,,,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800,"{'value': 360000, 'currency': 'EUR'}",7,True,13.0,10.0,1.0,1.0,0.0,,,,9.0,15.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,,,,1.0,,,,,,,,,,,,Alianza Valledupar FC,home,,
Misael Martínez,,,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000,"{'value': 405000, 'currency': 'EUR'}",77,True,1.0,,,,0.0,,,,9.0,5.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,4.0,,1.0,,,,,,,,,,,,3.0,,,,,,Alianza Valledupar FC,home,,
Johan Wallens,,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000,"{'value': 97000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,
Jesús Figueroa,,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600,"{'value': 230000, 'currency': 'EUR'}",6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800,"{'value': 185000, 'currency': 'EUR'}",1,False,40.0,28.0,25.0,14.0,0.0,2.0,8.0,2.0,90.0,58.0,8.8,12.0,"{'original': 8.8, 'alternative': None}",,,3.0,,,,,,,,2.0,,,,,,1.0,,,,,,Unión Magdalena,away,5.0,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,183.0,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400,"{'value': 245000, 'currency': 'EUR'}",3,False,26.0,19.0,3.0,,0.0,3.0,,,90.0,44.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",,2.0,1.0,,,1.0,,,,2.0,1.0,1.0,,,,,,1.0,2.0,,,,Unión Magdalena,away,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,185.0,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200,"{'value': 290000, 'currency': 'EUR'}",33,False,27.0,19.0,11.0,3.0,0.0,4.0,,,90.0,40.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",1.0,9.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,1.0,4.0,,1.0,,,1.0,1.0,,,Unión Magdalena,away,,
Darwin Palomeque,Darwin Palomeque,,darwin-palomeque,D. Palomeque,D,18,183.0,7,1470051,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736214400,"{'value': 195000, 'currency': 'EUR'}",18,False,21.0,19.0,1.0,,0.0,2.0,,,90.0,35.0,7.0,5.0,"{'original': 7, 'alternative': None}",1.0,6.0,7.0,,,2.0,1.0,,1.0,1.0,4.0,2.0,,3.0,,,1.0,1.0,1.0,,,,Unión Magdalena,away,,
Martín Payares,,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400,"{'value': 410000, 'currency': 'EUR'}",5,False,36.0,25.0,11.0,5.0,0.0,17.0,,,90.0,59.0,7.4,11.0,"{'original': 7.4, 'alternative': None}",5.0,6.0,8.0,1.0,,,,,,,2.0,3.0,,2.0,,,1.0,2.0,,,,,Unión Magdalena,away,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600,"{'value': 245000, 'currency': 'EUR'}",30,False,29.0,26.0,2.0,,0.0,2.0,,,90.0,58.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,4.0,5.0,1.0,,1.0,1.0,,1.0,4.0,3.0,1.0,,2.0,,1.0,1.0,1.0,2.0,,,,Unión Magdalena,away,,1.0
