name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,blockedScoringAttempt,outfielderBlock,totalTackle,wasFouled,accurateCross,onTargetScoringAttempt,interceptionWon,challengeLost,dispossessed,bigChanceCreated,goals,fouls,keyPass,totalContest,shotOffTarget,wonContest,captain,team,teamType,totalOffside
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800.0,"{'value': 535000, 'currency': 'EUR'}",,24,True,1.0,,,,0.0,,2.0,,,,,22.0,9.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,1.0,3.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,Deportes Tolima,home,
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",,23,True,2.0,2.0,,,0.0,,3.0,,,,,14.0,7.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,Deportes Tolima,home,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",,80,True,5.0,3.0,2.0,,0.0,1.0,2.0,2.0,,,,14.0,9.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,,,1.0,,,,1.0,,,,,1.0,,,,,,Deportes Tolima,home,
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200.0,"{'value': 605000, 'currency': 'EUR'}",,71,True,,,,,0.0,,,,,,,9.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200.0,"{'value': 160000, 'currency': 'EUR'}",,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Jader Quinones,Jader Quiñónes,,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Cristopher Varela,,,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1,False,23.0,14.0,10.0,1.0,0.0,,,1.0,,3.0,,90.0,33.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Santiago Gómez,,,santiago-gomez,S. Gómez,D,21,180.0,3,929690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,896227200.0,"{'value': 205000, 'currency': 'EUR'}",,21,False,11.0,11.0,,,0.0,,1.0,,,,,45.0,26.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",4.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,Deportivo La Equidad,away,
Daniel Polanco,Daniel Polanco,,daniel-polanco,D. Polanco,D,2,,5,1170892,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,,,2,False,39.0,35.0,2.0,,0.0,1.0,3.0,4.0,,,,90.0,49.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,2.0,,,1.0,1.0,,,2.0,,,,,2.0,,,1.0,,,Deportivo La Equidad,away,
Miguel Amaya,Miguel Amaya,,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,20,False,56.0,48.0,8.0,5.0,0.0,2.0,5.0,4.0,,,,90.0,73.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",1.0,3.0,6.0,,,3.0,,,,1.0,2.0,,,,1.0,,,,,,Deportivo La Equidad,away,
Amaury Torralvo,,,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800.0,"{'value': 260000, 'currency': 'EUR'}",,26,False,24.0,21.0,2.0,1.0,0.0,1.0,1.0,3.0,,,,90.0,47.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",4.0,,,1.0,,,,1.0,,1.0,,,,,,2.0,,,,,Deportivo La Equidad,away,
Bleiner Agrón,Bleiner Agrón,,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",,30,False,55.0,49.0,7.0,3.0,1.0,3.0,8.0,3.0,,,,90.0,75.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",,1.0,3.0,,1.0,3.0,1.0,,,4.0,,,,,,2.0,3.0,,1.0,,Deportivo La Equidad,away,
Deivid Castro,Deivid Castro,,deivid-castro,D. Castro,,15,,3,2123055,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,15,False,28.0,25.0,8.0,7.0,0.0,,4.0,3.0,,,,65.0,40.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,2.0,4.0,,,2.0,1.0,,,1.0,,1.0,,,2.0,,1.0,,1.0,,Deportivo La Equidad,away,
Felipe Acosta,,,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,14,False,56.0,44.0,9.0,5.0,0.0,,2.0,1.0,,,,90.0,70.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",,,2.0,2.0,,2.0,,,1.0,,,,,,1.0,,1.0,1.0,,True,Deportivo La Equidad,away,
Fabian Chaverra,Fabian Chaverra,,fabian-chaverra,F. Chaverra,M,28,,10,1818123,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1084233600.0,,,28,False,20.0,17.0,1.0,,0.0,,4.0,,,,,65.0,33.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,1.0,5.0,,,,2.0,,1.0,,1.0,,,1.0,,,5.0,,2.0,,Deportivo La Equidad,away,
Wilmar Cruz,,,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,10,False,20.0,16.0,1.0,1.0,0.0,1.0,1.0,2.0,,,,76.0,26.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,Deportivo La Equidad,away,
Samir Mayo,,,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,16,False,24.0,20.0,4.0,4.0,0.0,,,,,,,65.0,35.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",1.0,,6.0,,,,,,,,,1.0,,,3.0,2.0,2.0,,,,Deportivo La Equidad,away,
Beckham Castro,Beckham Castro,,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",,11,True,13.0,11.0,,,0.0,1.0,2.0,,,,,45.0,21.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",2.0,,2.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,Deportivo La Equidad,away,
Santiago Lopez,Santiago López,,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,,25,True,10.0,8.0,2.0,1.0,0.0,,1.0,,,,,25.0,14.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",1.0,,1.0,,,,,,,,,,,,,,2.0,,1.0,,Deportivo La Equidad,away,
Sebastián Tamara,,,sebastian-tamara,S. Tamara,M,8,173.0,15,825757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831686400.0,"{'value': 365000, 'currency': 'EUR'}",,8,True,28.0,20.0,3.0,1.0,0.0,,,,,,,25.0,29.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,1.0
Renan Oliveira,,,renan-oliveira,R. Oliveira,F,9,186.0,263,888598,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863049600.0,"{'value': 575000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. أوليفيرا', 'hi': 'आर. ओलिवेरा', 'bn': 'আর. অলিভেইরা'}}",9,True,6.0,2.0,1.0,,0.0,1.0,1.0,,,,,25.0,9.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,3.0,3.0,,,,,,,,,,,,,1.0,,,,,Deportivo La Equidad,away,
Bayron Caicedo,Bayron Caicedo,,bayron-caicedo,B. Caicedo,,27,,3,1862738,{},EUR,,,,27,True,4.0,4.0,,,0.0,,,,,,,14.0,6.0,6.3,2.0,"{'original': 6.3, 'alternative': None}",1.0,,2.0,,,,,,,,1.0,,,,,,1.0,,,,Deportivo La Equidad,away,
Andres Perez,,,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
Guillermo Tegüe,,,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,away,
