name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,keyPass,wonContest,outfielderBlock,interceptionWon,fouls,aerialWon,dispossessed,accurateCross,captain,team,teamType,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,True,14.0,10.0,2.0,2.0,0.0,,,,33.0,24.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,Envigado FC,home,,,,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,18.0,15.0,4.0,2.0,0.0,,,,33.0,23.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,3.0,2.0,1.0,1.0,,,,2.0,,,,,1.0,,,,,Envigado FC,home,,,,
Frey Berrio,Frey Berrio,,frey-berrio,F. Berrio,,19,,4,2038790,{},EUR,,,31,True,,,,,0.0,,,,16.0,,6.3,,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,True,6.0,5.0,,,0.0,,,,12.0,9.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,1.0,3.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,Envigado FC,home,,,,
Matías Villa Marín,,,matias-villa-marin,M. V. Marín,G,1,,4,1847750,{},EUR,1195689600.0,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
Andrés Vargas,Andrés Vargas,,andres-vargas,A. Vargas,,17,,3,1948603,{},EUR,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,
Diego Martínez,,,diego-martinez,D. Martínez,G,1,180.0,8,819196,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,628300800.0,"{'value': 210000, 'currency': 'EUR'}",1,False,24.0,16.0,16.0,8.0,0.0,,,,90.0,25.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,True,Deportivo Pasto,away,,,,
Israel Alba,,,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400.0,"{'value': 430000, 'currency': 'EUR'}",22,False,27.0,22.0,5.0,3.0,0.0,3.0,,,90.0,45.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",2.0,,2.0,4.0,1.0,1.0,1.0,,2.0,,2.0,1.0,,,1.0,1.0,,,,Deportivo Pasto,away,1.0,,,
Luis Caicedo,,,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400.0,"{'value': 215000, 'currency': 'EUR'}",4,False,17.0,12.0,6.0,2.0,0.0,3.0,,,90.0,27.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,1.0,,,,,,,,,,4.0,,1.0,,,,Deportivo Pasto,away,,,,
Andrés Alarcón,Andrés Alarcón,,andres-alarcon,A. Alarcón,D,24,192.0,45,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400.0,,24,False,22.0,22.0,5.0,5.0,0.0,2.0,,,90.0,28.0,7.4,,"{'original': 7.4, 'alternative': None}",,1.0,1.0,2.0,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,Deportivo Pasto,away,,,,
Joyce Ossa,Joyce Ossa,,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000.0,"{'value': 280000, 'currency': 'EUR'}",23,False,25.0,19.0,5.0,1.0,0.0,7.0,,,90.0,44.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,,2.0,1.0,,,1.0,,,1.0,,,2.0,5.0,1.0,,1.0,,,Deportivo Pasto,away,,,,
Mauricio Castaño,Mauricio Castaño,,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 105000, 'currency': 'EUR'}",20,False,17.0,13.0,5.0,3.0,0.0,2.0,,,90.0,40.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,4.0,3.0,3.0,,1.0,,1.0,,,,1.0,1.0,,2.0,,,,Deportivo Pasto,away,,,,
Gustavo Torres,,,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800.0,"{'value': 320000, 'currency': 'EUR'}",9,False,18.0,13.0,1.0,,0.0,1.0,,,68.0,32.0,7.7,9.0,"{'original': 7.7, 'alternative': None}",1.0,,3.0,7.0,2.0,3.0,2.0,,3.0,1.0,1.0,2.0,,,,1.0,,,,Deportivo Pasto,away,1.0,1.0,,
