name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,bigChanceMissed,totalClearance,outfielderBlock,dispossessed,onTargetScoringAttempt,wonContest,goals,blockedScoringAttempt,hitWoodwork,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Jersson González,,,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,True,7.0,1.0,1.0,,0.0,,45.0,18.0,6.4,9.0,"{'original': 6.4, 'alternative': None}",,,3.0,,7.0,3.0,3.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,Deportes Tolima,home,,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,24,True,6.0,5.0,,,0.0,,23.0,13.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,2.0,,4.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,Deportes Tolima,home,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180.0,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,28,True,9.0,9.0,,,0.0,,15.0,10.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Jader Quinones,Jader Quiñónes,,quinones-jader,J. Quiñónes,M,42,170.0,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",42,True,9.0,7.0,1.0,,0.0,,11.0,12.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,Deportes Tolima,home,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Juan Perez,Juan Perez,,juan-perez,J. Perez,M,16,,2,1807589,{},EUR,1110499200,,,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Aldair Quintana,,,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,1,False,26.0,21.0,6.0,1.0,0.0,,90.0,33.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,Atlético Bucaramanga,away,3.0,4.0
Aldair Gutiérrez,,,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600,"{'value': 490000, 'currency': 'EUR'}",,19,False,51.0,38.0,4.0,4.0,0.0,,90.0,70.0,6.8,19.0,"{'original': 6.8, 'alternative': None}",3.0,,,,3.0,5.0,,,1.0,,4.0,1.0,2.0,,,2.0,,,,,,,,1.0,,Atlético Bucaramanga,away,,
Carlos Romaña,,,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",,23,False,59.0,53.0,8.0,5.0,0.0,,90.0,64.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,4.0,3.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,Atlético Bucaramanga,away,,
Carlos Henao,,,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",,29,False,59.0,49.0,14.0,6.0,0.0,,90.0,71.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",,,,4.0,1.0,7.0,,,1.0,1.0,2.0,1.0,1.0,,,4.0,,,,,,,,,,Atlético Bucaramanga,away,,
Fredy Hinestroza,,,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,53.0,45.0,2.0,,0.0,,90.0,76.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",2.0,,,2.0,,6.0,1.0,,,,2.0,1.0,,,,3.0,,,,1.0,,,,,,Atlético Bucaramanga,away,,
Edwin Castro,,,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,22,False,54.0,50.0,2.0,2.0,0.0,,90.0,64.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,,,3.0,3.0,1.0,,1.0,1.0,3.0,,1.0,,,,1.0,,,,,,,1.0,True,Atlético Bucaramanga,away,,
Leonardo Flores,,,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,28,False,40.0,36.0,4.0,3.0,1.0,,45.0,47.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,,,2.0,3.0,,1.0,,,3.0,,,2.0,,,,1.0,,,,,,1.0,,Atlético Bucaramanga,away,,
Kevin Londoño,,,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,7,False,17.0,12.0,,,0.0,,63.0,24.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",1.0,,,,1.0,2.0,,,,1.0,,2.0,,,,,,1.0,,,,,,,,Atlético Bucaramanga,away,,
Fabián Sambueza,,,fabian-sambueza,F. Sambueza,M,10,173.0,211,789379,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,586396800,"{'value': 230000, 'currency': 'EUR'}",,10,False,41.0,30.0,2.0,1.0,0.0,,78.0,51.0,6.4,14.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,5.0,4.0,2.0,,,,,3.0,2.0,,,,,,,,,1.0,,,,Atlético Bucaramanga,away,,
Frank Castañeda,,,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,False,37.0,32.0,2.0,2.0,0.0,,90.0,52.0,7.8,10.0,"{'original': 7.8, 'alternative': None}",4.0,3.0,1.0,,2.0,2.0,,,1.0,1.0,,2.0,,2.0,,,,1.0,1.0,,1.0,,,,,Atlético Bucaramanga,away,,
Luciano Pons,,,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800,"{'value': 315000, 'currency': 'EUR'}",,27,False,9.0,6.0,3.0,2.0,0.0,,78.0,17.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,,,,3.0,2.0,2.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,Atlético Bucaramanga,away,,
Aldair Zárate,Aldair Zárate,,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",,20,True,46.0,41.0,4.0,4.0,0.0,,45.0,49.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,1.0,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,Atlético Bucaramanga,away,,
Jhon Vásquez,,,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,11,True,10.0,7.0,,,0.0,,27.0,16.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",4.0,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,Atlético Bucaramanga,away,,
Sherman Cárdenas,,,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200,"{'value': 49000, 'currency': 'EUR'}",,30,True,17.0,13.0,1.0,1.0,0.0,,12.0,19.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,Atlético Bucaramanga,away,,
Andrés Ponce,,,andres-ponce,A. Ponce,F,9,182.0,258,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400,"{'value': 465000, 'currency': 'EUR'}",,9,True,6.0,3.0,,,0.0,,12.0,8.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Luis Vásquez,,,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Santiago Jiménez,,,santiago-jimenez,S. Jiménez,D,6,180.0,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400,"{'value': 440000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Alejandro Moralez,,,alejandro-moralez,A. Moralez,D,21,190.0,36,988773,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987638400,"{'value': 210000, 'currency': 'EUR'}",,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
