name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,clearanceOffLine,outfielderBlock,interceptionWon,fouls,aerialWon,duelWon,dispossessed,wonContest,onTargetScoringAttempt,totalTackle,shotOffTarget,challengeLost,blockedScoringAttempt,bigChanceCreated,goals,wasFouled,bigChanceMissed,totalOffside,captain,team,teamType
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000.0,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,True,18.0,14.0,2.0,,0.0,,,,,,59.0,29.0,6.8,8.0,,"{'original': 6.8, 'alternative': None}",,,1.0,5.0,2.0,,,,2.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,Once Caldas,home
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000.0,"{'value': 405000, 'currency': 'EUR'}",Mateo,,Zuleta,28,True,7.0,4.0,2.0,,0.0,1.0,,,,,29.0,11.0,6.4,5.0,,"{'original': 6.4, 'alternative': None}",,,2.0,3.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,Once Caldas,home
Juan García,juan-garcia,J. García,M,2,185.0,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400.0,"{'value': 155000, 'currency': 'EUR'}",,,,2,True,3.0,3.0,,,0.0,,,,,,13.0,3.0,6.4,,,"{'original': 6.4, 'alternative': None}",,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,Once Caldas,home
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,190,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800.0,"{'value': 235000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",,9,True,,,,,0.0,,,,,,13.0,1.0,6.6,,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,1.0,,,,,,,,,Once Caldas,home
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200.0,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,19,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800.0,"{'value': 235000, 'currency': 'EUR'}",,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Manuel Arteaga,manuel-arteaga,M. Arteaga,M,31,167.0,15,922464,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919987200.0,"{'value': 205000, 'currency': 'EUR'}",,,,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,1,False,16.0,12.0,8.0,4.0,0.0,,2.0,4.0,,,90.0,23.0,6.5,4.0,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,away
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,31.0,30.0,3.0,3.0,0.0,1.0,,,,,90.0,56.0,6.6,6.0,1.0,"{'original': 6.6, 'alternative': None}",,,1.0,4.0,1.0,,1.0,,1.0,2.0,6.0,1.0,,,2.0,1.0,,,,,2.0,,,,Deportivo Pereira,away
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,32.0,27.0,5.0,2.0,0.0,2.0,,,,,90.0,34.0,6.1,5.0,,"{'original': 6.1, 'alternative': None}",,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,Deportivo Pereira,away
