name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,fouls,keyPass,aerialLost,wasFouled,outfielderBlock,totalOffside,shotOffTarget,challengeLost,dispossessed,accurateCross,onTargetScoringAttempt,goals,blockedScoringAttempt,captain,team,teamType
Juan Camilo Cantillo,Juan Camilo Cantillo,,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000,"{'value': 105000, 'currency': 'EUR'}",,18,True,7.0,3.0,,,0.0,,,36.0,14.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,3.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,Deportivo Cali,home
Cristian Graciano,,,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000,"{'value': 325000, 'currency': 'EUR'}",,44,True,5.0,4.0,1.0,,0.0,,,15.0,9.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,Deportivo Cali,home
José Caldera,José Caldera,,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800,"{'value': 470000, 'currency': 'EUR'}",,12,True,,,,,0.0,,,11.0,1.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,1.0,,,,,,,,,,,,,,,Deportivo Cali,home
Juan Angulo,,,juan-angulo,J. Angulo,D,13,178.0,45,38170,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,591235200,"{'value': 46000, 'currency': 'EUR'}",,13,True,1.0,,,,0.0,,,11.0,3.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,Deportivo Cali,home
Javier Reina,,,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200,"{'value': 210000, 'currency': 'EUR'}",,10,True,,,,,0.0,,,11.0,1.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,,,,,1.0,,,,,,,,,,,,Deportivo Cali,home
Gastón Guruceaga,,,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600,"{'value': 380000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
Juan Arango,Juan Arango,,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,24.0,18.0,10.0,4.0,0.0,,2.0,90.0,33.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,away
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174.0,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,13,False,51.0,43.0,4.0,2.0,0.0,,,90.0,74.0,7.0,15.0,"{'original': 7, 'alternative': None}",5.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,,1.0,,,,,Atlético Nacional,away
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,23,False,56.0,53.0,5.0,4.0,0.0,,,90.0,65.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,1.0,1.0,,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,Atlético Nacional,away
