name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,dispossessed,totalContest,shotOffTarget,interceptionWon,totalTackle,aerialLost,challengeLost,outfielderBlock,fouls,keyPass,hitWoodwork,onTargetScoringAttempt,blockedScoringAttempt,goals,totalOffside,wonContest,captain,team,teamType,fieldTranslations,bigChanceCreated,accurateCross
Royscer Colpa,,,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200,"{'value': 225000, 'currency': 'EUR'}",8,True,6.0,5.0,,,0.0,2.0,,2.0,,,19.0,10.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Andrés Rentería,,,andres-renteria,A. Rentería,F,11,181.0,116,231950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,731376000,"{'value': 330000, 'currency': 'EUR'}",11,True,6.0,4.0,,,0.0,1.0,,,,,19.0,7.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,1.0,4.0,,,,,,1.0,,,3.0,,,,,,,,,Alianza Valledupar FC,home,,,
Junior Jiménez,Junior Jiménez,,junior-jimenez,J. Jiménez,F,20,,4,1908103,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974505600,,20,True,1.0,1.0,,,0.0,3.0,,2.0,,,11.0,5.0,6.8,1.0,"{'original': 6.8, 'alternative': None}",,,,,,,,1.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
José Muñoz,,,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000,"{'value': 140000, 'currency': 'EUR'}",10,True,3.0,2.0,3.0,2.0,0.0,,,,,,8.0,3.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Johan Wallens,,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000,"{'value': 97000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Efraín Navarro,,,efrain-navarro,E. Navarro,D,2,177.0,12,925250,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,934416000,"{'value': 365000, 'currency': 'EUR'}",2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Ruben Manjarres,Ruben Manjarres,,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000,"{'value': 315000, 'currency': 'EUR'}",21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",25,False,22.0,9.0,18.0,6.0,0.0,,1.0,,,,90.0,27.0,6.3,13.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",2,False,24.0,17.0,7.0,4.0,0.0,3.0,3.0,1.0,,,90.0,41.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",,,3.0,,,,1.0,2.0,,1.0,,2.0,,,,,,,,True,Independiente Medellín,away,,,
Luis Escorcia,Luis Escorcia,,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600,"{'value': 260000, 'currency': 'EUR'}",39,False,35.0,25.0,12.0,6.0,0.0,7.0,6.0,3.0,,,90.0,48.0,7.0,11.0,"{'original': 7, 'alternative': None}",,2.0,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,,Independiente Medellín,away,,,
