name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wasFouled,fouls,dispossessed,outfielderBlock,penaltyConceded,shotOffTarget,accurateCross,keyPass,blockedScoringAttempt,totalOffside,onTargetScoringAttempt,goals,bigChanceCreated,captain,team,teamType,fieldTranslations,penaltyWon
Marlon Sierra,,marlon-sierra,M. Sierra,M,6,174.0,6,890057,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,780105600.0,"{'value': 97000, 'currency': 'EUR'}",,6,True,15.0,13.0,1.0,,0.0,,1.0,1.0,,,,,,31.0,20.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,1.0,,,1.0,,,,,,,,,,,Llaneros FC,home,,
Freddy Espinal,Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,11,True,5.0,5.0,,,0.0,,,,,,,,,20.0,10.0,6.0,5.0,"{'original': 6, 'alternative': None}",1.0,1.0,4.0,,2.0,,,,,1.0,,,,,,,,,,,,,Llaneros FC,home,,
Kener Valencia,Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",,70,True,3.0,2.0,,,0.0,1.0,1.0,,,,,,,20.0,7.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,3.0,,,,,,,1.0,2.0,,,,,,,,,,,,Llaneros FC,home,,
Duván Mosquera,Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",,27,True,5.0,4.0,1.0,1.0,0.0,,1.0,,,,,,,19.0,8.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,,,1.0,,3.0,,,,,,,,,,,,,Llaneros FC,home,,
Maicol Medina,,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,18,True,5.0,3.0,1.0,,0.0,,,,,,,,,9.0,6.0,6.1,3.0,"{'original': 6.1, 'alternative': None}",,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,Llaneros FC,home,,
Roameth Romaña,Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,
Óscar Vega,Oscar Vega,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,
Aldair Quintana,,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 930000, 'currency': 'EUR'}",,1,False,20.0,15.0,8.0,3.0,0.0,,,,1.0,,,,,90.0,26.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,away,,
Santiago Jiménez,,santiago-jimenez,S. Jiménez,D,6,180.0,37,830070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,888710400.0,"{'value': 440000, 'currency': 'EUR'}",,6,False,44.0,37.0,11.0,8.0,0.0,2.0,5.0,3.0,,,,,,90.0,62.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,2.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,Atlético Bucaramanga,away,,
Cristián Zapata,,cristian-zapata,C. Zapata,D,25,187.0,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400.0,"{'value': 54000, 'currency': 'EUR'}",,25,False,35.0,35.0,2.0,2.0,0.0,,4.0,1.0,,,,,,90.0,42.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,Atlético Bucaramanga,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",
