name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,wasFouled,fouls,outfielderBlock,interceptionWon,totalTackle,keyPass,onTargetScoringAttempt,blockedScoringAttempt,totalCross,accurateCross,totalOffside,captain,team,teamType,fieldTranslations,challengeLost,goals,bigChanceCreated,bigChanceMissed
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,True,5.0,4.0,1.0,0.0,,,,,45.0,9.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,2.0,,Envigado FC,home,,,,,
Tomás Soto,Tomás Soto,,tomas-soto,T. Soto,M,13,,6,1388637,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1097539200.0,,13,True,12.0,11.0,2.0,0.0,,,,,31.0,15.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,,3.0,,1.0,,,,,1.0,,,,,,,1.0,,,,Envigado FC,home,,,,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,True,3.0,3.0,,0.0,1.0,,,,14.0,10.0,6.1,2.0,"{'original': 6.1, 'alternative': None}",,,,1.0,1.0,,,,,,1.0,,,1.0,,,,2.0,1.0,,,Envigado FC,home,,,,,
Frey Berrio,Frey Berrio,,frey-berrio,F. Berrio,,19,,4,2038790,{},EUR,,,31,True,10.0,9.0,1.0,0.0,2.0,,,,22.0,14.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,1.0,1.0,,,,,,2.0,,,,,1.0,,,,,,Envigado FC,home,,,,,
Jorman Mendoza,,,jorman-mendoza,J. Mendoza,G,1,185.0,38,1840467,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1200268800.0,,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200.0,"{'value': 335000, 'currency': 'EUR'}",25,False,24.0,10.0,23.0,0.0,1.0,2.0,2.0,1.0,90.0,28.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",9.0,,,,,,,,,,,,,,1.0,,,,,,,Independiente Medellín,away,,,,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800.0,"{'value': 875000, 'currency': 'EUR'}",2,False,15.0,10.0,8.0,0.0,4.0,,,,90.0,42.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",4.0,4.0,1.0,5.0,6.0,,,,,1.0,1.0,,1.0,4.0,1.0,,,4.0,,,True,Independiente Medellín,away,,,,,
Kevin Mantilla,Kevin Mantilla,,kevin-mantilla,K. Mantilla,D,4,191.0,547,1117066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1053561600.0,"{'value': 1300000, 'currency': 'EUR'}",4,False,11.0,7.0,2.0,0.0,3.0,,,,64.0,15.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,Independiente Medellín,away,,1.0,,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",33,False,21.0,11.0,10.0,0.0,5.0,,,,90.0,42.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",4.0,1.0,1.0,2.0,4.0,1.0,,,,2.0,,,1.0,1.0,,1.0,,,,,,Independiente Medellín,away,,,,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",6,False,2.0,,1.0,0.0,,,,,31.0,3.0,5.3,2.0,"{'original': 5.3, 'alternative': None}",,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,Independiente Medellín,away,,,,,
Alexis Serna,,,alexis-serna,A. Serna,M,80,170.0,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800.0,"{'value': 230000, 'currency': 'EUR'}",80,False,18.0,13.0,1.0,0.0,2.0,,,,71.0,26.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,3.0,2.0,6.0,4.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,Independiente Medellín,away,,2.0,,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}",18,False,4.0,4.0,1.0,0.0,,,,,50.0,7.0,5.8,1.0,"{'original': 5.8, 'alternative': None}",1.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,Independiente Medellín,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",,,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",31,False,7.0,5.0,,0.0,,,,,45.0,12.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,1.0,,3.0,,,,,,,2.0,1.0,,,1.0,1.0,1.0,2.0,,,,Independiente Medellín,away,,,1.0,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",13,False,20.0,17.0,4.0,0.0,2.0,,,,90.0,49.0,7.2,15.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,,5.0,5.0,3.0,,,2.0,5.0,,,,,1.0,,1.0,1.0,,,,Independiente Medellín,away,,1.0,,1.0,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",27,False,15.0,10.0,1.0,1.0,,,,,89.0,35.0,6.4,17.0,"{'original': 6.4, 'alternative': None}",,3.0,2.0,11.0,5.0,3.0,3.0,,3.0,2.0,2.0,,,1.0,2.0,1.0,,1.0,,,,Independiente Medellín,away,,,,,2.0
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",9,False,13.0,7.0,,0.0,,,,,45.0,20.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",,1.0,,2.0,1.0,,,,1.0,,1.0,,,1.0,2.0,,,2.0,,,,Independiente Medellín,away,,,,1.0,
Luis Escorcia,Luis Escorcia,,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600.0,"{'value': 260000, 'currency': 'EUR'}",39,True,1.0,1.0,,0.0,3.0,,,,45.0,7.0,6.7,,"{'original': 6.7, 'alternative': None}",,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,Independiente Medellín,away,,,,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}",15,True,19.0,10.0,2.0,0.0,1.0,,,,45.0,26.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,3.0,2.0,,,,,,,,2.0,1.0,,,,,,,Independiente Medellín,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",,,,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600.0,"{'value': 670000, 'currency': 'EUR'}",17,True,5.0,4.0,,0.0,,,,,26.0,15.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,Independiente Medellín,away,,,,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",7,True,2.0,1.0,,0.0,,,,,19.0,3.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,Independiente Medellín,away,,,,,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800.0,"{'value': 830000, 'currency': 'EUR'}",8,True,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,,
Yimy Gómez,,,yimy-gomez,Y. Gómez,G,1,185.0,11,888100,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,933724800.0,"{'value': 235000, 'currency': 'EUR'}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600.0,"{'value': 540000, 'currency': 'EUR'}",19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,away,,,,,
