name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,fouls,keyPass,aerialLost,interceptionWon,totalTackle,wasFouled,dispossessed,penaltyConceded,blockedScoringAttempt,challengeLost,onTargetScoringAttempt,aerialWon,goals,totalOffside,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,bigChanceCreated,penaltyWon
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,True,8.0,7.0,,,0.0,,45.0,12.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,2.0,2.0,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,,Fortaleza CEIF,home,,,,
Edilson Cabeza,Edilson Cabeza,,edilson-cabeza,E. Cabeza,D,3,178.0,7,1066553,{},EUR,1026086400.0,,3,True,29.0,28.0,2.0,2.0,0.0,,45.0,32.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,Fortaleza CEIF,home,,,,
Jhoiner Salas,,,jhoiner-salas,J. Salas,M,24,,13,1612110,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065571200.0,,24,True,13.0,12.0,,,0.0,,45.0,22.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,,2.0,3.0,2.0,2.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,Fortaleza CEIF,home,,,,
Kevin Salazar,,,kevin-salazar,K. Salazar,M,11,170.0,30,852208,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823824000.0,"{'value': 160000, 'currency': 'EUR'}",26,True,8.0,5.0,,,0.0,,13.0,8.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,105,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",9,True,,,,,0.0,,13.0,2.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,Fortaleza CEIF,home,,,,
Michael Barragán,Michael Barragán,,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800.0,"{'value': 655000, 'currency': 'EUR'}",1,False,42.0,39.0,8.0,5.0,0.0,4.0,90.0,54.0,7.0,3.0,"{'original': 7, 'alternative': None}",,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,True,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",3.0,,
Andrés Román,,,andres-roman,A. Román,D,6,183.0,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200.0,"{'value': 1600000, 'currency': 'EUR'}",6,False,28.0,19.0,3.0,,0.0,,79.0,39.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",1.0,,3.0,,,,1.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,Atlético Nacional,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",,,
Juan Arias,,,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,23,False,57.0,55.0,5.0,4.0,0.0,,90.0,62.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,Atlético Nacional,away,,,,
