name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,onTargetScoringAttempt,totalTackle,ownGoals,wasFouled,fouls,keyPass,shotOffTarget,interceptionWon,outfielderBlock,blockedScoringAttempt,wonContest,bigChanceMissed,penaltyMiss,captain,team,teamType,goodHighClaim,penaltySave,punches,penaltyConceded,goals,totalOffside,bigChanceCreated
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,96,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,False,13.0,10.0,1.0,,0.0,,3.0,,,,,,59.0,27.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,,3.0,,1.0,1.0,,1.0,,2.0,2.0,,,,,1.0,,,,,Atlético Bucaramanga,home,,,,,,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,185,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,,,28,True,23.0,16.0,3.0,1.0,0.0,1.0,2.0,,,,,,45.0,29.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,,2.0,2.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,Atlético Bucaramanga,home,,,,,,,
Jean Carlos Blanco,jean-carlos-blanco,J. C. Blanco,F,9,185.0,93,1199361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,702518400,"{'value': 370000, 'currency': 'EUR'}",,,,18,True,16.0,15.0,2.0,2.0,0.0,,,,,,,,31.0,21.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,1.0,5.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,Atlético Bucaramanga,home,,,,,,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,,7,True,17.0,15.0,,,0.0,,,1.0,,,,,30.0,25.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",5.0,2.0,,,,,,,,,,,2.0,,1.0,,,,,,,Atlético Bucaramanga,home,,,,,,,
Andrés Ponce,andres-ponce,A. Ponce,F,9,182.0,258,785973,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,847670400,"{'value': 465000, 'currency': 'EUR'}",,,,9,True,2.0,1.0,,,0.0,1.0,1.0,,,,,,19.0,4.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,2.0,3.0,,1.0,,,,,,,,,,,1.0,,,,,Atlético Bucaramanga,home,,,,,,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,,,,
Jefferson Mena,jefferson-mena,J. Mena,D,2,183.0,63,355850,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,613872000,"{'value': 97000, 'currency': 'EUR'}",,,,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,,,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,84,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,,,,,,
Santiago Silva,silva-santiago,S. Silva,G,27,190.0,101,1002740,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,926380800,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'S. I. S. Azambuja'}}",,,27,False,29.0,8.0,23.0,3.0,0.0,,,3.0,5.0,7.0,,,90.0,44.0,8.5,23.0,"{'original': 8.5, 'alternative': None}",,,,1.0,,,1.0,,,,,,,,,,,,,,,América de Cali,away,1.0,1.0,1.0,,,,
Mateo Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181.0,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400,"{'value': 410000, 'currency': 'EUR'}",,Mateo,Castillo Márquez,13,False,26.0,16.0,7.0,3.0,1.0,,8.0,1.0,,,,,90.0,46.0,7.8,12.0,"{'original': 7.8, 'alternative': None}",1.0,1.0,2.0,2.0,,,3.0,,4.0,,1.0,,1.0,,,1.0,,3.0,,,,América de Cali,away,,,,,,,
Cristian Tovar,cristian-tovar,C. Tovar,D,6,182.0,68,873180,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,894412800,"{'value': 470000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. توفار', 'hi': 'सी. तोवर', 'bn': 'সি. টোভার'}}",,,6,False,16.0,11.0,3.0,1.0,0.0,1.0,4.0,10.0,,,,,90.0,33.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,1.0,4.0,1.0,,1.0,,1.0,,1.0,2.0,,,2.0,1.0,,1.0,,,,América de Cali,away,,,,,,,
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,108,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,22.0,14.0,5.0,1.0,0.0,5.0,5.0,4.0,,,,,90.0,31.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",,,1.0,3.0,1.0,,,,,,,1.0,,,1.0,,,,,,,América de Cali,away,,,,,,,
Marcos Mina,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,33.0,25.0,6.0,1.0,1.0,1.0,6.0,6.0,,,,,90.0,58.0,7.4,18.0,"{'original': 7.4, 'alternative': None}",,,,4.0,,1.0,5.0,,,,2.0,1.0,2.0,,1.0,1.0,,3.0,,,,América de Cali,away,,,,,,,
Éder Balanta,eder-balanta,É. Balanta,M,3,181.0,491,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",,,3,False,36.0,25.0,6.0,3.0,0.0,5.0,8.0,5.0,,,,,90.0,53.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",,,4.0,5.0,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,América de Cali,away,,,,1.0,,,
