name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalClearance,interceptionWon,totalTackle,fouls,aerialWon,shotOffTarget,wasFouled,keyPass,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,goals,penaltyWon,challengeLost,bigChanceCreated,outfielderBlock,accurateCross,bigChanceMissed,totalOffside,captain,team,teamType,punches,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Andrés Ricaurte,,,andres-ricaurte,A. Ricaurte,M,8,182.0,115,285527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686448000.0,"{'value': 270000, 'currency': 'EUR'}",8,False,40.0,34.0,3.0,2.0,0.0,6.0,1.0,,,,71.0,56.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",4.0,2.0,4.0,,,1.0,2.0,,,5.0,2.0,,,,,,,,,1.0,,,,Fortaleza CEIF,home,,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",80,True,8.0,6.0,,,0.0,1.0,,,,,41.0,11.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,2.0,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,Fortaleza CEIF,home,,,,
David Barrera,,,david-barrera,D. Barrera,M,25,,7,1489813,{},EUR,,,25,True,4.0,4.0,1.0,1.0,0.0,,,,,,19.0,5.0,6.5,,"{'original': 6.5, 'alternative': None}",,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Sebastian Ramirez,,,ramirez-sebastian,S. Ramirez,D,21,,26,1839958,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1157155200.0,,21,True,,,,,0.0,1.0,,,,,11.0,2.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,1.0,,1.0,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,True,3.0,2.0,1.0,,0.0,2.0,1.0,1.0,,,11.0,11.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Carlos Gonzalez,Carlos Gonzalez,,carlos-gonzalez,C. Gonzalez,F,29,,15,1086939,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952128000.0,,29,True,,,,,0.0,,,,,,11.0,3.0,6.0,1.0,"{'original': 6, 'alternative': None}",,,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,Fortaleza CEIF,home,,,,
Michael Barragán,Michael Barragán,,michael-barragan,M. Barragán,G,32,190.0,8,1628444,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1085788800.0,,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Santiago Córdoba,,,santiago-cordoba,S. Córdoba,F,9,186.0,117,1096223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,863654400.0,"{'value': 340000, 'currency': 'EUR'}",9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,
Geovanni Banguera,,,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600.0,"{'value': 385000, 'currency': 'EUR'}",12,False,29.0,22.0,10.0,3.0,0.0,2.0,,,,1.0,90.0,34.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,1.0,1.0,1.0,
Dylan Lozano,Dylan Lozano,,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200.0,"{'value': 270000, 'currency': 'EUR'}",26,False,24.0,19.0,3.0,1.0,1.0,5.0,5.0,,,,90.0,52.0,6.4,16.0,"{'original': 6.4, 'alternative': None}",4.0,1.0,7.0,1.0,,1.0,1.0,3.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,Rionegro Águilas Doradas,away,,,,
Felipe Aguilar,,,felipe-aguilar,F. Aguilar,D,3,190.0,171,329577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727488000.0,"{'value': 310000, 'currency': 'EUR'}",3,False,51.0,41.0,6.0,3.0,0.0,5.0,,,,,90.0,59.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,,2.0,3.0,,,2.0,4.0,,1.0,,,,,,,,,1.0,,,,,Rionegro Águilas Doradas,away,,,,
Diego Hernández,,,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400.0,"{'value': 370000, 'currency': 'EUR'}",5,False,68.0,55.0,16.0,10.0,0.0,5.0,,,,,90.0,81.0,7.0,13.0,"{'original': 7, 'alternative': None}",,2.0,4.0,9.0,1.0,2.0,1.0,3.0,,,,,,,,,1.0,,1.0,,,,,Rionegro Águilas Doradas,away,,,,
Javier Alexander Mena,,,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000.0,,32,False,25.0,18.0,2.0,1.0,0.0,,,,,,76.0,32.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",2.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,Rionegro Águilas Doradas,away,,,,
Jaen Pineda,,,jaen-pineda,J. Pineda,M,16,180.0,51,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 620000, 'currency': 'EUR'}",16,False,14.0,10.0,2.0,1.0,0.0,1.0,,,,,45.0,22.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",1.0,,3.0,,2.0,1.0,2.0,,2.0,,,,,,,,1.0,,,,,,,Rionegro Águilas Doradas,away,,,,1.0
Guillermo Celis,,,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200.0,"{'value': 470000, 'currency': 'EUR'}",28,False,48.0,46.0,4.0,3.0,0.0,4.0,,,,,90.0,56.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,1.0,2.0,,,3.0,,,,,,,,,,,,,True,Rionegro Águilas Doradas,away,,,,
Jesús Rivas,,,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800.0,"{'value': 820000, 'currency': 'EUR'}",22,False,76.0,58.0,8.0,5.0,0.0,5.0,,,,,90.0,93.0,6.8,26.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,5.0,,,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,Rionegro Águilas Doradas,away,,,,
Johan Caballero,,,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400.0,"{'value': 340000, 'currency': 'EUR'}",23,False,29.0,23.0,1.0,,0.0,3.0,,,,,65.0,46.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",6.0,,,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Cristian Borja,,,borja-cristian,C. Martínez,F,,184.0,114,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600.0,"{'value': 105000, 'currency': 'EUR'}",17,False,18.0,15.0,,,0.0,1.0,2.0,,,,90.0,22.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,3.0,7.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,Rionegro Águilas Doradas,away,,,,
Yony González,,,yony-gonzalez,Y. González,F,11,182.0,355,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800.0,"{'value': 545000, 'currency': 'EUR'}",11,False,25.0,22.0,1.0,1.0,0.0,3.0,1.0,,,,90.0,40.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",4.0,1.0,8.0,,,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,2.0,,,,,1.0,,Rionegro Águilas Doradas,away,,,,
Juan Ávalo,Juan Ávalo,,juan-avalo,J. Ávalo,M,24,178.0,2,1173947,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1001808000.0,,24,True,21.0,19.0,1.0,,0.0,4.0,4.0,2.0,,,45.0,31.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,3.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,Rionegro Águilas Doradas,away,,,,
Jhojan Escobar,Jhojan Escobar,,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400.0,"{'value': 140000, 'currency': 'EUR'}",6,True,12.0,9.0,1.0,1.0,0.0,1.0,1.0,,,,25.0,19.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",2.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,Rionegro Águilas Doradas,away,,,,
Wilson Morelo,,,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600.0,"{'value': 53000, 'currency': 'EUR'}",19,True,3.0,2.0,,,0.0,,,,,,14.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,1.0,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Sebastián Guerra,,,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000.0,"{'value': 52000, 'currency': 'EUR'}",34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Nicolás Lara,Nicolás Lara,,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400.0,"{'value': 160000, 'currency': 'EUR'}",30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Harrinson Mancilla,,,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000.0,"{'value': 49000, 'currency': 'EUR'}",27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
Tomás Salazar,,,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800.0,"{'value': 52000, 'currency': 'EUR'}",8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,,,,
