name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,interceptionWon,fouls,keyPass,aerialWon,duelWon,wonContest,blockedScoringAttempt,totalTackle,wasFouled,accurateCross,outfielderBlock,dispossessed,shotOffTarget,onTargetScoringAttempt,bigChanceCreated,goals,totalOffside,challengeLost,captain,team,teamType,penaltyConceded,bigChanceMissed
Jersson González,,,jersson-gonzalez,J. González,M,7,172,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,True,10.0,8.0,,,0.0,1.0,,,,28.0,19.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",1.0,,3.0,2.0,,1.0,,,2.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,Deportes Tolima,home,,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,28,True,11.0,10.0,,,0.0,,,,,13.0,17.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,3.0,1.0,,2.0,,1.0,3.0,,,2.0,,,,,,,,,,,,Deportes Tolima,home,,
Julián Quiñones,,,julian-quinones,J. Quiñones,D,3,198,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200,"{'value': 160000, 'currency': 'EUR'}",,3,True,7.0,3.0,2.0,,0.0,1.0,,,,9.0,8.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,1.0,1.0,,,,,,,,,,,,,,,Deportes Tolima,home,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,True,1.0,,,,0.0,,,,,9.0,2.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,Deportes Tolima,home,,
Gustavo Ramírez,,,gustavo-ramirez,G. Ramírez,F,27,181,86,827792,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,642556800,"{'value': 145000, 'currency': 'EUR'}",,27,True,2.0,2.0,,,0.0,,,,,9.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,4.0,4.0,,,,,1.0,1.0,,,,,,,,,,,,,,,Deportes Tolima,home,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
James Aguirre,,,james-aguirre,J. Aguirre,G,12,181,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,12,False,21.0,11.0,16.0,7.0,0.0,,,3.0,6.0,90.0,33.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",,,,,,,,,2.0,,,,2.0,,,,,,,,,,,Once Caldas,away,,
Juan David Cuesta,Juan David Cuesta,,juan-david-cuesta,J. D. Cuesta,D,22,174,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",,22,False,36.0,31.0,3.0,1.0,0.0,2.0,,,,90.0,59.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,1.0,1.0,1.0,,1.0,7.0,,,4.0,2.0,,,,,,,,,,,Once Caldas,away,,
Jorge Cardona,,,cardona-jorge,J. Cardona,D,34,184,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",34,False,33.0,24.0,8.0,3.0,0.0,7.0,,,,90.0,49.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,2.0,4.0,,2.0,2.0,,3.0,7.0,,,2.0,2.0,,1.0,,,,,,,,,Once Caldas,away,,
