name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,outfielderBlock,totalTackle,wasFouled,totalClearance,interceptionWon,fouls,shotOffTarget,totalContest,keyPass,totalCross,accurateCross,challengeLost,dispossessed,onTargetScoringAttempt,goals,blockedScoringAttempt,wonContest,penaltyWon,totalOffside,captain,team,teamType,penaltyConceded
Juan Quiceno,juan-quiceno,J. Quiceno,M,3,,2,1845285,{},EUR,,,Juan Quiceno,,,3,True,12.0,10.0,4.0,2.0,0.0,,1.0,,,,45.0,20.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,Boyacá Chicó FC,home,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200.0,"{'value': 215000, 'currency': 'EUR'}",,,,8,True,6.0,5.0,,,0.0,,1.0,,,,23.0,8.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,
Sebastián Colón,sebastian-colon,S. Colón,F,29,177.0,28,1465840,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895881600.0,,Sebastián Colón,,,29,True,6.0,4.0,,,0.0,1.0,1.0,,,,23.0,11.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",2.0,5.0,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,Boyacá Chicó FC,home,
Andres Aedo,aedo-andres,A. Aedo,M,6,183.0,8,1427849,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1077494400.0,"{'value': 145000, 'currency': 'EUR'}",Andres Aedo,,,6,True,1.0,1.0,1.0,1.0,0.0,1.0,2.0,,,,17.0,4.0,6.8,,"{'original': 6.8, 'alternative': None}",,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,Boyacá Chicó FC,home,
Jhonier Negrete,jhonier-negrete,J. Negrete,M,7,,2,2037361,{},EUR,,,Jhonier Negrete,,,7,True,4.0,2.0,,,0.0,,1.0,,,,9.0,6.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,1.0,,,,,,,1.0,,,,,,,,,,,,Boyacá Chicó FC,home,
Rogerio Caicedo,rogerio-caicedo,R. Caicedo,G,1,187.0,3,942347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729993600.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,
John Sánchez,john-sanchez,J. Sánchez,M,77,168.0,6,829865,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800496000.0,"{'value': 48000, 'currency': 'EUR'}",,,,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,
Juan Camilo Chaverra,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400.0,"{'value': 190000, 'currency': 'EUR'}",,,,12,False,18.0,15.0,5.0,2.0,0.0,,,,1.0,1.0,90.0,22.0,6.0,3.0,"{'original': 6, 'alternative': None}",,1.0,,,,,,1.0,,,,,,,,,,,,,,,Alianza Valledupar FC,away,1.0
Leonardo Saldaña,leonardo-saldana,L. Saldaña,D,16,170.0,16,819197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,629078400.0,"{'value': 225000, 'currency': 'EUR'}",,,,16,False,31.0,26.0,2.0,1.0,0.0,2.0,2.0,,,,61.0,41.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,,,,6.0,,2.0,,,,,,2.0,,,,,,,,,Alianza Valledupar FC,away,
Pedro Franco,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,,,5,False,65.0,57.0,12.0,9.0,0.0,2.0,3.0,,,,90.0,73.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",2.0,2.0,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,True,Alianza Valledupar FC,away,
