name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,fouls,aerialWon,shotOffTarget,wasFouled,outfielderBlock,accurateCross,challengeLost,totalContest,wonContest,blockedScoringAttempt,totalOffside,keyPass,dispossessed,onTargetScoringAttempt,goals,captain,team,teamType,punches,penaltyConceded
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,23,True,19.0,16.0,1.0,1.0,0.0,,,,45.0,27.0,7.6,4.0,"{'original': 7.6, 'alternative': None}",,,2.0,2.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,2.0,,2.0,1.0,,Deportes Tolima,home,,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,135,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,25,True,14.0,13.0,1.0,1.0,0.0,,,,23.0,17.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,2.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,Deportes Tolima,home,,
Junior Hernández,,,junior-hernandez,J. Hernández,D,20,172.0,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",20,True,4.0,2.0,,,0.0,,,,12.0,6.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,Deportes Tolima,home,,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,True,13.0,12.0,,,0.0,,,,12.0,13.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178.0,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,24,True,2.0,2.0,,,0.0,,,,10.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195.0,23,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180.0,43,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400,"{'value': 190000, 'currency': 'EUR'}",,12,False,16.0,12.0,3.0,,0.0,,1.0,1.0,90.0,20.0,6.2,4.0,"{'original': 6.2, 'alternative': None}",,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,Alianza Valledupar FC,away,1.0,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000,"{'value': 260000, 'currency': 'EUR'}",,60,False,35.0,32.0,4.0,2.0,0.0,,,,90.0,43.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,1.0,4.0,,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,Alianza Valledupar FC,away,,
John García,,,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600,"{'value': 93000, 'currency': 'EUR'}",,18,False,56.0,50.0,6.0,1.0,0.0,,,,90.0,63.0,6.0,9.0,"{'original': 6, 'alternative': None}",,,2.0,2.0,2.0,,,,1.0,,1.0,,,,,,,,,2.0,,,,Alianza Valledupar FC,away,,
Pedro Franco,,,pedro-franco,P. Franco,D,25,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800,"{'value': 270000, 'currency': 'EUR'}",,5,False,57.0,53.0,6.0,4.0,0.0,,,,90.0,66.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,4.0,2.0,,3.0,1.0,,,1.0,,,,,,,,,,,,True,Alianza Valledupar FC,away,,
Kalazan Suárez,Kalazan Suárez,,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400,"{'value': 245000, 'currency': 'EUR'}",,22,False,32.0,27.0,1.0,1.0,0.0,,,,90.0,49.0,6.2,11.0,"{'original': 6.2, 'alternative': None}",4.0,,3.0,3.0,1.0,,1.0,,2.0,,,,1.0,1.0,,,1.0,,2.0,2.0,,,,Alianza Valledupar FC,away,,
Luis Pérez,Luis Pérez,,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600,"{'value': 340000, 'currency': 'EUR'}",,19,False,36.0,25.0,5.0,2.0,0.0,,,,73.0,47.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",,1.0,2.0,1.0,2.0,1.0,,1.0,,,,,,,1.0,1.0,,,2.0,,1.0,,,Alianza Valledupar FC,away,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000,"{'value': 325000, 'currency': 'EUR'}",,23,False,14.0,13.0,2.0,2.0,0.0,,,,45.0,19.0,6.4,2.0,"{'original': 6.4, 'alternative': None}",,1.0,3.0,2.0,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,Alianza Valledupar FC,away,,1.0
Edwin Torres,,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 580000, 'currency': 'EUR'}",,29,False,19.0,14.0,2.0,,0.0,,,,90.0,46.0,6.9,18.0,"{'original': 6.9, 'alternative': None}",10.0,,4.0,4.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,Alianza Valledupar FC,away,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000,"{'value': 365000, 'currency': 'EUR'}",,33,False,7.0,4.0,,,0.0,,,,45.0,12.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,1.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,Alianza Valledupar FC,away,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000,"{'value': 375000, 'currency': 'EUR'}",,24,False,12.0,8.0,1.0,,0.0,,,,73.0,28.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,1.0,3.0,7.0,,1.0,4.0,1.0,,2.0,3.0,,,,,,1.0,,,1.0,1.0,,,Alianza Valledupar FC,away,,
Misael Martínez,,,misael-martinez,M. Martínez,F,77,175.0,36,998425,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890784000,"{'value': 405000, 'currency': 'EUR'}",,77,False,15.0,13.0,,,0.0,,,,78.0,24.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,1.0,4.0,5.0,,,,,2.0,,2.0,,,,1.0,1.0,,,1.0,3.0,1.0,1.0,,Alianza Valledupar FC,away,,
Royscer Colpa,,,royscer-colpa,R. Colpa,M,8,181.0,8,927547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,801187200,"{'value': 225000, 'currency': 'EUR'}",,8,True,18.0,17.0,,,0.0,,,,41.0,21.0,6.0,3.0,"{'original': 6, 'alternative': None}",,,5.0,2.0,,,1.0,2.0,1.0,,,,,1.0,2.0,,,,,,,,,Alianza Valledupar FC,away,,
José Muñoz,,,jose-munoz,J. Muñoz,M,10,168.0,7,925321,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758592000,"{'value': 140000, 'currency': 'EUR'}",,10,True,20.0,15.0,2.0,1.0,0.0,,,,45.0,28.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",4.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,
Ruben Manjarres,Ruben Manjarres,,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000,"{'value': 315000, 'currency': 'EUR'}",,21,True,9.0,8.0,1.0,,0.0,,,,17.0,12.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,Alianza Valledupar FC,away,,
Felipe Pardo,,,felipe-pardo,F. Pardo,F,11,178.0,154,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200,"{'value': 210000, 'currency': 'EUR'}",,17,True,12.0,8.0,,,0.0,,,,17.0,14.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,1.0,,,1.0,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,
Cristian Andres Vergara Rivas,Cristian Vergara,,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200,"{'value': 160000, 'currency': 'EUR'}",,15,True,1.0,1.0,,,0.0,,,,12.0,1.0,6.5,,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,
Johan Wallens,,,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000,"{'value': 97000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,
Jesús Figueroa,,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600,"{'value': 230000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,,
