name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,totalTackle,fouls,totalCross,totalContest,outfielderBlock,onTargetScoringAttempt,goals,interceptionWon,accurateCross,bigChanceCreated,wasFouled,wonContest,dispossessed,bigChanceMissed,shotOffTarget,blockedScoringAttempt,hitWoodwork,captain,team,teamType
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,True,6.0,2.0,2.0,,0.0,,,,31.0,11.0,6.7,5.0,,"{'original': 6.7, 'alternative': None}",1.0,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,Deportivo Pereira,home
Carlos Cruz,cruz-carlos,C. Cruz,M,2,,17,1886007,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,1073692800.0,,,,,2,True,2.0,2.0,,,0.0,,,,11.0,5.0,6.6,,,"{'original': 6.6, 'alternative': None}",,,,,,3.0,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,5.0,4.0,1.0,1.0,0.0,,,,11.0,9.0,6.7,3.0,,"{'original': 6.7, 'alternative': None}",,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,Deportivo Pereira,home
Jaime Diaz,diaz-jaime,J. Diaz,D,23,,14,1174610,{},EUR,,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. d. J. D. Montes'}}",,,23,True,1.0,1.0,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,True,4.0,2.0,,,0.0,,,,1.0,5.0,,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home
Sebastián Acosta,sebastian-acosta,S. Acosta,M,8,180.0,23,1100065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783648000.0,"{'value': 210000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800.0,"{'value': 52000, 'currency': 'EUR'}",,,,12,False,12.0,11.0,4.0,3.0,0.0,,1.0,1.0,90.0,18.0,6.6,1.0,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,Deportivo Pasto,away
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400.0,"{'value': 430000, 'currency': 'EUR'}",,,,22,False,44.0,19.0,12.0,1.0,0.0,,,,90.0,65.0,7.3,29.0,4.0,"{'original': 7.3, 'alternative': None}",,1.0,1.0,3.0,,3.0,1.0,,9.0,1.0,,,,,7.0,,1.0,,,,,,,True,Deportivo Pasto,away
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800.0,"{'value': 385000, 'currency': 'EUR'}",,,,2,False,31.0,28.0,2.0,,0.0,,,,90.0,42.0,6.8,5.0,,"{'original': 6.8, 'alternative': None}",2.0,,4.0,,,3.0,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,Deportivo Pasto,away
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400.0,,,Andrés Alarcón,,24,False,49.0,43.0,4.0,1.0,0.0,,,,90.0,55.0,6.5,8.0,,"{'original': 6.5, 'alternative': None}",,,2.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,Deportivo Pasto,away
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000.0,"{'value': 280000, 'currency': 'EUR'}",,Joyce Ossa,,23,False,47.0,41.0,7.0,4.0,0.0,,,,90.0,63.0,6.8,10.0,,"{'original': 6.8, 'alternative': None}",,,2.0,2.0,,4.0,1.0,1.0,3.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,Deportivo Pasto,away
Mauricio Castaño,mauricio-castano,M. Castaño,D,20,177.0,13,1098313,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 105000, 'currency': 'EUR'}",,Mauricio Castaño,,20,False,7.0,4.0,4.0,1.0,0.0,,,,26.0,12.0,6.3,7.0,,"{'original': 6.3, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,,,,Deportivo Pasto,away
